n	k	avg_time
3 2 620.880859375
4 2 622.8104248046875
4 3 463.280029296875
5 2 616.9810791015625
5 3 467.245849609375
5 4 375.6575927734375
6 2 618.23681640625
6 3 467.0594482421875
6 4 375.1041259765625
6 5 330.0531005859375
7 2 618.8052978515625
7 3 464.32275390625
7 4 376.968994140625
7 5 332.917236328125
7 6 309.5408935546875
8 2 617.2738037109375
8 3 462.0870361328125
8 4 369.9364013671875
8 5 338.0048828125
8 6 309.69921875
8 7 300.1402587890625
9 2 621.834228515625
9 3 461.27783203125
9 4 367.59619140625
9 5 334.185302734375
9 6 312.742431640625
9 7 300.2806396484375
9 8 258.15673828125
10 2 616.2471923828125
10 3 461.968505859375
10 4 372.04443359375
10 5 335.89208984375
10 6 307.16064453125
10 7 307.0418701171875
10 8 255.6898193359375
10 9 263.70263671875
11 2 615.119140625
11 3 473.49951171875
11 4 377.8101806640625
11 5 336.8868408203125
11 6 308.714599609375
11 7 295.734619140625
11 8 255.998779296875
11 9 267.3642578125
11 10 251.3603515625
12 2 618.8404541015625
12 3 457.9075927734375
12 4 374.2366943359375
12 5 333.263671875
12 6 310.4656982421875
12 7 302.90087890625
12 8 258.0625
12 9 266.380859375
12 10 253.3153076171875
12 11 248.93701171875
13 2 631.260986328125
13 3 458.8052978515625
13 4 371.26953125
13 5 335.004638671875
13 6 317.5458984375
13 7 304.6923828125
13 8 262.8905029296875
13 9 262.3438720703125
13 10 253.6585693359375
13 11 245.2847900390625
13 12 244.2308349609375
14 2 622.33642578125
14 3 459.8505859375
14 4 374.1790771484375
14 5 333.281494140625
14 6 308.9197998046875
14 7 303.1134033203125
14 8 266.7801513671875
14 9 263.1600341796875
14 10 253.5908203125
14 11 246.57568359375
14 12 246.0426025390625
14 13 237.9010009765625
15 2 640.99609375
15 3 465.41455078125
15 4 367.530029296875
15 5 335.2239990234375
15 6 311.1976318359375
15 7 299.4366455078125
15 8 256.072021484375
15 9 262.3798828125
15 10 253.4219970703125
15 11 251.885498046875
15 12 240.7698974609375
15 13 239.754150390625
15 14 236.6590576171875
16 2 627.22216796875
16 3 462.5894775390625
16 4 370.310302734375
16 5 332.238037109375
16 6 311.3248291015625
16 7 299.9815673828125
16 8 255.885009765625
16 9 262.3338623046875
16 10 253.4991455078125
16 11 247.1427001953125
16 12 246.5047607421875
16 13 235.9239501953125
16 14 235.7723388671875
16 15 234.355224609375
17 2 621.8399658203125
17 3 462.04052734375
17 4 369.5533447265625
17 5 331.64306640625
17 6 308.216796875
17 7 299.029052734375
17 8 259.48486328125
17 9 262.7667236328125
17 10 256.0977783203125
17 11 247.3265380859375
17 12 247.8228759765625
17 13 245.002197265625
17 14 237.50927734375
17 15 233.8426513671875
17 16 244.10693359375
18 2 615.2135009765625
18 3 463.8428955078125
18 4 371.852783203125
18 5 334.638427734375
18 6 306.3909912109375
18 7 299.3662109375
18 8 256.5672607421875
18 9 257.548095703125
18 10 254.408203125
18 11 246.46435546875
18 12 244.5819091796875
18 13 236.4364013671875
18 14 234.6971435546875
18 15 234.10009765625
18 16 248.369140625
18 17 236.4954833984375
19 2 609.489013671875
19 3 460.07666015625
19 4 372.94287109375
19 5 331.690185546875
19 6 307.5565185546875
19 7 303.2457275390625
19 8 258.1617431640625
19 9 259.645263671875
19 10 250.7518310546875
19 11 248.603515625
19 12 243.74169921875
19 13 238.4310302734375
19 14 234.5025634765625
19 15 232.3956298828125
19 16 243.3167724609375
19 17 235.6624755859375
19 18 234.600341796875
20 2 615.3818359375
20 3 460.0565185546875
20 4 370.3143310546875
20 5 336.91064453125
20 6 310.16845703125
20 7 304.5421142578125
20 8 259.6416015625
20 9 264.0115966796875
20 10 254.8663330078125
20 11 247.0174560546875
20 12 243.306396484375
20 13 236.268310546875
20 14 232.2386474609375
20 15 230.413330078125
20 16 245.6856689453125
20 17 233.0191650390625
20 18 235.0933837890625
20 19 210.3753662109375
