data_size, chunk_size, N, K, chosen_nodes
180.500000, 20.055556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.099998, 13.788889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
10.300000, 1.144444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
7.000000, 0.777778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
3.400000, 0.377778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
1.900000, 0.211111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
4.100000, 0.455556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.900000, 0.322222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
3.700000, 0.411111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
191.800003, 21.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
158.300003, 17.588889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
165.899994, 18.433333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
192.600006, 21.400001, 10, 9, 1 6 7 9 2 0 3 8 4 5 
856.099976, 95.122220, 10, 9, 1 6 7 9 2 0 3 8 4 5 
71.400002, 7.933334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
65.300003, 7.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
56.099998, 6.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
107.400002, 11.933334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
115.500000, 12.833333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
123.300003, 13.700000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
9.400000, 1.044444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
92.199997, 10.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.000000, 13.777778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
203.500000, 22.611111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
110.900002, 12.322222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.599998, 13.844444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
187.199997, 20.800000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
75.099998, 8.344444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
153.399994, 17.044444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
157.899994, 17.544444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
113.500000, 12.611111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
74.199997, 8.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
72.199997, 8.022222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
6.600000, 0.733333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
15.900000, 1.766667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
16.100000, 1.788889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
10.300000, 1.144444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
10.600000, 1.177778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
13.600000, 1.511111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
517.799988, 57.533332, 10, 9, 1 6 7 9 2 0 3 8 4 5 
447.700012, 49.744446, 10, 9, 1 6 7 9 2 0 3 8 4 5 
112.500000, 12.500000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
532.099976, 59.122220, 10, 9, 1 6 7 9 2 0 3 8 4 5 
56.700001, 6.300000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
57.000000, 6.333333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
57.599998, 6.400000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
117.699997, 13.077777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
136.800003, 15.200000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
149.000000, 16.555556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
112.199997, 12.466666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
1.700000, 0.188889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
86.500000, 9.611111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
89.000000, 9.888889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
26.500000, 2.944444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
8.600000, 0.955556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
4.000000, 0.444444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
160.000000, 17.777778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
7.500000, 0.833333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
6.500000, 0.722222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
6.300000, 0.700000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
154.600006, 17.177778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
74.099998, 8.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
152.899994, 16.988888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
72.300003, 8.033334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
190.000000, 21.111111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
123.199997, 13.688889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
214.699997, 23.855555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
13.100000, 1.455556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.000000, 0.222222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
186.000000, 20.666667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
119.900002, 13.322222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
123.300003, 13.700000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
51.200001, 5.688889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.099998, 8.122222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
7.600000, 0.844444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
63.900002, 7.100000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
1.800000, 0.200000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
85.300003, 9.477778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
118.500000, 13.166667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
164.399994, 18.266666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
160.300003, 17.811111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
71.000000, 7.888889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
191.399994, 21.266666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.199997, 13.800000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
214.600006, 23.844445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
122.099998, 13.566666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
193.399994, 21.488888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
121.599998, 13.511111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
199.199997, 22.133333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
70.199997, 7.800000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
51.400002, 5.711111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
62.700001, 6.966667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
135.899994, 15.099999, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.099998, 8.122222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
161.300003, 17.922223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.699997, 8.188889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
188.300003, 20.922223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
