data_size, chunk_size, N, K, chosen_nodes
180.500000, 25.785714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.099998, 17.728571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
10.300000, 1.471429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
7.000000, 1.000000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
3.400000, 0.485714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
1.900000, 0.271429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
4.100000, 0.585714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.900000, 0.414286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
3.700000, 0.528571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
191.800003, 27.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
158.300003, 22.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
165.899994, 23.699999, 10, 7, 1 6 7 9 2 0 3 8 4 5 
192.600006, 27.514287, 10, 7, 1 6 7 9 2 0 3 8 4 5 
856.099976, 122.299997, 10, 7, 1 6 7 9 2 0 3 8 4 5 
71.400002, 10.200000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
65.300003, 9.328572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
56.099998, 8.014285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
107.400002, 15.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
115.500000, 16.500000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
123.300003, 17.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
9.400000, 1.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
92.199997, 13.171428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.000000, 17.714286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
203.500000, 29.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
110.900002, 15.842857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.599998, 17.800000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
187.199997, 26.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
75.099998, 10.728571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
153.399994, 21.914285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
157.899994, 22.557142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
113.500000, 16.214286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
74.199997, 10.600000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
72.199997, 10.314285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
6.600000, 0.942857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
15.900000, 2.271429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
16.100000, 2.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
10.300000, 1.471429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
10.600000, 1.514286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
13.600000, 1.942857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
517.799988, 73.971427, 10, 7, 1 6 7 9 2 0 3 8 4 5 
447.700012, 63.957145, 10, 7, 1 6 7 9 2 0 3 8 4 5 
112.500000, 16.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
532.099976, 76.014282, 10, 7, 1 6 7 9 2 0 3 8 4 5 
56.700001, 8.100000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
57.000000, 8.142857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
57.599998, 8.228571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
117.699997, 16.814285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
136.800003, 19.542858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
149.000000, 21.285714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
112.199997, 16.028571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
1.700000, 0.242857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
86.500000, 12.357143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
89.000000, 12.714286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
26.500000, 3.785714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
8.600000, 1.228571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
4.000000, 0.571429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
160.000000, 22.857143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
7.500000, 1.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
6.500000, 0.928571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
6.300000, 0.900000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
154.600006, 22.085715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
74.099998, 10.585714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
152.899994, 21.842856, 10, 7, 1 6 7 9 2 0 3 8 4 5 
72.300003, 10.328572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
190.000000, 27.142857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
123.199997, 17.600000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
214.699997, 30.671428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
