id,size,submit_time,time_spent
0,3.707805,49,0
1,2.869152,101,0
2,1.095492,122,0
3,1,197,0
4,13.461341,208,0
5,1,349,0
6,3.049205,373,0
7,1,379,0
8,5.413693,463,0
9,4.347428,487,0
10,1,497,0
11,1,609,0
12,3.309059,666,0
13,1,698,0
14,1,724,0
15,1,930,0
16,1,1112,0
17,26900.584024,1128,0
18,1,1180,0
19,7522.210722,1185,0
20,1,1187,0
21,1,1214,0
22,1,1234,0
23,1,1262,0
24,1,1285,0
25,139.522171,1420,0
26,6.64958,1453,0
27,9.083259,1496,0
28,1,1525,0
29,1,1665,0
30,1,1669,0
31,4266.910669,1700,0
32,1,1725,0
33,1,1746,0
34,18722.937611,1856,0
35,4.16211,1974,0
36,271.001247,1975,0
37,9178.204549,1975,0
38,85899.39726,1976,0
39,8826.013051,1977,0
40,25803.031044,1981,0
41,1,2181,0
42,2170.182866,2228,0
43,160.682886,2281,0
44,344.553789,2323,0
45,2.389776,2647,0
46,1.217921,2684,0
47,1,2752,0
48,1.765569,2793,0
49,1,2826,0
50,1,2856,0
51,1.057055,2863,0
52,16.496764,2872,0
53,1,2876,0
54,15867.314274,2877,0
55,1323.020892,2877,0
56,1000.000401,2878,0
57,85899.399487,2879,0
58,1,2924,0
59,1000.000959,2928,0
60,1000.00062,2977,0
61,1000.000204,3054,0
62,1000.000171,3092,0
63,1000.000315,3137,0
64,1000.000807,3171,0
65,9225.011768,3174,0
66,1000.000576,3213,0
67,1000.000208,3263,0
68,1000.000277,3316,0
69,10426.744201,3352,0
70,1000.000388,3392,0
71,1.892851,3418,0
72,1000.000219,3450,0
73,3832.991699,3475,0
74,18031.674071,3476,0
75,1000.000435,3520,0
76,4.690984,3570,0
77,1000.000852,3571,0
78,307.489212,3601,0
79,1000.000441,3630,0
80,532.676719,3646,0
81,1000.000275,3678,0
82,3237.895056,3719,0
83,286.789419,3747,0
84,1432.438119,3759,0
85,2571.921155,3813,0
86,2624.815299,3860,0
87,1304.624686,3860,0
88,112.469495,3868,0
89,2432.995063,3873,0
90,3405.106217,3889,0
91,243.826702,3904,0
92,407.369485,3958,0
93,1,4006,0
94,3179.257427,4046,0
95,1,4102,0
96,1,4139,0
97,7257.132663,4146,0
98,211.429292,4160,0
99,1.159337,4160,0
100,1610.958881,4161,0
101,43517.261741,4163,0
102,1270.637972,4179,0
103,1,4191,0
104,3172.161117,4205,0
105,1,4224,0
106,4589.898619,4247,0
107,1,4271,0
108,1,4281,0
109,14579.402707,4309,0
110,1,4317,0
111,1,4361,0
112,3433.022365,4375,0
113,574.353991,4456,0
114,240.73966,4469,0
115,4508.087435,4504,0
116,41.771586,4504,0
117,575.504475,4517,0
118,4030.256869,4576,0
119,10.760546,4610,0
120,18.596464,4632,0
121,825.22488,4644,0
122,726.430109,4654,0
123,3.393408,4680,0
124,18780.472193,4711,0
125,1,4747,0
126,24.065182,4764,0
127,1,4766,0
128,375.350986,4783,0
129,31.058907,4793,0
130,1,4807,0
131,36.727027,4831,0
132,5157.923801,4832,0
133,676.969318,4912,0
134,366.570496,4927,0
135,287.682818,4941,0
136,3214.95243,4990,0
137,751.089953,4997,0
138,19.845253,5023,0
139,108.66116,5054,0
140,1,5061,0
141,1019.772977,5061,0
142,292.757731,5062,0
143,1.141245,5062,0
144,46.91509,5063,0
145,105.534818,5064,0
146,78.51917,5064,0
147,43472.936812,5066,0
148,91.192331,5070,0
149,1811.808966,5098,0
150,1.326898,5108,0
151,18040.691956,5115,0
152,1,5138,0
153,422.331903,5148,0
154,2.348553,5154,0
155,2.349618,5162,0
156,3514.028941,5162,0
157,1.393377,5212,0
158,286.231547,5222,0
159,1.455843,5222,0
160,1.188822,5239,0
161,27.213407,5253,0
162,1323.384991,5267,0
163,36.032288,5268,0
164,1,5290,0
165,14184.149142,5311,0
166,1,5342,0
167,3741.214364,5343,0
168,190.277333,5362,0
169,8.277696,5383,0
170,6.820714,5420,0
171,339.92928,5441,0
172,2913.56074,5483,0
173,1.797409,5484,0
174,49.550675,5485,0
175,1.527896,5528,0
176,5.212995,5534,0
177,1.548466,5563,0
178,1,5600,0
179,3043.525024,5631,0
180,2665.684476,5636,0
181,16.351569,5697,0
182,1,5745,0
183,766.020808,5839,0
184,576.923329,5926,0
185,1.192887,5960,0
186,1333.68808,5960,0
187,1,6004,0
188,344.676953,6019,0
189,8437.848882,6032,0
190,30.353313,6166,0
191,5080.201194,6270,0
192,448.356109,6282,0
193,25744.401628,6284,0
194,48448.590265,6287,0
195,480.611309,6335,0
196,4037.955692,6459,0
197,207.676307,6487,0
198,94.956176,6594,0
199,150.522889,6633,0
200,3940.10233,6640,0
201,400.182102,6650,0
202,79.653852,6673,0
203,436.590556,6702,0
204,106.97513,6815,0
205,3980.163074,6823,0
206,11310.172991,6836,0
207,5.183764,6853,0
208,146.325863,6854,0
209,1.193247,6861,0
210,1072.594991,6861,0
211,1792.286471,6862,0
212,1000.000861,6862,0
213,1000.000257,6904,0
214,1.16362,6926,0
215,346.976773,6931,0
216,1000.000159,6943,0
217,23.276777,6980,0
218,1000.000501,6981,0
219,1,6995,0
220,3907.222823,7001,0
221,3.952908,7016,0
222,1000.000503,7016,0
223,1.176766,7032,0
224,1,7038,0
225,420.415451,7039,0
226,1,7054,0
227,1000.000628,7054,0
228,1,7078,0
229,47.887088,7099,0
230,1000.000189,7102,0
231,1,7132,0
232,1000.000557,7149,0
233,3428.955696,7156,0
234,2385.314063,7158,0
235,134.958948,7166,0
236,1000.000727,7183,0
237,1,7186,0
238,27.121903,7187,0
239,1,7208,0
240,1,7216,0
241,1,7221,0
242,1.03041,7267,0
243,1,7284,0
244,1.233318,7288,0
245,1,7295,0
246,1,7301,0
247,1,7310,0
248,10000.020874,7315,0
249,1,7319,0
250,1,7348,0
251,1,7362,0
252,1,7368,0
253,1,7371,0
254,1,7374,0
255,1,7384,0
256,1,7391,0
257,1,7398,0
258,1,7436,0
259,1,7442,0
260,9139.836091,7460,0
261,40846.279868,7508,0
262,105992.681727,7536,0
263,112.656793,7621,0
264,36.307239,7622,0
265,5216.68257,7623,0
266,213.25991,7623,0
267,21.659746,7624,0
268,32015.897409,7658,0
269,860.177286,7663,0
270,1118.443339,7714,0
271,239580.288991,7760,0
272,21472.660961,7771,0
273,11.748956,7796,0
274,14.375688,7825,0
275,569.776919,7872,0
276,1,7879,0
277,9643.758407,7929,0
278,1588.853506,8020,0
279,4452.368172,8021,0
280,1,8035,0
281,2469.658802,8037,0
282,1,8090,0
283,3252.680883,8093,0
284,1,8136,0
285,14.699831,8155,0
286,4.936727,8178,0
287,82.340856,8179,0
288,7.837596,8205,0
289,7427.54141,8215,0
290,10003.698216,8216,0
291,876.446045,8216,0
292,1000.000364,8217,0
293,46030.842726,8218,0
294,71.837574,8237,0
295,1000.000271,8242,0
296,1000.000257,8261,0
297,1,8281,0
298,3498.093692,8281,0
299,1000.000339,8286,0
300,1000.000376,8306,0
301,751.677622,8324,0
302,1000.000377,8327,0
303,3341.93385,8339,0
304,1000.00041,8346,0
305,437.572725,8351,0
306,86.621294,8352,0
307,1692.913881,8358,0
308,1000.000378,8367,0
309,487.843477,8383,0
310,1000.000268,8385,0
311,1000.000626,8405,0
312,100.945927,8415,0
313,1000.000538,8425,0
314,1,8481,0
315,4400.971978,8515,0
316,1000.001009,8534,0
317,146.13817,8562,0
318,35875.979897,8565,0
319,1,8566,0
320,450.538277,8571,0
321,215.257191,8582,0
322,2543.564982,8638,0
323,288.722367,8638,0
324,1,8640,0
325,184.808321,8645,0
326,31.66471,8711,0
327,1999.213254,8740,0
328,4.138324,8749,0
329,227.859009,8751,0
330,119.437082,8765,0
331,807.599192,8806,0
332,4362.705167,8815,0
333,91.672662,8876,0
334,8.414424,8878,0
335,1,8886,0
336,1,8930,0
337,261.041404,8955,0
338,97.27497,8972,0
339,22.968052,8995,0
340,2624.80467,9052,0
341,12925.027082,9075,0
342,1,9079,0
343,1,9084,0
344,4824.849778,9115,0
345,365.375255,9137,0
346,7991.193674,9151,0
347,487.224852,9212,0
348,395.406511,9259,0
349,596.954443,9318,0
350,236.397858,9333,0
351,1,9361,0
352,1701.733373,9458,0
353,624.951916,9459,0
354,3.21115,9535,0
355,495.323927,9574,0
356,1,9602,0
357,1,9609,0
358,213784.343803,9672,0
359,1,9682,0
360,1,9686,0
361,3092.778964,9693,0
362,23528.321545,9694,0
363,1,9703,0
364,1,9730,0
365,1,9737,0
366,1,9746,0
367,2973.476051,9796,0
368,737.040871,9841,0
369,2670.984896,9966,0
370,1,9970,0
371,8619.225049,9977,0
372,1002.21538,10001,0
373,916.487862,10016,0
374,261.613987,10016,0
375,1129.083634,10017,0
376,1,10018,0
377,365.86201,10018,0
378,39.736161,10019,0
379,41.715941,10019,0
380,70.736112,10020,0
381,1,10048,0
382,1,10067,0
383,1,10072,0
384,1,10075,0
385,1,10079,0
386,1.081523,10082,0
387,3160.370789,10089,0
388,10000.033894,10096,0
389,1.249528,10159,0
390,1,10190,0
391,5245.659712,10202,0
392,1,10203,0
393,1,10217,0
394,13969.353222,10220,0
395,1,10233,0
396,1,10252,0
397,1146.755738,10269,0
398,1,10288,0
399,611.425958,10299,0
400,675.073118,10308,0
401,1,10310,0
402,103.672266,10320,0
403,1,10327,0
404,424.908016,10333,0
405,23916.115646,10340,0
406,271.04691,10347,0
407,1,10352,0
408,2717.424195,10379,0
409,456.358312,10392,0
410,1,10399,0
411,1,10420,0
412,1,10456,0
413,1,10470,0
414,1,10480,0
415,1,10524,0
416,1,10543,0
417,1,10558,0
418,1,10571,0
419,1,10578,0
420,1,10588,0
421,1,10595,0
422,1,10604,0
423,1,10618,0
424,1,10634,0
425,1,10659,0
426,3787.608391,10678,0
427,3.432523,10688,0
428,1,10690,0
429,1,10707,0
430,4705.514856,10719,0
431,1,10725,0
432,1,10739,0
433,1,10754,0
434,1,10759,0
435,1,10774,0
436,1,10779,0
437,1,10787,0
438,1,10800,0
439,1,10809,0
440,1,10817,0
441,1,10833,0
442,659.450943,10835,0
443,1,10857,0
444,391.113719,10863,0
445,1,10869,0
446,246.696516,10885,0
447,1,10885,0
448,289.186349,10904,0
449,1,10911,0
450,219.214214,10919,0
451,111.69153,10922,0
452,1,10923,0
453,1,10930,0
454,1,10942,0
455,1,10978,0
456,1,10989,0
457,1,10996,0
458,1,11006,0
459,1019.811069,11013,0
460,1.152807,11081,0
461,1.950432,11214,0
462,1201.075703,11346,0
463,1,11400,0
464,281951.058519,11424,0
465,2223.17816,11517,0
466,5948.428098,11519,0
467,2.523341,11536,0
468,1.096122,11607,0
469,1,11659,0
470,2218.534087,11672,0
471,1,11724,0
472,1111.993878,11753,0
473,1,11763,0
474,1859.171793,11814,0
475,1801.860133,11815,0
476,733.619906,11822,0
477,138.9536,11826,0
478,721.064749,11832,0
479,2.978405,11965,0
480,1,11981,0
481,2.008475,12116,0
482,1.108957,12183,0
483,1,12200,0
484,1,12222,0
485,2201.97693,12237,0
486,1,12243,0
487,1,12261,0
488,1,12290,0
489,1,12310,0
490,1,12364,0
491,1,12374,0
492,1,12393,0
493,1,12400,0
494,1,12408,0
495,750.616604,12412,0
496,1000.000312,12413,0
497,8996.339634,12414,0
498,1,12432,0
499,1,12449,0
500,1000.000449,12484,0
501,1,12509,0
502,1000.000621,12531,0
503,1000.000983,12569,0
504,1,12571,0
505,1003.699411,12592,0
506,1000.000434,12603,0
507,1,12608,0
508,1,12626,0
509,1000.000158,12635,0
510,1,12660,0
511,1,12679,0
512,1000.000493,12683,0
513,368.200369,12706,0
514,3672.21634,12711,0
515,1,12713,0
516,1,12725,0
517,1,12748,0
518,139364.152288,12771,0
519,1000.000634,12782,0
520,1,12798,0
521,1,12814,0
522,1000.000308,12829,0
523,777.944839,12833,0
524,958140.617738,12843,0
525,1000.000389,12859,0
526,1,12867,0
527,1,12907,0
528,1,12935,0
529,1,12948,0
530,1,12961,0
531,1,12984,0
532,12634.784545,13009,0
533,4592.698178,13011,0
534,1,13012,0
535,1,13050,0
536,1,13082,0
537,1,13110,0
538,1,13119,0
539,1.132932,13186,0
540,1,13195,0
541,1,13216,0
542,1,13242,0
543,1,13250,0
544,1,13257,0
545,1,13272,0
546,1,13279,0
547,1,13287,0
548,1,13292,0
549,1,13301,0
550,2377.205401,13310,0
551,10004.810571,13312,0
552,45991.144931,13312,0
553,1,13314,0
554,1,13341,0
555,1,13357,0
556,1,13375,0
557,1,13421,0
558,1,13433,0
559,1,13444,0
560,1,13449,0
561,1,13460,0
562,1,13469,0
563,5301.247354,13487,0
564,1,13497,0
565,1,13529,0
566,1.180662,13603,0
567,63286.729248,13616,0
568,112880.834188,13622,0
569,1,13629,0
570,2731.819991,13666,0
571,14.932682,13689,0
572,4767.399402,13692,0
573,20.551691,13692,0
574,177.670953,13701,0
575,1.354638,13718,0
576,864.641686,13722,0
577,2.890554,13730,0
578,1,13751,0
579,1,13764,0
580,1,13774,0
581,1,13784,0
582,1,13793,0
583,1,13801,0
584,1,13802,0
585,1,13803,0
586,1,13812,0
587,1,13812,0
588,1102.304411,13822,0
589,1,13841,0
590,1,13842,0
591,1,13849,0
592,1,13850,0
593,1,13861,0
594,1,13866,0
595,1,13871,0
596,1,13881,0
597,1,13897,0
598,1,13916,0
599,1,13922,0
600,1,13927,0
601,1,13935,0
602,1,13998,0
603,1,14020,0
604,2.803493,14110,0
605,1,14166,0
606,283.121953,14212,0
607,217.961408,14212,0
608,1,14213,0
609,50.863495,14213,0
610,819.265724,14214,0
611,6648.836764,14214,0
612,1.332872,14248,0
613,1,14274,0
614,1,14295,0
615,1,14306,0
616,1.697732,14321,0
617,1.039831,14339,0
618,1,14359,0
619,1,14364,0
620,1,14372,0
621,2551.421335,14374,0
622,1,14381,0
623,1.139822,14401,0
624,4362.862415,14407,0
625,1.403615,14419,0
626,1000.000602,14433,0
627,11427.395149,14440,0
628,1,14446,0
629,1000.000565,14465,0
630,1,14469,0
631,1.115799,14514,0
632,205.976409,14520,0
633,1,14523,0
634,68999.914257,14524,0
635,1,14528,0
636,1000.000418,14532,0
637,10000.000839,14539,0
638,1,14555,0
639,1,14564,0
640,1000.000341,14583,0
641,1.150222,14637,0
642,1,14642,0
643,7372.003709,14647,0
644,1000.000492,14651,0
645,1,14652,0
646,1,14671,0
647,1,14703,0
648,1.004185,14747,0
649,6091.636039,14749,0
650,1,14785,0
651,1,14819,0
652,128315.113539,14826,0
653,2627.997292,14830,0
654,1.056638,14871,0
655,1,14885,0
656,1,14896,0
657,1,14917,0
658,3.133947,14939,0
