algorithm,number_files,average_file_size,min_file_size,max_file_size,number_storage_nodes,total_simulation_time,total_data_generation_time,total_chunking_time,total_scheduling_time,total_upload_time,average_data_generation_time,average_scheduling_time,average_chunking_time,average_upload_time,average_overhead,total_storage_used,nodes_storage_utilization
alg1,10,1048576.0,1048576,1048576,10,74424.06090499999,20.261705999999997,115.01852300000002,2.972507,74186.973498,2.0261705999999995,0.2972507,11.501852300000001,7418.697349800001,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg2,10,1048576.0,1048576,1048576,10,52983.656135000005,24.756358999999996,86.955341,642.303405,52091.406653,2.4756358999999994,64.2303405,8.6955341,5209.1406652999995,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg3,10,1048576.0,1048576,1048576,10,52780.054464,18.336460000000002,87.164179,702.270665,51840.169320999994,1.8336460000000003,70.2270665,8.7164179,5184.016932099999,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg4,10,1048576.0,1048576,1048576,10,53666.183657,19.843066999999998,88.50862799999999,832.0887199999999,52595.947116,1.9843066999999999,83.20887199999999,8.850862799999998,5259.594711600001,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
random,10,1048576.0,1048576,1048576,10,26714.629795,23.898764999999997,135.215097,3.012011,26458.402632,2.3898764999999997,0.3012011,13.5215097,2645.8402632,207.3337459564209,20.73337459564209,"[1.9000043869018555, 0.9000024795532227, 2.4000043869018555, 2.066671371459961, 2.400005340576172]"
hdfs,10,1048576.0,1048576,1048576,10,50888.570012,18.292448999999998,0.033602,2.384762,50761.055565,1.8292448999999997,0.23847619999999997,0.0033602,5076.105556500001,300.0,30.001258850097656,"[10.000419616699219, 10.000419616699219, 10.000419616699219]"
alg2_reduced_complexity,10,1048576.0,1048576,1048576,10,51912.07447800001,16.482210000000002,73.473633,148.48435,51535.604816,1.6482210000000002,14.848435,7.3473633000000005,5153.5604816,114.28604125976562,11.428604125976562,"[1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703]"
alg3_reduced_complexity,10,1048576.0,1048576,1048576,10,53510.152074000005,21.140746000000004,83.760231,684.690849,52579.32274899999,2.1140746000000004,68.4690849,8.376023100000001,5257.932274899999,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg4_reduced_complexity,10,1048576.0,1048576,1048576,10,53164.359347000005,22.432118,84.10672799999998,831.641877,52091.14629999999,2.2432118,83.1641877,8.410672799999997,5209.114629999999,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
hdfsrs_3_2,10,1048576.0,1048576,1048576,10,745.8762529999999,21.559105,11.393616,2.572543,622.6891979999999,2.1559105,0.2572543,1.1393616,62.26891979999999,166.6666030883789,16.667499542236328,"[8.333749771118164, 8.333749771118164]"
hdfsrs_6_3,10,1048576.0,1048576,1048576,10,50824.66350499999,21.872314,7.9263770000000005,2.23895,50709.175238,2.1872314,0.223895,0.7926377,5070.917523800001,150.0,15.001258850097656,"[5.000419616699219, 5.000419616699219, 5.000419616699219]"
hdfsrs_10_4,10,1048576.0,1048576,1048576,10,51119.994132,19.645968999999997,8.193965,2.5322,51001.796708,1.9645968999999996,0.25322,0.8193965000000001,5100.1796708,140.00015258789062,14.001693725585938,"[3.5004234313964844, 3.5004234313964844, 3.5004234313964844, 3.5004234313964844]"
vandermonders_3_2,10,1048576.0,1048576,1048576,10,2920.2585710000003,23.396219,19.992151999999997,2.268675,549.568341,2.3396219,0.2268675,1.9992151999999996,54.9568341,166.6666030883789,16.667499542236328,"[8.333749771118164, 8.333749771118164]"
vandermonders_6_3,10,1048576.0,1048576,1048576,10,53036.363047,23.999796,22.679310999999995,2.5730140000000006,50747.388207,2.3999796,0.25730140000000007,2.2679310999999993,5074.7388207,150.0,15.001258850097656,"[5.000419616699219, 5.000419616699219, 5.000419616699219]"
vandermonders_10_4,10,1048576.0,1048576,1048576,10,53195.377509000005,17.039731,28.090952,2.374784,50931.119571,1.7039731,0.2374784,2.8090952000000002,5093.1119571,140.00015258789062,14.001693725585938,"[3.5004234313964844, 3.5004234313964844, 3.5004234313964844, 3.5004234313964844]"
