algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 1063.606640, 121999992.558295, 676817.338654, 153591.833430, 789053, 4713775, 154.615713, 0.857759, 5.973965, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.029322, 0.146266, 0.157746, 5.058998, 0.001326, 0.026575, 0.302776, 1.250287, 0.230005, 0.238418]", 2082906.735398, 2.639755, 0.194653, 671433.977892, 0.850936, 152476.997414, 0.193241, 5320081.638966, 6.742363, 92379740.163499
alg1_c, 1.995318, 115999998.714982, 646817.374533, 114338.622823, 771533, 6098149, 150.350016, 0.838353, 7.903938, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.188485, 0.188485, 6000000.188487, 0.057968, 0.057968, 0.123288, 0.188485, 0.093821, 0.099016, 0.099016]", 2041158.963402, 2.645589, 0.148197, 640020.400800, 0.829544, 112799.494772, 0.146202, 5790314.373542, 7.504947, 90331576.862104
alg_bogdan, 4.944459, 121999998.941636, 676817.374992, 199779.176380, 696098, 3245876, 175.262677, 0.972302, 4.662958, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.082775, 0.002017, 0.002798, 0.029600, 0.370201, 0.019309, 0.184039, 0.019229, 0.131861, 0.216534]", 1908035.178188, 2.741044, 0.286999, 671434.013671, 0.964568, 198508.164016, 0.285173, 4225954.476894, 6.070919, 81503514.855889
hdfs_3_replication_c, 10.033929, 114085123.877991, 621724.251050, 226839.347102, 324840, 974523, 351.204051, 1.913940, 3.000009, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.000000, 0.688988, 0.885027, 0.000000, 1.191874, 0.000000, 5943152.073936, 0.195810, 0.497399, 1971720.588975]", 1060072.411839, 3.263368, 0.698311, 616147.266418, 1.896772, 225869.155002, 0.695324, 1519633.897522, 4.678100, 38028374.625997
hdfs_rs_3_2_c, 0.661129, 110063290.741429, 599457.671177, 144122.178971, 564027, 2820135, 195.138337, 1.062817, 5.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.022479, 0.289051, 0.318367, 0.291805, 0.358364, 3907944.826584, 5850443.526522, 13307.462616, 0.030666, 2165012.132112]", 1751956.586000, 3.106157, 0.255524, 594047.036198, 1.053224, 145888.600585, 0.258655, 3236447.446363, 5.738107, 66037974.444862
hdfs_rs_6_3_c, 0.634911, 54036270.937013, 318580.941804, 57426.115254, 307684, 2769156, 175.622622, 1.035416, 9.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[9995969.895886, 9995969.895886, 15995969.895890, 5995969.895887, 5995969.895887, 7995969.895886, 9995969.895886, 0.162564, 0.030619, 1991939.598592]", 1022654.101839, 3.323716, 0.186640, 313176.649577, 1.017852, 59124.439226, 0.192160, 2255602.055314, 7.330905, 36024180.624675
hdfs_rs_4_2_c, 0.747058, 97803770.766804, 515476.934408, 100838.130738, 556827, 3340962, 175.644807, 0.925740, 6.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.089107, 0.014112, 5713485.913892, 0.166816, 0.016812, 0.265458, 11413004.221827, 1867212.422241, 1556082.473231, 3646443.649701]", 1685900.149420, 3.027691, 0.181094, 509937.553584, 0.915792, 99562.442684, 0.178803, 3490482.931033, 6.268523, 65202513.844536
hdfs_rs_0_0_c, 0.633549, 54036270.937013, 318580.941804, 57426.115254, 307684, 2769156, 175.622622, 1.035416, 9.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[9995969.895886, 9995969.895886, 15995969.895890, 5995969.895887, 5995969.895887, 7995969.895886, 9995969.895886, 0.162564, 0.030619, 1991939.598592]", 1022654.101839, 3.323716, 0.186640, 313176.649577, 1.017852, 59124.439226, 0.192160, 2255602.055314, 7.330905, 36024180.624675
glusterfs_6_4_c, 0.753977, 97803770.766804, 515476.934408, 100838.130738, 556827, 3340962, 175.644807, 0.925740, 6.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.089107, 0.014112, 5713485.913892, 0.166816, 0.016812, 0.265458, 11413004.221827, 1867212.422241, 1556082.473231, 3646443.649701]", 1685900.149420, 3.027691, 0.181094, 509937.553584, 0.915792, 99562.442684, 0.178803, 3490482.931033, 6.268523, 65202513.844536
glusterfs_0_0_c, 0.749081, 97803770.766804, 515476.934408, 100838.130738, 556827, 3340962, 175.644807, 0.925740, 6.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[0.089107, 0.014112, 5713485.913892, 0.166816, 0.016812, 0.265458, 11413004.221827, 1867212.422241, 1556082.473231, 3646443.649701]", 1685900.149420, 3.027691, 0.181094, 509937.553584, 0.915792, 99562.442684, 0.178803, 3490482.931033, 6.268523, 65202513.844536
