ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
1,124.099998,0.809051,0.138504,2.390435,9,8,0.775560,0.116635,57.121810
5,1.900000,0.012387,0.002121,0.037333,9,8,0.011874,0.001786,0.587314
6,4.100000,0.026729,0.004576,0.080561,9,8,0.025623,0.003853,1.267362
8,3.700000,0.024122,0.004129,0.072702,9,8,0.023123,0.003477,1.143717
10,158.300003,1.032012,0.176674,3.048563,9,8,0.989293,0.148778,58.054962
12,165.899994,1.081559,0.185156,3.194924,9,8,1.036789,0.155921,60.842183
18,107.400002,0.700178,0.119866,2.068757,9,8,0.671194,0.100940,49.434992
20,123.300003,0.803835,0.137612,2.375025,9,8,0.770561,0.115883,56.753581
21,9.400000,0.061282,0.010491,0.184701,9,8,0.058745,0.008835,2.905658
22,92.199997,0.601084,0.102902,1.775972,9,8,0.576202,0.086654,42.438604
24,203.500000,1.326687,0.227121,3.919030,9,8,1.271769,0.191259,74.631614
25,110.900002,0.722995,0.123772,2.136174,9,8,0.693067,0.104229,51.046002
26,124.599998,0.812310,0.139062,2.400066,9,8,0.778685,0.117105,57.351954
27,187.199997,1.220422,0.208929,3.605123,9,8,1.169902,0.175940,68.653749
29,153.399994,1.000068,0.171205,2.954198,9,8,0.958670,0.144173,56.257932
33,74.199997,0.483735,0.082812,1.460107,9,8,0.463711,0.069737,23.735289
38,10.300000,0.067149,0.011496,0.202385,9,8,0.064370,0.009680,3.183860
42,447.700012,2.918711,0.499665,8.695415,9,8,2.797892,0.420771,193.692895
44,532.099976,3.468944,0.593862,10.334667,9,8,3.325348,0.500094,230.207688
45,56.700001,0.369647,0.063281,1.115743,9,8,0.354345,0.053289,18.137345
48,117.699997,0.767327,0.131362,2.267157,9,8,0.735564,0.110620,54.175962
51,112.199997,0.731471,0.125223,2.161215,9,8,0.701192,0.105451,51.644375
52,1.700000,0.011083,0.001897,0.032746,9,8,0.010624,0.001598,0.782491
55,26.500000,0.172763,0.029576,0.520700,9,8,0.165611,0.024906,8.191483
56,8.600000,0.056066,0.009598,0.168982,9,8,0.053746,0.008083,2.658368
57,4.000000,0.026077,0.004464,0.078596,9,8,0.024998,0.003759,1.236450
58,160.000000,1.043095,0.178571,3.081301,9,8,0.999917,0.150376,58.678419
59,7.500000,0.048895,0.008371,0.147368,9,8,0.046871,0.007049,2.318344
60,6.500000,0.042376,0.007254,0.127719,9,8,0.040622,0.006109,2.009232
64,2.200000,0.014343,0.002455,0.043292,9,8,0.013749,0.002068,0.703742
66,72.300003,0.471349,0.080692,1.422719,9,8,0.451837,0.067951,23.127514
71,2.000000,0.013039,0.002232,0.039298,9,8,0.012499,0.001880,0.618225
72,186.000000,1.212598,0.207589,3.582013,9,8,1.162403,0.174812,68.213662
76,73.099998,0.476564,0.081585,1.438462,9,8,0.456837,0.068703,23.383419
79,1.800000,0.011735,0.002009,0.035420,9,8,0.011249,0.001692,0.575789
81,118.500000,0.772542,0.132254,2.282567,9,8,0.740563,0.111372,54.544195
82,164.399994,1.071780,0.183482,3.166037,9,8,1.027414,0.154511,60.292073
85,71.000000,0.462874,0.079241,1.397138,9,8,0.443713,0.066729,22.711666
86,191.399994,1.247803,0.213616,3.686007,9,8,1.196150,0.179887,70.194056
88,214.600006,1.399052,0.239509,4.132796,9,8,1.341138,0.201692,78.702432
94,70.199997,0.457658,0.078348,1.381395,9,8,0.438713,0.065977,22.455759
96,62.700001,0.408763,0.069978,1.233811,9,8,0.391842,0.058929,20.056640
101,188.300003,1.227593,0.210156,3.626307,9,8,1.176777,0.176974,69.057165
104,121.099998,0.789493,0.135156,2.332648,9,8,0.756812,0.113816,55.740944
107,52.099998,0.339658,0.058147,1.025224,9,8,0.325598,0.048966,16.665884
109,2.100000,0.013691,0.002344,0.040451,9,8,0.013124,0.001974,0.966606
111,121.000000,0.788841,0.135045,2.330722,9,8,0.756187,0.113722,55.694916
112,49.400002,0.322056,0.055134,0.972093,9,8,0.308724,0.046429,15.802202
113,137.300003,0.895106,0.153237,2.644696,9,8,0.858053,0.129041,63.197621
114,72.300003,0.471349,0.080692,1.422719,9,8,0.451837,0.067951,23.127514
115,73.800003,0.481128,0.082366,1.452236,9,8,0.461212,0.069361,23.607338
117,17.200001,0.112133,0.019196,0.337964,9,8,0.107491,0.016165,5.316737
118,266.700012,1.738710,0.297656,5.136145,9,8,1.666736,0.250658,97.809594
120,11.900000,0.077580,0.013281,0.233824,9,8,0.074369,0.011184,3.678440
121,120.500000,0.785581,0.134487,2.321091,9,8,0.753062,0.113252,55.464772
127,196.399994,1.280399,0.219196,3.782297,9,8,1.227398,0.184586,72.027757
129,68.800003,0.448531,0.076786,1.353846,9,8,0.429964,0.064662,22.007925
130,247.000000,1.610278,0.275670,4.756759,9,8,1.543621,0.232143,90.584809
131,2.200000,0.014343,0.002455,0.042368,9,8,0.013749,0.002068,0.806828
133,191.699997,1.249759,0.213951,3.691784,9,8,1.198025,0.180169,70.304080
134,2.100000,0.013691,0.002344,0.040442,9,8,0.013124,0.001974,0.770154
136,124.099998,0.809051,0.138504,2.390435,9,8,0.775560,0.116635,57.121810
138,52.299999,0.340962,0.058371,1.029159,9,8,0.326848,0.049154,16.729861
140,146.500000,0.955084,0.163504,2.821908,9,8,0.915549,0.137688,67.432275
142,74.300003,0.484387,0.082924,1.462075,9,8,0.464336,0.069831,23.767279
144,2.500000,0.016298,0.002790,0.049195,9,8,0.015624,0.002350,0.799707
145,154.600006,1.007891,0.172545,2.977308,9,8,0.966169,0.145301,56.698025
152,227.000000,1.479891,0.253348,4.371596,9,8,1.418632,0.213346,83.250007
153,134.500000,0.876852,0.150112,2.590762,9,8,0.840555,0.126410,61.908812
155,124.400002,0.811007,0.138839,2.396214,9,8,0.777435,0.116917,57.259898
156,2.300000,0.014994,0.002567,0.044303,9,8,0.014374,0.002162,1.058664
157,188.600006,1.229549,0.210491,3.632084,9,8,1.178652,0.177256,69.167189
158,184.800003,1.204775,0.206250,3.558903,9,8,1.154904,0.173684,67.773575
162,74.199997,0.483735,0.082812,1.460107,9,8,0.463711,0.069737,23.735289
163,50.299999,0.327923,0.056138,0.989803,9,8,0.314349,0.047274,16.090095
165,67.400002,0.439404,0.075223,1.326297,9,8,0.421215,0.063346,21.560089
167,73.800003,0.481128,0.082366,1.452236,9,8,0.461212,0.069361,23.607338
169,149.300003,0.973338,0.166629,2.875842,9,8,0.933047,0.140320,68.721084
171,184.000000,1.199560,0.205357,3.543497,9,8,1.149904,0.172932,67.480182
172,134.600006,0.877504,0.150223,2.592688,9,8,0.841180,0.126504,61.954843
175,139.399994,0.908797,0.155580,2.685146,9,8,0.871177,0.131015,64.164223
176,140.699997,0.917272,0.157031,2.710187,9,8,0.879302,0.132237,64.762599
177,116.099998,0.756896,0.129576,2.236338,9,8,0.725564,0.109117,53.439501
180,2.400000,0.015646,0.002679,0.046229,9,8,0.014999,0.002256,1.104693
183,236.699997,1.543129,0.264174,4.558400,9,8,1.479252,0.222462,86.807385
185,58.299999,0.380078,0.065067,1.147227,9,8,0.364345,0.054793,18.649156
188,128.800003,0.839692,0.143750,2.480967,9,8,0.804933,0.121053,59.285168
194,189.800003,1.237372,0.211830,3.655194,9,8,1.186151,0.178383,69.607276
206,214.300003,1.397096,0.239174,4.127018,9,8,1.339263,0.201410,78.592409
209,161.500000,1.052874,0.180246,3.110189,9,8,1.009291,0.151786,59.228529
211,49.500000,0.322708,0.055246,0.974061,9,8,0.309349,0.046523,15.834190
213,86.800003,0.565879,0.096875,1.671956,9,8,0.542455,0.081579,39.953049
215,133.500000,0.870333,0.148996,2.571499,9,8,0.834305,0.125470,61.448523
216,2.400000,0.015646,0.002679,0.046229,9,8,0.014999,0.002256,1.104693
217,143.899994,0.938134,0.160603,2.771826,9,8,0.899300,0.135244,66.235521
218,69.000000,0.449835,0.077009,1.357782,9,8,0.431214,0.064850,22.071901
220,181.300003,1.181957,0.202344,3.491500,9,8,1.133031,0.170395,66.489985
224,250.000000,1.629836,0.279018,4.814533,9,8,1.562370,0.234962,91.685030
227,118.300003,0.771239,0.132031,2.278715,9,8,0.739313,0.111184,54.452138
228,183.300003,1.194996,0.204576,3.530016,9,8,1.145529,0.172274,67.223465
231,2.300000,0.014994,0.002567,0.044303,9,8,0.014374,0.002162,1.058664
232,163.199997,1.063957,0.182143,3.142927,9,8,1.019915,0.153383,59.851986
234,65.099998,0.424409,0.072656,1.281038,9,8,0.406841,0.061184,20.824358
235,149.399994,0.973990,0.166741,2.877768,9,8,0.933672,0.140414,68.767109
236,127.099998,0.828609,0.141853,2.448221,9,8,0.794309,0.119455,58.502676
239,2.400000,0.015646,0.002679,0.047227,9,8,0.014999,0.002256,0.767718
243,191.800003,1.250411,0.214063,3.693710,9,8,1.198650,0.180263,70.340756
245,2.200000,0.014343,0.002455,0.042377,9,8,0.013749,0.002068,1.012635
247,134.699997,0.878156,0.150335,2.594614,9,8,0.841805,0.126598,62.000868
248,128.600006,0.838388,0.143527,2.477115,9,8,0.803683,0.120865,59.193112
252,183.699997,1.197604,0.205022,3.537719,9,8,1.148029,0.172650,67.370159
253,138.399994,0.902277,0.154464,2.665884,9,8,0.864928,0.130075,63.703934
257,63.200001,0.412023,0.070536,1.243650,9,8,0.394967,0.059398,20.216582
259,147.899994,0.964211,0.165067,2.848874,9,8,0.924298,0.139004,68.076676
263,131.399994,0.856642,0.146652,2.531049,9,8,0.821181,0.123496,60.481914
265,135.800003,0.885327,0.151563,2.615802,9,8,0.848679,0.127632,62.507188
266,65.400002,0.426365,0.072991,1.286941,9,8,0.408716,0.061466,20.920324
269,2.300000,0.014994,0.002567,0.044294,9,8,0.014374,0.002162,0.843502
270,188.899994,1.231504,0.210826,3.637861,9,8,1.180527,0.177538,69.277206
271,253.399994,1.652002,0.282812,4.880011,9,8,1.583618,0.238158,92.931944
275,206.500000,1.346245,0.230469,3.976805,9,8,1.290517,0.194079,75.731834
277,2.500000,0.016298,0.002790,0.048155,9,8,0.015624,0.002350,1.150721
278,183.600006,1.196952,0.204911,3.535793,9,8,1.147404,0.172556,67.333488
279,2.700000,0.017602,0.003013,0.051997,9,8,0.016874,0.002538,0.990198
281,65.400002,0.426365,0.072991,1.286941,9,8,0.408716,0.061466,20.920324
283,50.700001,0.330531,0.056585,0.997675,9,8,0.316849,0.047650,16.218049
284,135.300003,0.882068,0.151004,2.606171,9,8,0.845555,0.127162,62.277044
285,89.300003,0.582178,0.099665,1.720112,9,8,0.558078,0.083929,41.103770
290,2.300000,0.014994,0.002567,0.044303,9,8,0.014374,0.002162,1.058664
292,69.400002,0.452443,0.077455,1.365653,9,8,0.433714,0.065226,22.199854
297,2.100000,0.013691,0.002344,0.040442,9,8,0.013124,0.001974,0.770154
300,137.899994,0.899018,0.153906,2.656253,9,8,0.861803,0.129605,63.473790
306,73.400002,0.478520,0.081920,1.444365,9,8,0.458712,0.068985,23.479385
307,64.300003,0.419194,0.071763,1.265295,9,8,0.401842,0.060432,20.568453
310,85.599998,0.558056,0.095536,1.648842,9,8,0.534955,0.080451,39.400700
313,150.300003,0.979858,0.167746,2.895104,9,8,0.939297,0.141259,69.181372
314,80.599998,0.525459,0.089955,1.552531,9,8,0.503708,0.075752,37.099257
317,149.899994,0.977250,0.167299,2.887399,9,8,0.936797,0.140883,68.997253
322,256.600006,1.672864,0.286384,4.941637,9,8,1.603616,0.241165,94.105517
323,147.199997,0.959648,0.164286,2.835391,9,8,0.919923,0.138346,67.754475
325,214.500000,1.398400,0.239397,4.130870,9,8,1.340513,0.201598,78.665755
326,189.600006,1.236068,0.211607,3.651342,9,8,1.184901,0.178195,69.533929
327,2.800000,0.018254,0.003125,0.053923,9,8,0.017499,0.002632,1.026872
328,122.599998,0.799272,0.136830,2.361542,9,8,0.766186,0.115226,56.431377
335,89.000000,0.580222,0.099330,1.714333,9,8,0.556204,0.083647,40.965682
336,172.300003,1.123283,0.192299,3.318177,9,8,1.076785,0.161936,63.189324
339,156.699997,1.021581,0.174888,3.017750,9,8,0.979293,0.147274,57.468175
340,83.900002,0.546973,0.093638,1.616096,9,8,0.524331,0.078853,38.618211
341,174.000000,1.134366,0.194196,3.350915,9,8,1.087409,0.163534,63.812781
342,185.199997,1.207383,0.206696,3.566606,9,8,1.157403,0.174060,67.920269
344,2.500000,0.016298,0.002790,0.048145,9,8,0.015624,0.002350,0.916850
345,139.899994,0.912056,0.156138,2.694777,9,8,0.874302,0.131485,64.394367
346,3.100000,0.020210,0.003460,0.059713,9,8,0.019373,0.002914,1.426895
