algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 97.492040, 14177054.649226, 81424.250213, 14916.407988, 103925, 806076, 136.416210, 0.783491, 7.756324, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[13001896.187351, 16048452.912464, 10048452.912462, 8249996.729231, 6878350.049706, 10059374.645779, 10142707.479174, 6878436.043945, 13497389.122937, 3017889.267724]", 245850.634702, 2.365654, 0.143531, 78967.886506, 0.759855, 13924.465764, 0.133986, 5326150.086590, 51.249941, 12167987.508348
alg1_c, 0.145370, 15572384.486954, 93675.314940, 13903.914720, 103925, 1039250, 149.842526, 0.901374, 10.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[12442761.551305, 16442761.551305, 10442761.551305, 8442761.551305, 6442761.551304, 10442761.551305, 10442761.551305, 6442761.551304, 12442761.551305, 2442761.551305]", 290848.227226, 2.798636, 0.133788, 91279.899541, 0.878325, 13424.469385, 0.129175, 5051096.089722, 48.603282, 12167987.508348
alg_bogdan, 0.178492, 19662476.613361, 109727.708932, 43879.015769, 103925, 335825, 189.198717, 1.055836, 3.231417, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[10084226.847344, 11916006.245826, 10084341.798797, 10000000.000000, 8000000.000000, 10084340.948513, 10084348.748492, 8000000.000000, 10084258.797666, 4000000.000000]", 294754.219580, 2.836221, 0.422218, 110408.007845, 1.062382, 46114.483038, 0.443728, 6670147.807601, 64.182322, 12167987.508348
hdfs_3_replication_c, 0.053491, 36503293.825038, 174524.164448, 63095.331423, 103923, 311769, 351.253272, 1.679360, 3.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[1841029.891593, 5832235.391654, 50.491729, 9832184.899925, 8000000.000000, 12000000.000000, 11991205.500061, 8000000.000000, 14000000.000000, 4000000.000000]", 339185.899046, 3.263819, 0.607135, 168598.249117, 1.622338, 59696.604881, 0.574431, 6975981.301559, 67.126443, 12167764.608346
hdfs_rs_3_2_c, 0.070301, 20261258.680691, 102328.583647, 22165.815283, 103826, 519130, 195.146290, 0.985578, 5.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[9981809.630547, 13948885.097200, 7947748.263862, 5947748.263862, 3953063.097222, 11994685.166639, 11965938.633315, 8000000.000000, 14000000.000000, 3998863.166662]", 322513.115645, 3.106285, 0.213490, 99459.899928, 0.957948, 22401.035542, 0.215756, 6405567.564368, 61.695217, 12156755.208415
hdfs_rs_6_3_c, 0.124644, 18208967.412497, 103654.584072, 16198.542560, 103679, 933111, 175.628309, 0.999765, 9.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[11976781.398611, 15976781.398612, 9976781.398611, 7976781.398611, 5976781.398612, 9976781.398611, 9976781.398611, 5976781.398612, 11990559.281938, 3986222.116673]", 344610.486097, 3.323821, 0.156237, 103366.683056, 0.996988, 17426.357919, 0.168080, 5582432.259672, 53.843423, 12139311.608331
hdfs_rs_4_2_c, 0.079382, 18205076.112483, 93986.696095, 17363.751817, 103655, 621930, 175.631432, 0.906726, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[11001678.922931, 14965820.647920, 8965820.647920, 6965820.647920, 4970804.272909, 8965820.647920, 11964141.724989, 8000000.000000, 14000000.000000, 3995016.375011]", 313811.743805, 3.027464, 0.167515, 92236.548981, 0.889842, 17752.065760, 0.171261, 6113606.608160, 58.980335, 12136717.408322
hdfs_rs_0_0_c, 0.124446, 18208967.412497, 103654.584072, 16198.542560, 103679, 933111, 175.628309, 0.999765, 9.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[11976781.398611, 15976781.398612, 9976781.398611, 7976781.398611, 5976781.398612, 9976781.398611, 9976781.398611, 5976781.398612, 11990559.281938, 3986222.116673]", 344610.486097, 3.323821, 0.156237, 103366.683056, 0.996988, 17426.357919, 0.168080, 5582432.259672, 53.843423, 12139311.608331
glusterfs_6_4_c, 0.078878, 18205076.112483, 93986.696095, 17363.751817, 103655, 621930, 175.631432, 0.906726, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[11001678.922931, 14965820.647920, 8965820.647920, 6965820.647920, 4970804.272909, 8965820.647920, 11964141.724989, 8000000.000000, 14000000.000000, 3995016.375011]", 313811.743805, 3.027464, 0.167515, 92236.548981, 0.889842, 17752.065760, 0.171261, 6113606.608160, 58.980335, 12136717.408322
glusterfs_0_0_c, 0.078991, 18205076.112483, 93986.696095, 17363.751817, 103655, 621930, 175.631432, 0.906726, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[11001678.922931, 14965820.647920, 8965820.647920, 6965820.647920, 4970804.272909, 8965820.647920, 11964141.724989, 8000000.000000, 14000000.000000, 3995016.375011]", 313811.743805, 3.027464, 0.167515, 92236.548981, 0.889842, 17752.065760, 0.171261, 6113606.608160, 58.980335, 12136717.408322
