ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.004611,0.000714,inf,10,9,0.004338,0.000701,inf
1,0.391467,0.002874,0.000445,inf,10,8,0.002704,0.000437,inf
2,0.001680,0.000014,0.000002,inf,10,7,0.000013,0.000002,inf
3,0.000925,0.000008,0.000001,inf,10,7,0.000007,0.000001,inf
4,50629.371094,371.753560,57.533376,1178.758919,10,8,349.760384,56.505995,3596.477387
5,59007.406250,433.270509,67.053871,1373.817310,10,8,407.637951,65.856480,4191.614426
6,0.000385,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
7,1.414693,0.013850,0.002143,0.045796,10,6,0.013031,0.002105,0.086795
8,24.344404,0.158891,0.024590,0.462797,10,9,0.149491,0.024151,1.842908
9,6592.832031,55.324381,8.562120,183.458919,10,7,52.051355,8.409225,436.405876
10,0.117970,0.000990,0.000153,0.003283,10,7,0.000931,0.000150,0.007809
11,0.702234,0.005156,0.000798,0.016350,10,8,0.004851,0.000784,0.049883
12,0.011613,0.000085,0.000013,0.000270,10,8,0.000080,0.000013,0.000825
13,0.015084,0.000098,0.000015,0.000283,10,9,0.000093,0.000015,0.001145
14,0.002154,0.000014,0.000002,0.000040,10,9,0.000013,0.000002,0.000163
15,0.001658,0.000016,0.000003,0.000054,10,6,0.000015,0.000002,0.000102
16,0.063653,0.000415,0.000064,0.001193,10,9,0.000391,0.000063,0.004830
17,0.049008,0.000411,0.000064,0.001364,10,7,0.000387,0.000063,0.003244
18,0.255233,0.001874,0.000290,0.005942,10,8,0.001763,0.000285,0.018131
19,12.375332,0.080771,0.012500,0.235260,10,9,0.075993,0.012277,0.936831
20,0.000378,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
21,235918.734375,1979.734633,306.387967,6564.917149,10,7,1862.612277,300.916753,15616.402999
22,0.014689,0.000096,0.000015,0.000275,10,9,0.000090,0.000015,0.001115
23,0.000288,0.000002,0.000000,0.000007,10,8,0.000002,0.000000,0.000020
24,100636.187500,985.247896,152.479072,3257.788501,10,6,926.960006,149.756231,6174.290781
25,0.049225,0.000413,0.000064,0.001370,10,7,0.000389,0.000063,0.003258
26,180627.671875,1178.920082,182.452194,3384.457798,10,9,1109.174423,179.194119,13705.449323
27,0.009455,0.000062,0.000010,0.000177,10,9,0.000058,0.000009,0.000717
28,1.014138,0.006619,0.001024,0.019002,10,9,0.006227,0.001006,0.076950
29,0.721532,0.006055,0.000937,0.020078,10,7,0.005697,0.000920,0.047761
30,0.003650,0.000031,0.000005,0.000102,10,7,0.000029,0.000005,0.000242
31,0.006284,0.000046,0.000007,0.000146,10,8,0.000043,0.000007,0.000446
32,1000.088318,7.343295,1.136464,23.284173,10,8,6.908861,1.116170,71.041669
33,13.075246,0.109722,0.016981,0.366280,10,7,0.103231,0.016678,0.873389
34,45.951294,0.299915,0.046415,0.874061,10,9,0.282172,0.045587,3.573196
35,0.000001,0.000000,0.000000,0.000000,10,9,0.000000,0.000000,0.000000
36,0.009766,0.000064,0.000010,0.000186,10,9,0.000060,0.000010,0.000759
37,56905.156250,417.834431,64.664950,1324.872481,10,8,393.115081,63.510219,4042.280266
38,0.044900,0.000330,0.000051,0.001045,10,8,0.000310,0.000050,0.003189
39,23.662697,0.173747,0.026889,0.556353,10,8,0.163468,0.026409,1.685951
40,0.222609,0.001453,0.000225,0.004232,10,9,0.001367,0.000221,0.016852
41,3.455428,0.022553,0.003490,0.065689,10,9,0.021219,0.003428,0.261581
42,0.000072,0.000000,0.000000,0.000001,10,9,0.000000,0.000000,0.000005
43,0.000104,0.000001,0.000000,0.000003,10,7,0.000001,0.000000,0.000007
44,0.000090,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000006
45,0.000198,0.000001,0.000000,0.000004,10,9,0.000001,0.000000,0.000015
46,3451.168213,25.340707,3.921782,80.350501,10,8,23.841535,3.851750,245.155098
47,0.004682,0.000031,0.000005,0.000088,10,9,0.000029,0.000005,0.000355
48,10848.284180,91.034415,14.088681,301.875504,10,7,85.648761,13.837097,718.091245
49,0.003695,0.000024,0.000004,0.000069,10,9,0.000023,0.000004,0.000280
50,0.001874,0.000014,0.000002,0.000044,10,8,0.000013,0.000002,0.000133
51,304.385010,2.234991,0.345892,7.086727,10,8,2.102768,0.339715,21.622109
52,82.572632,0.808402,0.125110,2.667355,10,6,0.760577,0.122876,5.105651
53,2285.165039,19.176181,2.967747,63.589351,10,7,18.041706,2.914751,151.264198
54,73721.015625,541.307337,83.773881,1716.381279,10,8,509.283252,82.277919,5236.801483
55,70072.625000,588.021138,91.003409,1949.912875,10,7,553.233434,89.378348,4638.386833
56,79666.226562,519.965260,80.470936,1492.722455,10,9,489.203786,79.033955,6044.818159
57,74793.226562,488.160180,75.548714,1401.416052,10,9,459.280314,74.199630,5675.070523
58,0.471746,0.003464,0.000536,0.010983,10,8,0.003259,0.000527,0.033511
59,37189.414062,312.078527,48.297940,1034.870854,10,7,293.615763,47.435477,2461.715806
60,61327.550781,514.636010,79.646170,1706.563453,10,7,484.189818,78.223917,4059.515453
61,0.429507,0.003154,0.000488,0.010000,10,8,0.002967,0.000479,0.030510
62,74725.390625,627.065265,97.045962,2079.385513,10,7,589.967687,95.312998,4946.371967
63,81833.335938,600.873235,92.992427,1905.253266,10,8,565.325194,91.331848,5813.063363
