ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.005050,0.002103,inf,3,2,0.004553,0.002078,inf
1,0.391467,0.003043,0.001165,inf,3,2,0.003010,0.001151,inf
2,0.001680,0.000016,0.000005,inf,4,2,0.000015,0.000005,inf
3,0.000925,0.000009,0.000003,inf,4,2,0.000008,0.000003,inf
4,50629.371094,393.510768,150.682652,1191.495021,3,2,389.296893,148.909915,2143.902495
5,59007.406250,421.778709,175.617281,1388.660954,3,2,380.328156,173.551195,2498.670688
6,0.000385,0.000003,0.000001,0.000009,3,2,0.000003,0.000001,0.000016
7,1.414693,0.017103,0.004210,0.044214,5,2,0.016087,0.004161,0.059760
8,24.344404,0.189214,0.072454,0.571628,3,2,0.187188,0.071601,1.074015
9,6592.832031,62.973021,19.621524,180.599912,4,2,58.812534,19.390682,278.836476
10,0.117970,0.001127,0.000351,0.003232,4,2,0.001052,0.000347,0.004989
11,0.702234,0.005458,0.002090,0.016526,3,2,0.005400,0.002065,0.029736
12,0.011613,0.000090,0.000035,0.000273,3,2,0.000089,0.000034,0.000492
13,0.015084,0.000117,0.000045,0.000355,3,2,0.000116,0.000044,0.000639
14,0.002154,0.000017,0.000006,0.000051,3,2,0.000017,0.000006,0.000091
15,0.001658,0.000020,0.000005,0.000052,5,2,0.000019,0.000005,0.000070
16,0.063653,0.000495,0.000189,0.001498,3,2,0.000489,0.000187,0.002695
17,0.049008,0.000468,0.000146,0.001343,4,2,0.000437,0.000144,0.002073
18,0.255233,0.001984,0.000760,0.006007,3,2,0.001963,0.000751,0.010808
19,12.375332,0.096186,0.036831,0.290584,3,2,0.095156,0.036398,0.545969
20,0.000378,0.000003,0.000001,0.000009,3,2,0.000003,0.000001,0.000017
21,235918.734375,2253.434544,702.139090,6462.610064,4,2,2104.555149,693.878631,9977.919683
22,0.014689,0.000114,0.000044,0.000346,3,2,0.000113,0.000043,0.000622
23,0.000288,0.000002,0.000001,0.000007,3,2,0.000002,0.000001,0.000012
24,100636.187500,1226.082826,299.512463,3145.190348,5,2,1163.976360,295.988787,4251.147674
25,0.049225,0.000470,0.000147,0.001348,4,2,0.000439,0.000145,0.002082
26,180627.671875,1403.907108,537.582357,4250.832414,3,2,1388.873492,531.257858,7648.685103
27,0.009455,0.000068,0.000028,0.000223,3,2,0.000061,0.000028,0.000400
28,1.014138,0.007249,0.003018,0.023866,3,2,0.006537,0.002983,0.042944
29,0.721532,0.006892,0.002147,0.019765,4,2,0.006437,0.002122,0.030516
30,0.003650,0.000035,0.000011,0.000100,4,2,0.000033,0.000011,0.000154
31,0.006284,0.000045,0.000019,0.000148,3,2,0.000041,0.000018,0.000266
32,1000.088318,7.148526,2.976453,23.535751,3,2,6.446000,2.941436,42.348775
33,13.075246,0.124891,0.038914,0.357525,4,2,0.116640,0.038457,0.577630
34,45.951294,0.328455,0.136760,1.085242,3,2,0.296176,0.135151,2.073048
35,0.000001,0.000000,0.000000,0.000000,3,2,0.000000,0.000000,0.000000
36,0.009766,0.000070,0.000029,0.000231,3,2,0.000063,0.000029,0.000441
37,56905.156250,406.752048,169.360584,1339.187292,3,2,366.778249,167.368107,2409.650838
38,0.044900,0.000321,0.000134,0.001057,3,2,0.000289,0.000132,0.001901
39,23.662697,0.169138,0.070425,0.555621,3,2,0.152516,0.069596,1.043940
40,0.222609,0.001591,0.000663,0.005227,3,2,0.001435,0.000655,0.009821
41,3.455428,0.024699,0.010284,0.081137,3,2,0.022272,0.010163,0.152445
42,0.000072,0.000001,0.000000,0.000002,3,2,0.000000,0.000000,0.000003
43,0.000104,0.000001,0.000000,0.000003,4,2,0.000001,0.000000,0.000005
44,0.000090,0.000001,0.000000,0.000002,3,2,0.000001,0.000000,0.000004
45,0.000198,0.000001,0.000001,0.000005,3,2,0.000001,0.000001,0.000009
46,3451.168213,24.668586,10.271334,81.218661,3,2,22.244266,10.150495,146.139839
47,0.004682,0.000033,0.000014,0.000110,3,2,0.000030,0.000014,0.000198
48,10848.284180,103.619996,32.286560,297.171103,4,2,96.774054,31.906718,458.816077
49,0.003695,0.000026,0.000011,0.000087,3,2,0.000024,0.000011,0.000156
50,0.001874,0.000013,0.000006,0.000044,3,2,0.000012,0.000006,0.000079
51,304.385010,2.175712,0.905908,7.163297,3,2,1.961893,0.895250,12.889194
52,82.572632,1.164043,0.375330,2.560532,5,2,1.105232,0.368628,3.623641
53,2285.165039,21.827304,6.801086,62.598380,4,2,20.385222,6.721074,96.648506
54,73721.015625,526.950035,219.407785,1734.926213,3,2,475.163707,216.826517,3121.718993
55,70072.625000,669.315534,208.549479,1919.525606,4,2,625.095350,206.095956,2963.643503
56,79666.226562,569.445775,237.101865,1874.838859,3,2,513.483153,234.312431,3373.469159
57,74793.226562,581.321463,222.598889,1760.159274,3,2,575.096433,219.980078,3167.121803
58,0.471746,0.003372,0.001404,0.011102,3,2,0.003041,0.001387,0.019976
59,37189.414062,355.223635,110.682780,1018.743519,4,2,331.754801,109.380630,1572.884780
60,61327.550781,585.784854,182.522473,1679.968519,4,2,547.083355,180.375149,2593.780344
