ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.005187,0.000803,inf,10,8,0.004880,0.000788,inf
1,0.391467,0.002874,0.000445,inf,10,8,0.002704,0.000437,inf
4,50629.371094,371.753560,57.533376,1178.758919,10,8,349.760384,56.505995,3596.477387
5,59007.406250,433.270509,67.053871,1373.817310,10,8,407.637951,65.856480,4191.614426
6,0.000385,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
8,24.344404,0.178752,0.027664,0.572381,10,8,0.168177,0.027170,1.734522
11,0.702234,0.005156,0.000798,0.016350,10,8,0.004851,0.000784,0.049883
12,0.011613,0.000085,0.000013,0.000270,10,8,0.000080,0.000013,0.000825
13,0.015084,0.000111,0.000017,0.000351,10,8,0.000104,0.000017,0.001072
14,0.002154,0.000016,0.000002,0.000050,10,8,0.000015,0.000002,0.000153
16,0.063653,0.000467,0.000072,0.001482,10,8,0.000440,0.000071,0.004522
18,0.255233,0.001874,0.000290,0.005942,10,8,0.001763,0.000285,0.018131
19,12.375332,0.090868,0.014063,0.290967,10,8,0.085492,0.013812,0.881734
20,0.000378,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
22,0.014689,0.000108,0.000017,0.000342,10,8,0.000101,0.000016,0.001043
23,0.000288,0.000002,0.000000,0.000007,10,8,0.000002,0.000000,0.000020
26,180627.671875,1326.285093,205.258718,4205.394511,10,8,1247.821226,201.593384,12830.958065
27,0.009455,0.000069,0.000011,0.000220,10,8,0.000065,0.000011,0.000672
28,1.014138,0.007446,0.001152,0.023611,10,8,0.007006,0.001132,0.072040
31,0.006284,0.000046,0.000007,0.000146,10,8,0.000043,0.000007,0.000446
32,1000.088318,7.343295,1.136464,23.284173,10,8,6.908861,1.116170,71.041669
34,45.951294,0.337404,0.052217,1.078331,10,8,0.317443,0.051285,3.361100
35,0.000001,0.000000,0.000000,0.000000,10,8,0.000000,0.000000,0.000000
36,0.009766,0.000072,0.000011,0.000229,10,8,0.000067,0.000011,0.000714
37,56905.156250,417.834431,64.664950,1324.872481,10,8,393.115081,63.510219,4042.280266
38,0.044900,0.000330,0.000051,0.001045,10,8,0.000310,0.000050,0.003189
39,23.662697,0.173747,0.026889,0.556353,10,8,0.163468,0.026409,1.685951
40,0.222609,0.001635,0.000253,0.005234,10,8,0.001538,0.000248,0.015861
41,3.455428,0.025372,0.003927,0.081243,10,8,0.023871,0.003857,0.246197
42,0.000072,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000005
44,0.000090,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000006
45,0.000198,0.000001,0.000000,0.000005,10,8,0.000001,0.000000,0.000014
46,3451.168213,25.340707,3.921782,80.350501,10,8,23.841535,3.851750,245.155098
47,0.004682,0.000034,0.000005,0.000109,10,8,0.000032,0.000005,0.000333
49,0.003695,0.000027,0.000004,0.000086,10,8,0.000026,0.000004,0.000263
50,0.001874,0.000014,0.000002,0.000044,10,8,0.000013,0.000002,0.000133
51,304.385010,2.234991,0.345892,7.086727,10,8,2.102768,0.339715,21.622109
54,73721.015625,541.307337,83.773881,1716.381279,10,8,509.283252,82.277919,5236.801483
56,79666.226562,584.960918,90.529803,1854.798373,10,8,550.354259,88.913199,5659.121892
57,74793.226562,549.180203,84.992303,1741.344619,10,8,516.690354,83.474583,5312.966411
58,0.471746,0.003464,0.000536,0.010983,10,8,0.003259,0.000527,0.033511
61,0.429507,0.003154,0.000488,0.010000,10,8,0.002967,0.000479,0.030510
63,81833.335938,600.873235,92.992427,1905.253266,10,8,565.325194,91.331848,5813.063363
64,1043.456421,7.661731,1.185746,24.293874,10,8,7.208458,1.164572,74.122339
65,0.048340,0.000355,0.000055,0.001125,10,8,0.000334,0.000054,0.003434
67,26.608343,0.195376,0.030237,0.625611,10,8,0.183817,0.029697,1.895827
71,10.665481,0.078313,0.012120,0.250765,10,8,0.073680,0.011903,0.759908
72,3.247643,0.023846,0.003691,0.076358,10,8,0.022436,0.003625,0.231392
73,4.037049,0.029643,0.004588,0.094918,10,8,0.027889,0.004506,0.287637
76,7.465809,0.054819,0.008484,0.175535,10,8,0.051576,0.008332,0.531934
77,0.000378,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
78,2397.142578,17.601370,2.724026,55.810553,10,8,16.560062,2.675382,170.281971
79,87.686806,0.643853,0.099644,2.031964,10,8,0.605762,0.097865,6.193805
81,107.007172,0.785716,0.121599,2.479674,10,8,0.739232,0.119428,7.558509
82,1589.519897,11.671282,1.806273,37.007388,10,8,10.980802,1.774018,112.912174
83,3817.052490,28.027266,4.337560,88.869061,10,8,26.369155,4.260103,271.145832
84,2.382184,0.017492,0.002707,0.055462,10,8,0.016457,0.002659,0.169219
85,0.244124,0.001793,0.000277,0.005684,10,8,0.001686,0.000272,0.017341
87,0.209498,0.001538,0.000238,0.004878,10,8,0.001447,0.000234,0.014882
93,27.014547,0.198358,0.030698,0.635161,10,8,0.186623,0.030150,1.924768
96,17.405254,0.127801,0.019779,0.409229,10,8,0.120240,0.019426,1.240113
97,4.450742,0.032680,0.005058,0.104645,10,8,0.030747,0.004967,0.317112
99,0.005913,0.000043,0.000007,0.000139,10,8,0.000041,0.000007,0.000421
100,0.208012,0.001527,0.000236,0.004891,10,8,0.001437,0.000232,0.014821
101,20.604153,0.151289,0.023414,0.484441,10,8,0.142339,0.022996,1.468032
103,2.091487,0.015357,0.002377,0.048343,10,8,0.014449,0.002334,0.151548
105,120.941620,0.888032,0.137434,2.802577,10,8,0.835495,0.134979,8.542777
106,0.963304,0.007073,0.001095,0.022323,10,8,0.006655,0.001075,0.068043
108,15.096419,0.110848,0.017155,0.354944,10,8,0.104290,0.016849,1.075610
109,0.018649,0.000137,0.000021,0.000438,10,8,0.000129,0.000021,0.001329
110,87589.218750,643.136646,99.533203,2039.262400,10,8,605.088275,97.755824,6221.934774
114,0.021510,0.000158,0.000024,0.000505,10,8,0.000149,0.000024,0.001573
115,75392.687500,553.581832,85.673509,1755.301338,10,8,520.831580,84.143624,5355.549356
116,745098.937500,5470.997900,846.703338,17347.480312,10,8,5147.330196,831.583636,52928.397528
117,16.488413,0.121069,0.018737,0.387673,10,8,0.113906,0.018402,1.174788
118,12.417477,0.091177,0.014111,0.291957,10,8,0.085783,0.013859,0.884737
