ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.005846,0.001051,inf,9,6,0.005456,0.000885,inf
1,0.391467,0.003239,0.000583,inf,9,6,0.003023,0.000491,inf
2,0.001680,0.000014,0.000003,inf,9,6,0.000013,0.000002,inf
3,0.000925,0.000008,0.000001,inf,9,6,0.000007,0.000001,inf
4,50629.371094,418.960246,75.341326,1443.556638,9,6,391.005853,63.445327,3108.832788
5,59007.406250,488.288851,87.808640,1682.433164,9,6,455.708627,73.944118,3623.275489
6,0.000385,0.000003,0.000001,0.000011,9,6,0.000003,0.000000,0.000024
8,24.344404,0.201451,0.036227,0.697513,9,6,0.188010,0.030507,1.516296
9,6592.832031,54.555972,9.810762,187.976391,9,6,50.915819,8.261694,404.824550
10,0.117970,0.000976,0.000176,0.003364,9,6,0.000911,0.000148,0.007244
11,0.702234,0.005811,0.001045,0.020022,9,6,0.005423,0.000880,0.043120
12,0.011613,0.000096,0.000017,0.000331,9,6,0.000090,0.000015,0.000713
13,0.015084,0.000125,0.000022,0.000430,9,6,0.000116,0.000019,0.000926
14,0.002154,0.000018,0.000003,0.000061,9,6,0.000017,0.000003,0.000132
15,0.001658,0.000014,0.000003,0.000047,9,6,0.000013,0.000002,0.000102
16,0.063653,0.000527,0.000095,0.001815,9,6,0.000492,0.000080,0.003909
17,0.049008,0.000406,0.000073,0.001397,9,6,0.000378,0.000061,0.003009
18,0.255233,0.002112,0.000380,0.007277,9,6,0.001971,0.000320,0.015672
19,12.375332,0.102406,0.018416,0.354576,9,6,0.095574,0.015508,0.770800
20,0.000378,0.000003,0.000001,0.000011,9,6,0.000003,0.000000,0.000024
21,235918.734375,1952.237778,351.069545,6726.570915,9,6,1821.978112,295.637512,14486.292856
22,0.014689,0.000122,0.000022,0.000419,9,6,0.000113,0.000018,0.000902
23,0.000288,0.000002,0.000000,0.000008,9,6,0.000002,0.000000,0.000018
25,0.049225,0.000407,0.000073,0.001404,9,6,0.000380,0.000062,0.003023
26,180627.671875,1494.701833,268.791178,5150.099026,9,6,1394.970456,226.350466,11091.214776
27,0.009455,0.000078,0.000014,0.000270,9,6,0.000073,0.000012,0.000581
28,1.014138,0.008392,0.001509,0.028915,9,6,0.007832,0.001271,0.062272
29,0.721532,0.005971,0.001074,0.020572,9,6,0.005572,0.000904,0.044305
30,0.003650,0.000030,0.000005,0.000104,9,6,0.000028,0.000005,0.000224
31,0.006284,0.000052,0.000009,0.000179,9,6,0.000049,0.000008,0.000386
32,1000.088318,8.275774,1.488227,28.514755,9,6,7.723588,1.253244,61.409164
33,13.075246,0.108198,0.019457,0.374630,9,6,0.100979,0.016385,0.814394
34,45.951294,0.380249,0.068380,1.312770,9,6,0.354878,0.057583,2.934697
35,0.000001,0.000000,0.000000,0.000000,9,6,0.000000,0.000000,0.000000
36,0.009766,0.000081,0.000015,0.000279,9,6,0.000075,0.000012,0.000624
37,56905.156250,470.892640,84.680292,1622.493313,9,6,439.473149,71.309720,3494.189474
38,0.044900,0.000372,0.000067,0.001280,9,6,0.000347,0.000056,0.002757
39,23.662697,0.195810,0.035212,0.677980,9,6,0.182745,0.029653,1.473835
40,0.222609,0.001842,0.000331,0.006378,9,6,0.001719,0.000279,0.013865
41,3.455428,0.028594,0.005142,0.099004,9,6,0.026686,0.004330,0.215222
42,0.000072,0.000001,0.000000,0.000002,9,6,0.000001,0.000000,0.000005
43,0.000104,0.000001,0.000000,0.000003,9,6,0.000001,0.000000,0.000006
