algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg1_c, 0.042737, 115999999.999995, 647282.184365, 120995.670996, 4273, 37892, 27147.203370, 151.481906, 8.867774, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000000, 2000000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2000000.000000, 0.000004, 0.000000, 0.000000]", inf, inf, 28.316328, 615194.985084, 143.972615, 118907.563025, 27.827653, inf, inf, 90604479.368443
alg_bogdan, 0.152586, 119999998.442881, 668756.315033, 200054.831373, 3937, 14303, 30480.060565, 169.864444, 3.632969, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.017178, 0.000001, 0.000000, 0.000001, 0.000002, 0.000000, 1.539936, 0.000001, 0.000001, 0.000000]", inf, inf, 50.814029, 636050.590957, 161.557173, 195072.385834, 49.548485, inf, inf, 82437363.504805
hdfs_3_replication_c, 0.232761, 102794058.022705, 535785.725714, 192376.606080, 1383, 4156, 74326.867695, 387.408334, 3.005061, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7470717.087157, 0.000001, 0.000000, 9735224.890137]", inf, inf, 139.100944, 505183.554623, 365.280951, 188727.685515, 136.462535, inf, inf, 34264686.007568
hdfs_rs_3_2_c, 0.007814, 92274586.818614, 477406.762863, 113571.826618, 2462, 12310, 37479.523484, 193.910139, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000001, 0.000000, 0.000000, 0.000001, 0.000001, 4964052.314975, 9904905.966278, 3545082.517227, 0.000000, 9311372.382902]", inf, inf, 46.129905, 447530.940261, 181.775362, 108405.045871, 44.031294, inf, inf, 55364752.091168
hdfs_rs_6_3_c, 0.006775, 72000000.000072, 397851.436231, 72077.922078, 1768, 15912, 40723.981900, 225.029093, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[5999999.999992, 7999999.999992, 5999999.999992, 3999999.999992, 3999999.999992, 3999999.999992, 7999999.999992, 0.000000, 0.000001, 7999999.999983]", inf, inf, 40.768055, 376338.565878, 212.861180, 65789.473684, 37.211241, inf, inf, 48000000.000048
hdfs_rs_4_2_c, 0.008697, 85107634.412238, 418361.476071, 81782.430746, 2226, 13356, 38233.438640, 187.943161, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000000, 1815394.264627, 0.000001, 0.000001, 0.000000, 0.000001, 13119090.462888, 5815749.229919, 2511995.678007, 11630135.952318]", inf, inf, 36.739636, 393689.712865, 176.859709, 80014.064662, 35.945222, inf, inf, 56738422.941492
hdfs_rs_0_0_c, 0.006753, 72000000.000072, 397851.436231, 72077.922078, 1768, 15912, 40723.981900, 225.029093, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[5999999.999992, 7999999.999992, 5999999.999992, 3999999.999992, 3999999.999992, 3999999.999992, 7999999.999992, 0.000000, 0.000001, 7999999.999983]", inf, inf, 40.768055, 376338.565878, 212.861180, 65789.473684, 37.211241, inf, inf, 48000000.000048
glusterfs_6_4_c, 0.008791, 85107634.412238, 418361.476071, 81782.430746, 2226, 13356, 38233.438640, 187.943161, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000000, 1815394.264627, 0.000001, 0.000001, 0.000000, 0.000001, 13119090.462888, 5815749.229919, 2511995.678007, 11630135.952318]", inf, inf, 36.739636, 393689.712865, 176.859709, 80014.064662, 35.945222, inf, inf, 56738422.941492
glusterfs_0_0_c, 0.008847, 85107634.412238, 418361.476071, 81782.430746, 2226, 13356, 38233.438640, 187.943161, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000000, 1815394.264627, 0.000001, 0.000001, 0.000000, 0.000001, 13119090.462888, 5815749.229919, 2511995.678007, 11630135.952318]", inf, inf, 36.739636, 393689.712865, 176.859709, 80014.064662, 35.945222, inf, inf, 56738422.941492
daos_1_0_c, 0.008779, 71999999.999998, 397851.436231, 72077.922078, 2520, 22680, 28571.428571, 157.877554, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.000000, 8000000.000000, 6000000.000000, 4000000.000000, 4000000.000000, 4000000.000000, 8000000.000000, 0.000000, 0.000000, 8000000.000000]", inf, inf, 28.602350, 376338.565877, 149.340701, 65789.473684, 26.106934, inf, inf, 63999999.999998
daos_2_0_c, 0.005233, 39999999.999998, 234964.679154, 36363.636364, 898, 8980, 44543.429844, 261.653318, 10.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 12000000.000000, 4000000.000000, 0.000000, 8000000.000000]", inf, inf, 40.494027, 221064.019781, 246.173741, 35714.285714, 39.770920, inf, inf, 31999999.999998
