ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.004270,0.001051,inf,5,4,0.004017,0.001039,inf
1,0.391467,0.002786,0.000508,inf,9,7,0.002670,0.000499,inf
2,0.001680,0.000014,0.000003,inf,5,3,0.000013,0.000003,inf
3,0.000925,0.000007,0.000002,inf,5,3,0.000007,0.000002,inf
4,50629.371094,322.399078,100.455101,1156.803294,4,3,301.098890,99.273277,2386.429932
5,59007.406250,375.748957,117.078187,1348.228517,4,3,350.924061,115.700797,2781.331022
6,0.000385,0.000002,0.000001,0.000009,4,3,0.000002,0.000001,0.000018
7,1.414693,0.017178,0.004210,0.044214,5,2,0.016087,0.004161,0.059760
8,24.344404,0.155021,0.048302,0.556081,4,3,0.144779,0.047734,1.183857
9,6592.832031,62.973021,19.621524,180.599912,4,2,58.812534,19.390682,278.836476
10,0.117970,0.000958,0.000234,0.003151,5,3,0.000910,0.000231,0.005555
11,0.702234,0.005019,0.002090,0.016526,3,2,0.004526,0.002065,0.029736
12,0.011613,0.000074,0.000023,0.000265,4,3,0.000069,0.000023,0.000547
13,0.015084,0.000096,0.000030,0.000345,4,3,0.000090,0.000030,0.000711
14,0.002154,0.000014,0.000004,0.000049,4,3,0.000013,0.000004,0.000102
15,0.001658,0.000017,0.000005,0.000045,4,2,0.000017,0.000005,0.000070
16,0.063653,0.000405,0.000126,0.001454,4,3,0.000379,0.000125,0.003000
17,0.049008,0.000398,0.000097,0.001309,5,3,0.000378,0.000096,0.002308
18,0.255233,0.001625,0.000506,0.005832,4,3,0.001518,0.000500,0.012030
19,12.375332,0.078804,0.024554,0.282680,4,3,0.073598,0.024265,0.601807
20,0.000378,0.000003,0.000001,0.000009,3,2,0.000003,0.000001,0.000017
21,235918.734375,1887.376751,702.139090,5552.034153,3,2,1854.181208,693.878631,9989.987085
22,0.014689,0.000094,0.000029,0.000336,4,3,0.000087,0.000029,0.000692
23,0.000288,0.000002,0.000001,0.000007,3,2,0.000002,0.000001,0.000012
24,100636.187500,984.925374,199.674975,3076.233473,6,3,927.371803,197.325858,4733.220353
25,0.049225,0.000397,0.000098,0.001315,5,3,0.000373,0.000097,0.002318
26,180627.671875,1150.205773,358.388238,4127.064612,4,3,1074.214243,354.171906,8513.937135
27,0.009455,0.000060,0.000019,0.000216,4,3,0.000056,0.000019,0.000446
28,1.014138,0.006458,0.002012,0.023171,4,3,0.006031,0.001989,0.047802
29,0.721532,0.006892,0.002147,0.019765,4,2,0.006437,0.002122,0.030516
30,0.003650,0.000035,0.000011,0.000100,4,2,0.000033,0.000011,0.000154
