ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.004384,0.000788,inf,9,8,0.004092,0.000664,inf
1,0.391467,0.002874,0.000445,inf,10,8,0.002704,0.000437,inf
2,0.001680,0.000031,0.000009,inf,4,1,0.000028,0.000008,inf
3,0.000925,0.000017,0.000005,inf,4,1,0.000016,0.000005,inf
4,50629.371094,371.753560,57.533376,1178.758919,10,8,349.760384,56.505995,3596.477387
5,59007.406250,433.270509,67.053871,1373.817310,10,8,407.637951,65.856480,4191.614426
6,0.000385,0.000002,0.000000,0.000007,9,8,0.000002,0.000000,0.000027
7,1.414693,0.025786,0.007181,0.045183,4,1,0.023853,0.007003,0.052984
8,24.344404,0.151088,0.027170,0.478345,9,8,0.141007,0.022880,1.733066
9,6592.832031,120.169147,33.466152,210.563747,4,1,111.161507,32.637782,246.917923
10,0.117970,0.002150,0.000599,0.003768,4,1,0.001989,0.000584,0.004418
11,0.702234,0.005156,0.000798,0.016350,10,8,0.004851,0.000784,0.049883
12,0.011613,0.000072,0.000013,0.000226,9,8,0.000067,0.000011,0.000826
13,0.015084,0.000094,0.000017,0.000293,9,8,0.000087,0.000014,0.001072
14,0.002154,0.000013,0.000002,0.000042,9,8,0.000012,0.000002,0.000153
15,0.001658,0.000030,0.000008,0.000053,4,1,0.000028,0.000008,0.000062
16,0.063653,0.000395,0.000071,0.001236,9,8,0.000369,0.000060,0.004525
17,0.049008,0.000893,0.000249,0.001565,4,1,0.000826,0.000243,0.001835
18,0.255233,0.001874,0.000290,0.005942,10,8,0.001763,0.000285,0.018131
19,12.375332,0.076805,0.013812,0.243164,9,8,0.071680,0.011631,0.880994
20,0.000378,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
21,235918.734375,4300.147934,1197.557027,7534.839741,4,1,3977.817421,1167.914527,8835.742139
22,0.014689,0.000091,0.000016,0.000285,9,8,0.000085,0.000014,0.001044
23,0.000288,0.000002,0.000000,0.000007,10,8,0.000002,0.000000,0.000020
24,100636.187500,1834.320173,510.843591,3214.147223,4,1,1696.823192,498.198948,3769.074995
25,0.049225,0.000897,0.000250,0.001572,4,1,0.000830,0.000244,0.001844
26,180627.671875,1121.026375,201.593384,3508.225600,9,8,1046.227842,169.762850,12840.197292
27,0.009455,0.000059,0.000011,0.000184,9,8,0.000055,0.000009,0.000672
28,1.014138,0.006294,0.001132,0.019697,9,8,0.005874,0.000953,0.072092
29,0.721532,0.013152,0.003663,0.023044,4,1,0.012166,0.003572,0.027023
30,0.003650,0.000067,0.000019,0.000117,4,1,0.000062,0.000018,0.000137
31,0.006284,0.000046,0.000007,0.000146,10,8,0.000043,0.000007,0.000446
32,1000.088318,6.227125,1.136464,19.424130,9,8,5.968928,1.116170,71.092824
33,13.075246,0.238326,0.066372,0.416382,4,1,0.220461,0.064729,0.519417
34,45.951294,0.285187,0.051285,0.904230,9,8,0.266158,0.043187,3.358889
35,0.000001,0.000000,0.000000,0.000000,9,8,0.000000,0.000000,0.000000
36,0.009766,0.000061,0.000011,0.000192,9,8,0.000057,0.000009,0.000714
37,56905.156250,417.834431,64.664950,1324.872481,10,8,393.115081,63.510219,4042.280266
38,0.044900,0.000330,0.000051,0.001045,10,8,0.000310,0.000050,0.003189
39,23.662697,0.173747,0.026889,0.556353,10,8,0.163468,0.026409,1.685951
40,0.222609,0.001382,0.000248,0.004374,9,8,0.001289,0.000209,0.015847
41,3.455428,0.021445,0.003857,0.067896,9,8,0.020014,0.003248,0.245990
42,0.000072,0.000000,0.000000,0.000001,9,8,0.000000,0.000000,0.000005
43,0.000104,0.000002,0.000001,0.000003,4,1,0.000002,0.000001,0.000004
44,0.000090,0.000001,0.000000,0.000002,10,8,0.000001,0.000000,0.000006
45,0.000198,0.000001,0.000000,0.000004,9,8,0.000001,0.000000,0.000014
46,3451.168213,25.340707,3.921782,80.350501,10,8,23.841535,3.851750,245.155098
47,0.004682,0.000029,0.000005,0.000091,9,8,0.000027,0.000004,0.000333
