ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.005064,0.000930,inf,6,4,0.004778,0.000934,inf
1,0.391467,0.002806,0.000515,inf,6,4,0.002648,0.000518,inf
3,0.000925,0.000007,0.000001,inf,6,4,0.000006,0.000001,inf
4,50629.371094,362.908134,66.617594,1317.525830,6,4,342.430874,66.970068,2626.367642
5,59007.406250,422.961361,77.641324,1535.547059,6,4,399.095569,78.052125,3060.973088
6,0.000385,0.000003,0.000001,0.000010,6,4,0.000003,0.000001,0.000020
8,24.344404,0.174499,0.032032,0.634570,6,4,0.164653,0.032202,1.295155
9,6592.832031,47.257004,8.674779,171.564969,6,4,44.590505,8.720677,341.999127
11,0.702234,0.005034,0.000924,0.018274,6,4,0.004750,0.000929,0.036428
12,0.011613,0.000083,0.000015,0.000302,6,4,0.000079,0.000015,0.000602
13,0.015084,0.000108,0.000020,0.000393,6,4,0.000102,0.000020,0.000782
14,0.002154,0.000015,0.000003,0.000056,6,4,0.000015,0.000003,0.000112
16,0.063653,0.000456,0.000084,0.001656,6,4,0.000431,0.000084,0.003302
18,0.255233,0.001829,0.000336,0.006642,6,4,0.001726,0.000338,0.013240
19,12.375332,0.088706,0.016283,0.322580,6,4,0.083700,0.016369,0.658385
20,0.000378,0.000003,0.000000,0.000010,6,4,0.000003,0.000000,0.000020
21,235918.734375,1691.050586,310.419387,6139.302534,6,4,1595.632269,312.061818,12238.139970
22,0.014689,0.000105,0.000019,0.000382,6,4,0.000099,0.000019,0.000762
23,0.000288,0.000002,0.000000,0.000007,6,4,0.000002,0.000000,0.000015
26,180627.671875,1294.727743,237.667989,4700.465720,6,4,1221.672127,238.925492,9369.949940
27,0.009455,0.000068,0.000012,0.000246,6,4,0.000064,0.000013,0.000490
28,1.014138,0.007269,0.001334,0.026391,6,4,0.006859,0.001341,0.052608
29,0.721532,0.005172,0.000949,0.018776,6,4,0.004880,0.000954,0.037429
30,0.003650,0.000026,0.000005,0.000095,6,4,0.000025,0.000005,0.000189
31,0.006284,0.000045,0.000008,0.000164,6,4,0.000043,0.000008,0.000326
32,1000.088318,7.168570,1.315906,26.025253,6,4,6.764080,1.322868,51.878969
33,13.075246,0.096243,0.019457,0.340824,6,4,0.091639,0.019228,0.695621
34,45.951294,0.329376,0.060462,1.199006,6,4,0.310791,0.060782,2.503872
35,0.000001,0.000000,0.000000,0.000000,6,4,0.000000,0.000000,0.000000
36,0.009766,0.000070,0.000013,0.000255,6,4,0.000066,0.000013,0.000532
37,56905.156250,407.892566,74.875206,1480.840302,6,4,384.877038,75.271371,2951.920156
38,0.044900,0.000322,0.000059,0.001168,6,4,0.000304,0.000059,0.002329
39,23.662697,0.169613,0.031135,0.616801,6,4,0.160042,0.031300,1.258888
40,0.222609,0.001596,0.000293,0.005803,6,4,0.001506,0.000294,0.011843
41,3.455428,0.024768,0.004547,0.090070,6,4,0.023371,0.004571,0.183833
42,0.000072,0.000001,0.000000,0.000002,6,4,0.000000,0.000000,0.000004
43,0.000104,0.000001,0.000000,0.000003,6,4,0.000001,0.000000,0.000006
44,0.000090,0.000001,0.000000,0.000002,6,4,0.000001,0.000000,0.000005
