ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.009291,0.003396,inf,3,1,0.008449,0.003497,inf
1,0.391467,0.005148,0.001882,inf,3,1,0.004682,0.001938,inf
2,0.001680,0.000022,0.000008,inf,3,1,0.000020,0.000008,inf
3,0.000925,0.000012,0.000004,inf,3,1,0.000011,0.000005,inf
4,50629.371094,665.831931,243.410438,1421.601012,3,1,605.476840,250.640451,1898.785333
5,59007.406250,776.012310,283.689453,1656.844370,3,1,705.669795,292.115873,2212.992085
6,0.000385,0.000005,0.000002,0.000011,3,1,0.000005,0.000002,0.000014
7,1.414693,0.021991,0.008421,0.039723,3,1,0.021756,0.008322,0.053056
8,24.344404,0.320156,0.117040,0.681212,3,1,0.291135,0.120517,0.965630
9,6592.832031,86.702994,31.696308,185.117383,3,1,78.843703,32.637782,247.255150
10,0.117970,0.001551,0.000567,0.003312,3,1,0.001411,0.000584,0.004424
11,0.702234,0.009235,0.003376,0.019718,3,1,0.008398,0.003476,0.026336
12,0.011613,0.000153,0.000056,0.000326,3,1,0.000139,0.000057,0.000436
13,0.015084,0.000198,0.000073,0.000424,3,1,0.000180,0.000075,0.000566
14,0.002154,0.000028,0.000010,0.000060,3,1,0.000026,0.000011,0.000081
15,0.001658,0.000022,0.000008,0.000047,3,1,0.000020,0.000008,0.000062
16,0.063653,0.000837,0.000306,0.001787,3,1,0.000761,0.000315,0.002387
17,0.049008,0.000645,0.000236,0.001376,3,1,0.000586,0.000243,0.001838
18,0.255233,0.003357,0.001227,0.007167,3,1,0.003052,0.001264,0.009572
19,12.375332,0.162749,0.059497,0.346290,3,1,0.147997,0.061264,0.490872
20,0.000378,0.000005,0.000002,0.000011,3,1,0.000005,0.000002,0.000015
21,235918.734375,3102.590906,1134.224684,6624.263829,3,1,2821.353037,1167.914527,8847.809540
22,0.014689,0.000193,0.000071,0.000412,3,1,0.000176,0.000073,0.000551
23,0.000288,0.000004,0.000001,0.000008,3,1,0.000003,0.000001,0.000011
24,100636.187500,1564.365609,599.024926,2825.721571,3,1,1547.613737,591.977574,3774.222603
25,0.049225,0.000647,0.000237,0.001382,3,1,0.000589,0.000244,0.001846
26,180627.671875,2375.452605,868.402269,5071.769127,3,1,2160.127011,894.196395,6774.193845
27,0.009455,0.000124,0.000045,0.000265,3,1,0.000113,0.000047,0.000355
28,1.014138,0.013337,0.004876,0.028476,3,1,0.012128,0.005020,0.038034
29,0.721532,0.009489,0.003469,0.020260,3,1,0.008629,0.003572,0.027060
30,0.003650,0.000048,0.000018,0.000102,3,1,0.000044,0.000018,0.000137
31,0.006284,0.000083,0.000030,0.000176,3,1,0.000075,0.000031,0.000236
32,1000.088318,13.152262,4.808117,28.081063,3,1,11.960060,4.950932,37.506945
33,13.075246,0.171954,0.062862,0.365875,3,1,0.156367,0.064729,0.518635
34,45.951294,0.604310,0.220920,1.289512,3,1,0.549532,0.227482,1.860952
35,0.000001,0.000000,0.000000,0.000000,3,1,0.000000,0.000000,0.000000
