ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,0.706456,0.005512,0.001220,inf,5,3,0.005125,0.001166,inf
1,0.391467,0.003055,0.000676,inf,5,3,0.002840,0.000646,inf
2,0.001680,0.000014,0.000003,inf,5,3,0.000013,0.000003,inf
3,0.000925,0.000007,0.000002,inf,5,3,0.000007,0.000002,inf
4,50629.371094,395.054054,87.442783,1352.217557,5,3,367.281075,83.546817,2383.840205
5,59007.406250,460.426716,101.912619,1575.979496,5,3,428.057926,97.371958,2778.312754
6,0.000385,0.000003,0.000001,0.000010,5,3,0.000003,0.000001,0.000018
8,24.344404,0.189956,0.042046,0.650118,5,3,0.176602,0.040172,1.185314
9,6592.832031,51.442966,11.386584,176.082441,5,3,47.826437,10.879261,310.417801
10,0.117970,0.000951,0.000234,0.003151,5,3,0.000894,0.000231,0.005555
11,0.702234,0.005479,0.001213,0.018755,5,3,0.005094,0.001159,0.033064
12,0.011613,0.000091,0.000020,0.000310,5,3,0.000084,0.000019,0.000547
13,0.015084,0.000118,0.000026,0.000403,5,3,0.000109,0.000025,0.000710
14,0.002154,0.000017,0.000004,0.000058,5,3,0.000016,0.000004,0.000101
16,0.063653,0.000497,0.000110,0.001700,5,3,0.000462,0.000105,0.002997
17,0.049008,0.000423,0.000097,0.001309,5,3,0.000418,0.000096,0.002308
18,0.255233,0.001992,0.000441,0.006817,5,3,0.001852,0.000421,0.012017
19,12.375332,0.096563,0.021374,0.330483,5,3,0.089774,0.020421,0.602547
20,0.000378,0.000003,0.000001,0.000010,5,3,0.000003,0.000001,0.000018
21,235918.734375,1840.841599,407.458954,6300.956299,5,3,1711.427268,389.304842,11108.029827
22,0.014689,0.000115,0.000025,0.000392,5,3,0.000107,0.000024,0.000692
23,0.000288,0.000002,0.000000,0.000008,5,3,0.000002,0.000000,0.000014
25,0.049225,0.000397,0.000098,0.001315,5,3,0.000373,0.000097,0.002318
26,180627.671875,1409.413005,311.964891,4824.233522,5,3,1310.328846,298.065465,8504.697908
27,0.009455,0.000074,0.000016,0.000253,5,3,0.000069,0.000016,0.000445
28,1.014138,0.007913,0.001752,0.027086,5,3,0.007357,0.001673,0.047750
29,0.721532,0.005630,0.001246,0.019271,5,3,0.005234,0.001191,0.033973
30,0.003650,0.000028,0.000006,0.000097,5,3,0.000026,0.000006,0.000172
31,0.006284,0.000049,0.000011,0.000168,5,3,0.000046,0.000010,0.000296
32,1000.088318,7.803552,1.727268,26.710523,5,3,7.254949,1.650311,47.088295
33,13.075246,0.102024,0.022582,0.349175,5,3,0.094852,0.021576,0.636625
34,45.951294,0.358552,0.079363,1.229175,5,3,0.333345,0.075827,2.289566
35,0.000001,0.000000,0.000000,0.000000,5,3,0.000000,0.000000,0.000000
36,0.009766,0.000076,0.000017,0.000261,5,3,0.000071,0.000016,0.000487
37,56905.156250,444.023147,98.281790,1519.832258,5,3,412.807556,93.902898,2679.330129
38,0.044900,0.000350,0.000078,0.001199,5,3,0.000326,0.000074,0.002114
39,23.662697,0.184637,0.040868,0.631913,5,3,0.171657,0.039047,1.152122
40,0.222609,0.001737,0.000384,0.005945,5,3,0.001615,0.000367,0.010839
41,3.455428,0.026962,0.005968,0.092277,5,3,0.025067,0.005702,0.168243
42,0.000072,0.000001,0.000000,0.000002,5,3,0.000001,0.000000,0.000004
43,0.000104,0.000001,0.000000,0.000003,5,3,0.000001,0.000000,0.000005
44,0.000090,0.000001,0.000000,0.000002,5,3,0.000001,0.000000,0.000004
45,0.000198,0.000002,0.000000,0.000005,5,3,0.000001,0.000000,0.000010
46,3451.168213,26.928993,5.960567,92.174367,5,3,25.035839,5.694997,162.495274
47,0.004682,0.000037,0.000008,0.000125,5,3,0.000034,0.000008,0.000220
48,10848.284180,84.647677,18.736242,289.737755,5,3,78.696800,17.901459,510.782090
49,0.003695,0.000029,0.000006,0.000099,5,3,0.000027,0.000006,0.000174
50,0.001874,0.000015,0.000003,0.000050,5,3,0.000014,0.000003,0.000088
51,304.385010,2.375075,0.525708,8.129565,5,3,2.208103,0.502285,14.331705
53,2285.165039,19.716451,4.534058,61.032563,5,3,19.478190,4.480716,107.595022
54,73721.015625,575.234996,127.324725,1968.952991,5,3,534.794987,121.651841,3471.090342
55,70072.625000,546.767103,121.023532,1871.511175,5,3,508.328436,115.631394,3299.309021
56,79666.226562,621.624663,137.592792,2127.738661,5,3,577.923381,131.462420,3751.015464
57,74793.226562,583.601311,129.176557,1997.589777,5,3,542.573135,123.421166,3521.574468
58,0.471746,0.003681,0.000815,0.012599,5,3,0.003422,0.000778,0.022212
59,37189.414062,299.742007,73.788520,993.260978,5,3,281.936884,72.920420,1751.031438
60,61327.550781,478.530486,105.919777,1637.946297,5,3,444.888970,101.200579,2887.554755
61,0.429507,0.003351,0.000742,0.011471,5,3,0.003116,0.000709,0.020223
62,74725.390625,583.071997,129.059397,1995.778004,5,3,542.081033,123.309225,3518.380471
63,81833.335938,638.534321,141.335641,2185.618174,5,3,593.644260,135.038508,3853.051937
64,1043.456421,8.141948,1.802170,27.868805,5,3,7.569555,1.721875,49.130244
65,0.048340,0.000377,0.000083,0.001291,5,3,0.000351,0.000080,0.002276
66,0.639616,0.005155,0.001269,0.017083,5,3,0.004849,0.001254,0.030116
67,26.608343,0.207621,0.045956,0.710576,5,3,0.193025,0.043908,1.295543
68,445451.375000,3475.796119,769.346071,11897.188473,5,3,3231.441674,735.068276,20973.693221
70,3.419169,0.029501,0.006784,0.091320,5,3,0.029144,0.006704,0.160989
71,10.665481,0.083221,0.018421,0.284822,5,3,0.077371,0.017600,0.519296
72,3.247643,0.025341,0.005609,0.086728,5,3,0.023559,0.005359,0.158126
73,4.037049,0.031501,0.006972,0.107809,5,3,0.029286,0.006662,0.196561
75,0.003685,0.000029,0.000006,0.000098,5,3,0.000027,0.000006,0.000174
