ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,1.031250,0.006234,0.001535,inf,5,4,0.005864,0.001517,inf
1,0.515625,0.003669,0.000670,inf,9,7,0.003517,0.000658,inf
2,1.421875,0.011549,0.002821,inf,5,3,0.010964,0.002788,inf
3,1.140625,0.009233,0.002263,inf,5,3,0.008647,0.002237,inf
4,0.515625,0.003283,0.001023,inf,4,3,0.003066,0.001011,inf
5,12.453125,0.079299,0.024709,0.284457,4,3,0.074060,0.024418,0.605590
6,9.531250,0.060693,0.018911,0.217715,4,3,0.056683,0.018689,0.463500
7,23.312500,0.281844,0.069382,0.727500,5,2,0.265102,0.068566,1.031280
8,12.296875,0.078304,0.024399,0.280888,4,3,0.073131,0.024112,0.597991
9,14.796875,0.141336,0.044038,0.404601,4,2,0.131998,0.043520,0.653687
10,11.109375,0.090233,0.022042,0.296676,5,3,0.085662,0.021783,0.540908
11,1.750000,0.012509,0.005208,0.041092,3,2,0.011280,0.005147,0.077206
12,0.671875,0.004278,0.001333,0.015347,4,3,0.003996,0.001317,0.032673
13,2.859375,0.018208,0.005673,0.065315,4,3,0.017005,0.005607,0.139050
14,2.968750,0.018904,0.005890,0.067813,4,3,0.017656,0.005821,0.144369
15,18.453125,0.191986,0.054920,0.504576,4,2,0.190707,0.054274,0.815211
16,8.234375,0.052435,0.016338,0.188092,4,3,0.048971,0.016146,0.400434
17,21.062500,0.171074,0.041791,0.562474,5,3,0.162408,0.041299,1.025520
18,17.750000,0.113029,0.035218,0.405450,4,3,0.105561,0.034804,0.863174
19,206.546875,1.315255,0.409815,4.694008,4,3,1.228359,0.404994,10.264391
20,37.921875,0.271062,0.112863,0.895609,3,2,0.244423,0.111535,1.710809
21,10.187500,0.081501,0.030320,0.239212,3,2,0.080068,0.029963,0.449447
22,14.171875,0.090244,0.028119,0.323718,4,3,0.084282,0.027788,0.689172
23,0.703125,0.005465,0.002093,0.016510,3,2,0.005406,0.002068,0.031020
24,2.203125,0.021562,0.004371,0.067345,6,3,0.020302,0.004320,0.107401
25,1.343750,0.010830,0.002666,0.035885,5,3,0.010187,0.002635,0.065426
26,2.203125,0.014029,0.004371,0.050324,4,3,0.013102,0.004320,0.107137
27,7.937500,0.050545,0.015749,0.181310,4,3,0.047205,0.015564,0.385997
28,1.562500,0.009950,0.003100,0.035691,4,3,0.009292,0.003064,0.075984
29,0.578125,0.005522,0.001721,0.015808,4,2,0.005157,0.001700,0.025540
30,0.796875,0.007612,0.002372,0.021789,4,2,0.007109,0.002344,0.035204
31,0.500000,0.003886,0.001488,0.011740,3,2,0.003845,0.001471,0.022059
32,14.843750,0.094522,0.029452,0.339065,4,3,0.088278,0.029105,0.721845
33,11.750000,0.112233,0.034970,0.321288,4,2,0.104818,0.034559,0.519084
34,13.421875,0.085468,0.026631,0.306586,4,3,0.079821,0.026317,0.652700
35,0.796875,0.005074,0.001581,0.018202,4,3,0.004739,0.001563,0.038752
36,0.453125,0.002885,0.000899,0.010350,4,3,0.002695,0.000888,0.022035
37,0.781250,0.004975,0.001550,0.017846,4,3,0.004646,0.001532,0.037992
38,1.296875,0.008258,0.002573,0.029624,4,3,0.007713,0.002543,0.063066
39,1.062500,0.008258,0.003162,0.024948,3,2,0.008170,0.003125,0.046875
40,14.312500,0.091140,0.028398,0.326930,4,3,0.085118,0.028064,0.696010
41,4.437500,0.028257,0.008805,0.101362,4,3,0.026390,0.008701,0.215794
42,0.843750,0.005373,0.001674,0.019273,4,3,0.005018,0.001654,0.041031
43,0.515625,0.004125,0.001535,0.012107,3,2,0.004053,0.001517,0.022748
44,18.015625,0.114720,0.035745,0.411517,4,3,0.107141,0.035325,0.876091
45,1.750000,0.011144,0.003472,0.039974,4,3,0.010407,0.003431,0.085102
46,14.578125,0.113307,0.043387,0.342307,3,2,0.112093,0.042877,0.643151
47,19.765625,0.125864,0.039218,0.451491,4,3,0.117549,0.038756,0.961193
48,0.906250,0.007336,0.001798,0.024201,5,3,0.006870,0.001777,0.044125
49,727.015625,4.629510,1.442491,16.611189,4,3,4.323648,1.425521,34.268090
50,114.218750,0.887752,0.339937,2.648487,3,2,0.878245,0.335938,4.996814
