ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,1.031250,0.006400,0.001151,inf,9,8,0.005973,0.000969,inf
1,0.515625,0.003786,0.000586,inf,10,8,0.003562,0.000575,inf
2,1.421875,0.025917,0.007218,inf,4,1,0.023974,0.007039,inf
3,1.140625,0.020790,0.005790,inf,4,1,0.019232,0.005647,inf
4,0.515625,0.003786,0.000586,inf,10,8,0.003562,0.000575,inf
5,12.453125,0.091439,0.014151,0.292796,10,8,0.086029,0.013899,0.887277
6,9.531250,0.059347,0.010831,0.187280,9,8,0.056886,0.010638,0.678525
7,23.312500,0.424923,0.118338,0.742388,4,1,0.393071,0.115408,0.926094
8,12.296875,0.076318,0.013724,0.241622,9,8,0.071226,0.011557,0.875408
9,14.796875,0.269706,0.075111,0.471207,4,1,0.249490,0.073252,0.587809
10,11.109375,0.202493,0.056393,0.353779,4,1,0.187315,0.054997,0.441322
11,1.750000,0.012850,0.001989,0.041146,10,8,0.012089,0.001953,0.124686
12,0.671875,0.004170,0.000750,0.013202,9,8,0.003892,0.000631,0.047830
13,2.859375,0.017746,0.003191,0.056184,9,8,0.016562,0.002687,0.203557
14,2.968750,0.018425,0.003313,0.058333,9,8,0.017196,0.002790,0.211344
15,18.453125,0.336350,0.093671,0.587641,4,1,0.311137,0.091352,0.733054
16,8.234375,0.051105,0.009190,0.161798,9,8,0.047695,0.007739,0.586201
17,21.062500,0.383911,0.106916,0.670737,4,1,0.355134,0.104270,0.836712
18,17.750000,0.130332,0.020170,0.417335,10,8,0.122621,0.019810,1.264676
19,206.546875,1.281888,0.230521,3.977707,9,8,1.196357,0.194123,14.967196
20,37.921875,0.278447,0.043093,0.889906,10,8,0.261974,0.042324,2.773789
21,10.187500,0.185690,0.051713,0.324422,4,1,0.171771,0.050433,0.404701
22,14.171875,0.087955,0.015817,0.278464,9,8,0.082086,0.013319,1.008889
23,0.703125,0.005163,0.000799,0.016532,10,8,0.004857,0.000785,0.050097
24,2.203125,0.040157,0.011183,0.070159,4,1,0.037147,0.010907,0.087520
25,1.343750,0.024493,0.006821,0.042792,4,1,0.022657,0.006652,0.053381
26,2.203125,0.013673,0.002459,0.043289,9,8,0.012761,0.002071,0.156839
27,7.937500,0.049262,0.008859,0.155964,9,8,0.045975,0.007460,0.565067
28,1.562500,0.009697,0.001744,0.030702,9,8,0.009050,0.001469,0.111234
29,0.578125,0.010538,0.002935,0.018410,4,1,0.009748,0.002862,0.022966
30,0.796875,0.014525,0.004045,0.025377,4,1,0.013436,0.003945,0.031656
31,0.500000,0.003671,0.000568,0.011756,10,8,0.003454,0.000558,0.035625
32,14.843750,0.092426,0.016868,0.291666,9,8,0.088593,0.016567,1.056719
33,11.750000,0.214170,0.059645,0.374179,4,1,0.198116,0.058168,0.466771
34,13.421875,0.083300,0.014980,0.263727,9,8,0.077742,0.012615,0.955496
35,0.796875,0.004946,0.000889,0.015658,9,8,0.004616,0.000749,0.056729
36,0.453125,0.002812,0.000506,0.008903,9,8,0.002625,0.000426,0.032258
37,0.781250,0.005736,0.000888,0.018369,10,8,0.005397,0.000872,0.055664
38,1.296875,0.009522,0.001474,0.030492,10,8,0.008959,0.001447,0.092401
39,1.062500,0.007802,0.001207,0.024981,10,8,0.007340,0.001186,0.075702
40,14.312500,0.088827,0.015974,0.281227,9,8,0.082901,0.013452,1.018900
41,4.437500,0.027540,0.004953,0.087193,9,8,0.025703,0.004171,0.315903
42,0.843750,0.005237,0.000942,0.016579,9,8,0.004887,0.000793,0.060066
43,0.515625,0.009398,0.002617,0.016420,4,1,0.008694,0.002553,0.020483
44,18.015625,0.132282,0.020472,0.423580,10,8,0.124456,0.020107,1.283601
45,1.750000,0.010861,0.001953,0.034386,9,8,0.010136,0.001645,0.124582
46,14.578125,0.107042,0.016566,0.342758,10,8,0.100709,0.016270,1.038682
47,19.765625,0.122671,0.022060,0.388376,9,8,0.114486,0.018577,1.407105
48,0.906250,0.016518,0.004600,0.028860,4,1,0.015280,0.004486,0.036001
49,727.015625,4.512064,0.811401,14.120399,9,8,4.211005,0.683285,51.681030
50,114.218750,0.838668,0.129794,2.646788,10,8,0.789052,0.127476,8.067903
51,63.062500,0.463046,0.071662,1.479877,10,8,0.435652,0.070382,4.612696
52,2445.843750,44.580987,12.415451,78.116054,4,1,41.239285,12.108137,91.602919
53,106.500000,1.941201,0.540609,3.372187,4,1,1.795693,0.527228,4.197631
54,32.171875,0.236227,0.036559,0.754972,10,8,0.222251,0.035906,2.353206
55,1.062500,0.019366,0.005393,0.033842,4,1,0.017915,0.005260,0.043081
56,1.312500,0.008146,0.001465,0.025827,9,8,0.007602,0.001234,0.095939
57,0.937500,0.005818,0.001046,0.018448,9,8,0.005430,0.000881,0.068528
58,500.968750,3.678436,0.569283,11.663613,10,8,3.460818,0.559117,35.586513
59,433.062500,7.893535,2.198287,13.831273,4,1,7.301851,2.143874,16.219265
60,2.562500,0.046707,0.013008,0.081842,4,1,0.043206,0.012686,0.095972
61,0.593750,0.004360,0.000675,0.013824,10,8,0.004102,0.000663,0.042177
62,1.078125,0.019651,0.005473,0.034433,4,1,0.018178,0.005337,0.040378
63,341.703125,2.509005,0.388299,7.955572,10,8,2.360571,0.381365,24.273017
64,325.656250,2.391179,0.370064,7.581967,10,8,2.249715,0.363456,23.133120
65,130.859375,0.960854,0.148704,3.032400,10,8,0.904009,0.146048,9.243323
66,99.125000,1.806775,0.503173,3.138667,4,1,1.671343,0.490718,3.906950
67,121.031250,0.751154,0.135080,2.331324,9,8,0.701035,0.113751,8.540845
68,101.593750,1.851774,0.515704,3.216837,4,1,1.712969,0.502939,4.004254
69,135.093750,2.462387,0.685755,4.277572,4,1,2.277811,0.668781,5.324635
70,0.640625,0.011677,0.003252,0.020285,4,1,0.010802,0.003171,0.025250
71,14974.328125,93.238774,17.016282,290.837615,9,8,89.372795,16.712420,1064.473264
72,107.437500,0.788876,0.122088,2.489646,10,8,0.742205,0.119908,7.588906
