ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,1.031250,0.007392,0.001357,inf,6,4,0.006975,0.001364,inf
1,0.515625,0.003696,0.000678,inf,6,4,0.003487,0.000682,inf
3,1.140625,0.008396,0.001697,inf,6,4,0.007994,0.001677,inf
4,0.515625,0.003696,0.000678,inf,6,4,0.003487,0.000682,inf
5,12.453125,0.089263,0.016386,0.324608,6,4,0.084226,0.016472,0.662523
6,9.531250,0.068319,0.012541,0.248445,6,4,0.064464,0.012607,0.507075
8,12.296875,0.088143,0.016180,0.320535,6,4,0.083170,0.016266,0.654211
9,14.796875,0.106063,0.019470,0.385701,6,4,0.100078,0.019573,0.787214
11,1.750000,0.012544,0.002303,0.045616,6,4,0.011836,0.002315,0.093102
12,0.671875,0.004816,0.000884,0.017513,6,4,0.004544,0.000889,0.035745
13,2.859375,0.020496,0.003762,0.074534,6,4,0.019339,0.003782,0.152123
14,2.968750,0.021280,0.003906,0.077385,6,4,0.020079,0.003927,0.157942
16,8.234375,0.059023,0.010835,0.214640,6,4,0.055693,0.010892,0.438080
18,17.750000,0.127231,0.023355,0.462678,6,4,0.120052,0.023479,0.944324
19,206.546875,1.480515,0.271772,5.347238,6,4,1.396976,0.273210,11.204003
20,37.921875,0.271822,0.049897,0.989495,6,4,0.256484,0.050161,2.066352
21,10.187500,0.073023,0.013405,0.265551,6,4,0.068903,0.013476,0.541989
22,14.171875,0.101583,0.018647,0.369409,6,4,0.095851,0.018746,0.753963
23,0.703125,0.005040,0.000925,0.018328,6,4,0.004756,0.000930,0.037407
26,2.203125,0.015792,0.002899,0.057427,6,4,0.014901,0.002914,0.117209
27,7.937500,0.056895,0.010444,0.206902,6,4,0.053685,0.010499,0.422286
28,1.562500,0.011200,0.002056,0.040729,6,4,0.010568,0.002067,0.083127
29,0.578125,0.004144,0.000761,0.015070,6,4,0.003910,0.000765,0.030757
30,0.796875,0.005712,0.001049,0.020772,6,4,0.005390,0.001054,0.042395
31,0.500000,0.003584,0.000658,0.013033,6,4,0.003382,0.000661,0.026601
32,14.843750,0.106399,0.019531,0.386923,6,4,0.100395,0.019635,0.789708
33,11.750000,0.086488,0.017485,0.306280,6,4,0.082351,0.017279,0.625116
34,13.421875,0.096207,0.017660,0.349860,6,4,0.090779,0.017754,0.714062
35,0.796875,0.005712,0.001049,0.020772,6,4,0.005390,0.001054,0.042395
36,0.453125,0.003248,0.000596,0.011811,6,4,0.003065,0.000599,0.024107
37,0.781250,0.005600,0.001028,0.020364,6,4,0.005284,0.001033,0.041564
38,1.296875,0.009296,0.001706,0.033805,6,4,0.008771,0.001715,0.068996
39,1.062500,0.007616,0.001398,0.027696,6,4,0.007186,0.001405,0.056526
40,14.312500,0.102591,0.018832,0.373075,6,4,0.096802,0.018932,0.761444
41,4.437500,0.031808,0.005839,0.115670,6,4,0.030013,0.005870,0.236081
42,0.843750,0.006048,0.001110,0.021994,6,4,0.005707,0.001116,0.044889
43,0.515625,0.003696,0.000678,0.013440,6,4,0.003487,0.000682,0.027432
44,18.015625,0.129135,0.023705,0.469602,6,4,0.121848,0.023830,0.958456
45,1.750000,0.012544,0.002303,0.045616,6,4,0.011836,0.002315,0.093102
46,14.578125,0.104495,0.019182,0.379999,6,4,0.098599,0.019283,0.775576
47,19.765625,0.141679,0.026007,0.515218,6,4,0.133684,0.026145,1.051558
48,0.906250,0.006671,0.001349,0.023623,6,4,0.006352,0.001333,0.048214
49,727.015625,5.211202,0.956600,18.919095,6,4,4.917158,0.961661,37.713491
50,114.218750,0.818713,0.150288,2.945712,6,4,0.772517,0.151083,6.025709
51,63.062500,0.452028,0.082977,1.645488,6,4,0.426522,0.083416,3.436257
54,32.171875,0.230606,0.042331,0.839460,6,4,0.217594,0.042555,1.753036
55,1.062500,0.007616,0.001398,0.027724,6,4,0.007186,0.001405,0.057895
56,1.312500,0.009408,0.001727,0.034247,6,4,0.008877,0.001736,0.071518
57,0.937500,0.006720,0.001234,0.024462,6,4,0.006341,0.001240,0.051084
58,500.968750,3.590912,0.659169,13.036687,6,4,3.388293,0.662657,25.987447
59,433.062500,3.786587,0.984233,11.269566,6,4,3.735147,0.966657,22.464852
60,2.562500,0.018368,0.003372,0.066684,6,4,0.017331,0.003390,0.132928
61,0.593750,0.004256,0.000781,0.015451,6,4,0.004016,0.000785,0.030800
62,1.078125,0.007728,0.001419,0.028056,6,4,0.007292,0.001426,0.055927
63,341.703125,2.449306,0.449609,8.892125,6,4,2.311103,0.451988,17.725640
64,325.656250,2.334283,0.428495,8.474538,6,4,2.202570,0.430762,16.893219
65,130.859375,0.937992,0.172183,3.374875,6,4,0.885065,0.173094,6.903599
67,121.031250,0.867544,0.159252,3.121407,6,4,0.818593,0.160094,6.385108
68,101.593750,0.747801,0.151181,2.620112,6,4,0.712028,0.149403,5.359666
71,14974.328125,107.335038,19.703063,389.676262,6,4,101.278609,19.807312,776.784108
72,107.437500,0.770105,0.141365,2.770823,6,4,0.726652,0.142113,5.667958
73,99.953125,0.716458,0.131517,2.577800,6,4,0.676031,0.132213,5.273113
75,13.921875,0.102475,0.020717,0.362893,6,4,0.097573,0.020473,0.740663
76,8.343750,0.059807,0.010979,0.217491,6,4,0.056433,0.011037,0.443899
77,19.718750,0.141343,0.025946,0.513996,6,4,0.133367,0.026083,1.049064
78,36.578125,0.262190,0.048129,0.954432,6,4,0.247396,0.048384,1.993131
79,19.703125,0.141231,0.025925,0.513589,6,4,0.133262,0.026062,1.048233
81,2.265625,0.016240,0.002981,0.059057,6,4,0.015324,0.002997,0.120534
82,14.437500,0.103487,0.018997,0.376333,6,4,0.097648,0.019097,0.768095
83,23.296875,0.166991,0.030654,0.607265,6,4,0.157568,0.030816,1.239425
84,18.953125,0.135855,0.024938,0.494039,6,4,0.128189,0.025070,1.008332
85,1.781250,0.012768,0.002344,0.046431,6,4,0.012047,0.002356,0.094765
87,89.015625,0.638058,0.117126,2.295721,6,4,0.602056,0.117746,4.696096
89,31.437500,0.225342,0.041365,0.820298,6,4,0.212627,0.041584,1.713020
90,8.312500,0.059583,0.010937,0.216677,6,4,0.056221,0.010995,0.442236
93,10.156250,0.072799,0.013363,0.264737,6,4,0.068692,0.013434,0.540326
94,36.843750,0.264094,0.048479,0.961363,6,4,0.249192,0.048735,2.007605
96,49.453125,0.354477,0.065070,1.290379,6,4,0.334475,0.065414,2.694686
97,13.562500,0.097215,0.017845,0.353525,6,4,0.091730,0.017940,0.721543
98,56.296875,0.403532,0.074075,1.468953,6,4,0.380763,0.074467,3.067600
99,61.609375,0.441612,0.081065,1.607572,6,4,0.416694,0.081494,3.357077
100,14.500000,0.103935,0.019079,0.377962,6,4,0.098070,0.019180,0.771420
101,2.359375,0.016912,0.003104,0.061500,6,4,0.015958,0.003121,0.125522
103,1.578125,0.011312,0.002076,0.041136,6,4,0.010674,0.002087,0.083958
104,3.000000,0.021504,0.003947,0.078199,6,4,0.020290,0.003968,0.159604
105,1.046875,0.007504,0.001377,0.027288,6,4,0.007081,0.001385,0.055695
106,0.500000,0.003584,0.000658,0.013033,6,4,0.003382,0.000661,0.026601
108,77.906250,0.558427,0.102508,2.009209,6,4,0.526918,0.103051,4.110011
109,170.234375,1.220229,0.223993,4.407153,6,4,1.151377,0.225178,9.234255
110,0.703125,0.005040,0.000925,0.018203,6,4,0.004756,0.000930,0.038141
112,21.781250,0.156127,0.028660,0.567758,6,4,0.147317,0.028811,1.158792
114,3.234375,0.023184,0.004256,0.084308,6,4,0.021876,0.004278,0.172073
115,147.421875,1.056711,0.193976,3.802023,6,4,0.997085,0.195002,7.777368
116,124.703125,0.893864,0.164083,3.216105,6,4,0.843427,0.164951,6.578821
117,156.421875,1.121222,0.205818,4.049565,6,4,1.057957,0.206907,8.485005
118,100.234375,0.718474,0.131887,2.585053,6,4,0.677933,0.132585,5.287951
119,0.593750,0.004256,0.000781,0.015313,6,4,0.004016,0.000785,0.031324
120,3.921875,0.028112,0.005160,0.101146,6,4,0.026526,0.005188,0.206902
122,8.593750,0.061599,0.011308,0.224008,6,4,0.058124,0.011367,0.457199
123,1.296875,0.009296,0.001706,0.033805,6,4,0.008771,0.001715,0.068996
125,1.593750,0.011424,0.002097,0.041543,6,4,0.010779,0.002108,0.084790
126,1.359375,0.009744,0.001789,0.035434,6,4,0.009194,0.001798,0.072321
127,0.593750,0.004256,0.000781,0.015477,6,4,0.004016,0.000785,0.031588
128,0.765625,0.005488,0.001007,0.019957,6,4,0.005178,0.001013,0.040732
129,21.546875,0.154447,0.028351,0.561649,6,4,0.145732,0.028501,1.146323
130,1.906250,0.013664,0.002508,0.049689,6,4,0.012893,0.002521,0.101415
131,1.750000,0.012544,0.002303,0.045616,6,4,0.011836,0.002315,0.093102
132,0.343750,0.002464,0.000452,0.008960,6,4,0.002325,0.000455,0.018288
133,0.937500,0.006720,0.001234,0.024437,6,4,0.006341,0.001240,0.049876
134,31.953125,0.229038,0.042044,0.833752,6,4,0.216114,0.042266,1.741116
135,0.906250,0.006496,0.001192,0.023647,6,4,0.006129,0.001199,0.049381
136,35.718750,0.256030,0.046998,0.932009,6,4,0.241583,0.047247,1.946304
137,24.734375,0.177294,0.032545,0.644736,6,4,0.167291,0.032717,1.315902
138,153.468750,1.100054,0.201933,3.973113,6,4,1.037983,0.203001,8.324814
139,8705.796875,62.402602,11.454996,226.550558,6,4,58.881506,11.515604,451.607885
140,40.437500,0.289853,0.053207,1.055135,6,4,0.273498,0.053489,2.203427
141,0.734375,0.005264,0.000966,0.019162,6,4,0.004967,0.000971,0.040016
142,0.421875,0.003024,0.000555,0.011008,6,4,0.002853,0.000558,0.022988
143,0.562500,0.004032,0.000740,0.014677,6,4,0.003804,0.000744,0.030650
145,25.796875,0.184910,0.033943,0.672431,6,4,0.174477,0.034123,1.372429
146,64.218750,0.460316,0.084498,1.675658,6,4,0.434342,0.084945,3.499261
147,64.218750,0.460316,0.084498,1.675658,6,4,0.434342,0.084945,3.499261
148,0.609375,0.004368,0.000802,0.015900,6,4,0.004121,0.000806,0.033205
149,14.281250,0.102367,0.018791,0.372260,6,4,0.096591,0.018891,0.759782
150,0.921875,0.008061,0.002095,0.024030,6,4,0.007951,0.002058,0.049045
151,1.937500,0.013888,0.002549,0.050504,6,4,0.013104,0.002563,0.103078
152,4.875000,0.034944,0.006414,0.127074,6,4,0.032972,0.006448,0.259357
153,394.687500,2.829095,0.519326,10.270935,6,4,2.669462,0.522073,20.474173
154,290.578125,2.082846,0.382340,7.522701,6,4,1.965320,0.384363,15.762225
156,82.125000,0.588667,0.108059,2.118011,6,4,0.555451,0.108631,4.332575
157,57.468750,0.411932,0.075617,1.499531,6,4,0.388689,0.076017,3.131455
158,83.062500,0.595387,0.109293,2.142189,6,4,0.561792,0.109871,4.382034
159,70.734375,0.507020,0.093072,1.845670,6,4,0.478411,0.093564,3.854295
160,0.609375,0.004368,0.000802,0.015900,6,4,0.004121,0.000806,0.033205
161,517.515625,3.709519,0.680942,13.467286,6,4,3.500208,0.684544,26.845806
162,11754.187500,84.253274,15.466036,305.878689,6,4,79.499243,15.547867,609.741283
164,1.718750,0.012320,0.002262,0.044727,6,4,0.011625,0.002273,0.089159
165,0.375000,0.002688,0.000493,0.009759,6,4,0.002536,0.000496,0.019453
166,0.421875,0.003024,0.000555,0.010978,6,4,0.002853,0.000558,0.021885
169,0.781250,0.005600,0.001028,0.020385,6,4,0.005284,0.001033,0.042570
170,1834.734375,13.151260,2.414124,47.745209,6,4,12.409194,2.426897,95.175723
171,14329.656250,102.714071,18.854811,372.899995,6,4,96.918382,18.954572,743.342149
172,5879.375000,42.142989,7.736020,152.998709,6,4,39.765051,7.776951,304.988980
173,0.687500,0.004928,0.000905,0.017891,6,4,0.004650,0.000909,0.035664
175,1834.265625,13.147900,2.413507,47.733011,6,4,12.406024,2.426277,95.151407
176,5879.218750,42.141869,7.735814,152.994643,6,4,39.763994,7.776744,304.980875
177,3.203125,0.022960,0.004215,0.083355,6,4,0.021664,0.004237,0.166160
178,22589.296875,161.918653,29.722759,587.840249,6,4,152.782318,29.880022,1171.805951
179,237.656250,1.703505,0.312706,6.152621,6,4,1.607384,0.314360,12.891511
180,27383.687500,196.284542,36.031168,712.604459,6,4,185.209096,36.221809,1420.512031
181,0.593750,0.004256,0.000781,0.015451,6,4,0.004016,0.000785,0.030800
183,3606.406250,25.850492,4.745271,93.849346,6,4,24.391866,4.770379,187.080117
184,447.781250,3.209668,0.589186,11.652591,6,4,3.028561,0.592303,23.228378
185,282.328125,2.023710,0.371484,7.309119,6,4,1.909521,0.373450,15.314709
186,0.593750,0.005192,0.001349,0.015371,6,4,0.005121,0.001325,0.032208
187,2.125000,0.015232,0.002796,0.055014,6,4,0.014372,0.002811,0.115269
188,328.890625,2.357467,0.432751,8.558706,6,4,2.224446,0.435041,17.061000
189,72.796875,0.521803,0.095785,1.899487,6,4,0.492360,0.096292,3.966680
191,9637.015625,69.077519,12.680284,250.783621,6,4,65.179788,12.747375,499.914288
193,1528.640625,10.957199,2.011369,39.779746,6,4,10.338934,2.022011,79.297297
194,117.796875,0.844361,0.154996,3.037992,6,4,0.796717,0.155816,6.214476
195,117.796875,0.844361,0.154996,3.037992,6,4,0.796717,0.155816,6.214476
