ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,1.031250,0.013562,0.004958,inf,3,1,0.012333,0.005105,inf
1,0.515625,0.006781,0.002479,inf,3,1,0.006166,0.002553,inf
2,1.421875,0.018699,0.006836,inf,3,1,0.017004,0.007039,inf
3,1.140625,0.015000,0.005484,inf,3,1,0.013641,0.005647,inf
4,0.515625,0.006781,0.002479,inf,3,1,0.006166,0.002553,inf
5,12.453125,0.163772,0.059871,0.348467,3,1,0.148927,0.061649,0.493958
6,9.531250,0.125346,0.045823,0.266706,3,1,0.113984,0.047184,0.378061
7,23.312500,0.362387,0.138765,0.652337,3,1,0.358507,0.137132,0.924699
8,12.296875,0.161717,0.059120,0.344095,3,1,0.147058,0.060876,0.487760
9,14.796875,0.194595,0.071139,0.414051,3,1,0.176956,0.073252,0.586924
10,11.109375,0.146101,0.053410,0.310866,3,1,0.132857,0.054997,0.440658
11,1.750000,0.023014,0.008413,0.048969,3,1,0.020928,0.008663,0.069414
12,0.671875,0.008836,0.003230,0.018801,3,1,0.008035,0.003326,0.026650
13,2.859375,0.037604,0.013747,0.080012,3,1,0.034195,0.014155,0.113418
14,2.968750,0.039042,0.014273,0.083072,3,1,0.035503,0.014697,0.117757
15,18.453125,0.242679,0.088717,0.516361,3,1,0.220681,0.091352,0.731950
16,8.234375,0.108291,0.039588,0.230417,3,1,0.098475,0.040764,0.326620
17,21.062500,0.276995,0.101262,0.589377,3,1,0.251887,0.104270,0.835452
18,17.750000,0.233432,0.085337,0.496686,3,1,0.212272,0.087871,0.704061
19,206.546875,2.716319,0.993014,5.777019,3,1,2.470095,1.022509,8.382320
20,37.921875,0.498714,0.182317,1.064186,3,1,0.453508,0.187732,1.535774
21,10.187500,0.133977,0.048978,0.285070,3,1,0.121832,0.050433,0.404091
22,14.171875,0.186376,0.068134,0.396562,3,1,0.169482,0.070158,0.562133
23,0.703125,0.009247,0.003380,0.019675,3,1,0.008409,0.003481,0.027890
24,2.203125,0.034247,0.013114,0.061648,3,1,0.033880,0.012960,0.087388
25,1.343750,0.017672,0.006460,0.037601,3,1,0.016070,0.006652,0.053300
26,2.203125,0.028974,0.010592,0.061648,3,1,0.026347,0.010907,0.087388
27,7.937500,0.104387,0.038161,0.222109,3,1,0.094925,0.039295,0.314844
