ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,1.031250,0.008534,0.001535,inf,9,6,0.007964,0.001292,inf
1,0.515625,0.004267,0.000767,inf,9,6,0.003982,0.000646,inf
2,1.421875,0.011766,0.002116,inf,9,6,0.010981,0.001782,inf
3,1.140625,0.009439,0.001697,inf,9,6,0.008809,0.001429,inf
4,0.515625,0.004267,0.000767,inf,9,6,0.003982,0.000646,inf
5,12.453125,0.103050,0.018531,0.356805,9,6,0.096174,0.015605,0.775645
6,9.531250,0.078872,0.014183,0.273088,9,6,0.073609,0.011944,0.593656
8,12.296875,0.101757,0.018299,0.352328,9,6,0.094968,0.015410,0.765913
9,14.796875,0.122445,0.022019,0.423958,9,6,0.114275,0.018542,0.921626
10,11.109375,0.091931,0.016532,0.318304,9,6,0.085797,0.013922,0.691949
11,1.750000,0.014481,0.002604,0.050141,9,6,0.013515,0.002193,0.108999
12,0.671875,0.005560,0.001000,0.019250,9,6,0.005189,0.000842,0.041848
13,2.859375,0.023661,0.004255,0.081926,9,6,0.022083,0.003583,0.178097
14,2.968750,0.024567,0.004418,0.085060,9,6,0.022927,0.003720,0.184909
15,18.453125,0.153200,0.027959,0.528716,9,6,0.146848,0.027460,1.149356
16,8.234375,0.068140,0.012254,0.235930,9,6,0.063593,0.010319,0.512880
17,21.062500,0.174293,0.031343,0.603480,9,6,0.162664,0.026394,1.311882
18,17.750000,0.146882,0.026414,0.508571,9,6,0.137082,0.022243,1.105562
19,206.546875,1.709184,0.307361,5.857209,9,6,1.595142,0.258831,13.084176
20,37.921875,0.313805,0.056431,1.083380,9,6,0.292867,0.047521,2.421895
21,10.187500,0.084302,0.015160,0.291891,9,6,0.078677,0.012766,0.634530
22,14.171875,0.117273,0.021089,0.406051,9,6,0.109448,0.017759,0.882698
23,0.703125,0.005818,0.001046,0.020146,9,6,0.005430,0.000881,0.043794
25,1.343750,0.011120,0.002000,0.038501,9,6,0.010378,0.001684,0.083696
26,2.203125,0.018231,0.003278,0.063124,9,6,0.017015,0.002761,0.137222
27,7.937500,0.065683,0.011812,0.227424,9,6,0.061301,0.009947,0.494389
28,1.562500,0.012930,0.002325,0.044769,9,6,0.012067,0.001958,0.097321
