ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,1.031250,0.007371,0.003069,inf,3,2,0.006647,0.003033,inf
1,0.515625,0.004008,0.001535,inf,3,2,0.003965,0.001517,inf
2,1.421875,0.013581,0.004232,inf,4,2,0.012684,0.004182,inf
3,1.140625,0.010895,0.003395,inf,4,2,0.010175,0.003355,inf
4,0.515625,0.004008,0.001535,inf,3,2,0.003965,0.001517,inf
5,12.453125,0.096790,0.037063,0.292410,3,2,0.095754,0.036627,0.549401
6,9.531250,0.068128,0.028367,0.223802,3,2,0.061433,0.028033,0.420495
7,23.312500,0.281844,0.069382,0.727500,5,2,0.265102,0.068566,1.031280
8,12.296875,0.087897,0.036598,0.288742,3,2,0.079259,0.036167,0.542508
9,14.796875,0.141336,0.044038,0.404601,4,2,0.131998,0.043520,0.653687
10,11.109375,0.106114,0.033064,0.303771,4,2,0.099103,0.032675,0.490783
11,1.750000,0.013602,0.005208,0.041092,3,2,0.013456,0.005147,0.077206
12,0.671875,0.005222,0.002000,0.015776,3,2,0.005166,0.001976,0.029641
13,2.859375,0.022224,0.008510,0.067141,3,2,0.021986,0.008410,0.126149
14,2.968750,0.023074,0.008836,0.069709,3,2,0.022827,0.008732,0.130974
15,18.453125,0.224065,0.054920,0.575856,5,2,0.209843,0.054274,0.816315
16,8.234375,0.064001,0.024507,0.193350,3,2,0.063315,0.024219,0.363280
17,21.062500,0.201184,0.062686,0.575926,4,2,0.187892,0.061949,0.930486
18,17.750000,0.126875,0.052827,0.416786,3,2,0.114406,0.052206,0.783086
19,206.546875,1.605361,0.614723,4.837268,3,2,1.588170,0.607491,9.323830
20,37.921875,0.271062,0.112863,0.895609,3,2,0.244423,0.111535,1.710809
21,10.187500,0.097308,0.030320,0.278563,4,2,0.090879,0.029963,0.450057
22,14.171875,0.101299,0.042178,0.332768,3,2,0.091344,0.041682,0.625228
23,0.703125,0.005026,0.002093,0.016510,3,2,0.004532,0.002068,0.031020
24,2.203125,0.026841,0.006557,0.068752,5,2,0.025482,0.006480,0.097460
25,1.343750,0.012835,0.003999,0.036743,4,2,0.011987,0.003952,0.059363
26,2.203125,0.015748,0.006557,0.051731,3,2,0.014200,0.006480,0.097196
27,7.937500,0.056736,0.023624,0.186380,3,2,0.051161,0.023346,0.350183
28,1.562500,0.011169,0.004650,0.036689,3,2,0.010071,0.004596,0.068934
29,0.578125,0.005522,0.001721,0.015808,4,2,0.005157,0.001700,0.025540
30,0.796875,0.007612,0.002372,0.021789,4,2,0.007109,0.002344,0.035204
31,0.500000,0.003574,0.001488,0.011740,3,2,0.003223,0.001471,0.022059
32,14.843750,0.106102,0.044178,0.348544,3,2,0.095674,0.043658,0.654870
33,11.750000,0.112233,0.034970,0.321288,4,2,0.104818,0.034559,0.519084
34,13.421875,0.095938,0.039946,0.315158,3,2,0.086510,0.039476,0.592140
35,0.796875,0.005696,0.002372,0.018711,3,2,0.005136,0.002344,0.035156
36,0.453125,0.003239,0.001349,0.010640,3,2,0.002921,0.001333,0.019991
37,0.781250,0.005584,0.002325,0.018344,3,2,0.005035,0.002298,0.034467
38,1.296875,0.009270,0.003860,0.030452,3,2,0.008359,0.003814,0.057215
39,1.062500,0.007595,0.003162,0.024948,3,2,0.006848,0.003125,0.046875
40,14.312500,0.102304,0.042597,0.336070,3,2,0.092250,0.042096,0.631432
41,4.437500,0.031719,0.013207,0.104196,3,2,0.028602,0.013051,0.195772
42,0.843750,0.006031,0.002511,0.019812,3,2,0.005438,0.002482,0.037224
43,0.515625,0.004925,0.001535,0.014099,4,2,0.004600,0.001517,0.022779
44,18.015625,0.128774,0.053618,0.423023,3,2,0.116118,0.052987,0.794805
45,1.750000,0.012509,0.005208,0.041092,3,2,0.011280,0.005147,0.077206
46,14.578125,0.104203,0.043387,0.342307,3,2,0.093962,0.042877,0.643151
47,19.765625,0.141283,0.058826,0.464114,3,2,0.127398,0.058134,0.872011
48,0.906250,0.008656,0.002697,0.024780,4,2,0.008084,0.002665,0.040036
49,727.015625,5.196631,2.163737,17.109347,3,2,4.685929,2.138281,30.785502
50,114.218750,0.887752,0.339937,2.648487,3,2,0.878245,0.335938,4.996814
51,63.062500,0.490146,0.187686,1.489361,3,2,0.484897,0.185478,2.845004
52,2445.843750,34.479537,11.117472,76.440139,5,2,32.737531,10.918945,103.319126
53,106.500000,1.017260,0.316964,2.886006,4,2,0.950052,0.313235,4.666406
54,32.171875,0.250052,0.095750,0.759810,3,2,0.247374,0.094623,1.451403
55,1.062500,0.010149,0.003162,0.029119,4,2,0.009478,0.003125,0.047985
56,1.312500,0.010201,0.003906,0.030998,3,2,0.010092,0.003860,0.059212
57,0.937500,0.007287,0.002790,0.022141,3,2,0.007209,0.002757,0.042294
58,500.968750,3.893720,1.490978,11.789634,3,2,3.852024,1.473437,21.213539
59,433.062500,4.136501,1.288876,11.863043,4,2,3.863211,1.273713,18.315895
60,2.562500,0.024476,0.007626,0.070196,4,2,0.022859,0.007537,0.108378
61,0.593750,0.004244,0.001767,0.013973,3,2,0.003827,0.001746,0.025142
62,1.078125,0.010298,0.003209,0.029533,4,2,0.009618,0.003171,0.045598
63,341.703125,2.442458,1.016974,8.041529,3,2,2.202424,1.005009,14.469431
64,325.656250,2.531124,0.969215,7.663887,3,2,2.504020,0.957812,13.789925
65,130.859375,1.017089,0.389462,3.034347,3,2,1.006198,0.384881,5.724804
66,99.125000,0.946816,0.295015,2.686154,4,2,0.884262,0.291544,4.343263
67,121.031250,0.865119,0.360212,2.806454,3,2,0.780099,0.355974,5.294845
68,101.593750,0.970397,0.302362,2.753053,4,2,0.906285,0.298805,4.451434
69,135.093750,1.290380,0.402065,3.660858,4,2,1.205128,0.397335,5.919271
70,0.640625,0.006119,0.001907,0.017360,4,2,0.005715,0.001884,0.028070
71,14974.328125,107.034916,44.566453,352.400929,3,2,96.515996,44.042142,634.088450
72,107.437500,0.835045,0.319754,2.491244,3,2,0.826103,0.315993,4.700149
73,99.953125,0.776874,0.297480,2.317698,3,2,0.768555,0.293980,4.372725
74,11.343750,0.108353,0.033761,0.310180,4,2,0.101194,0.033364,0.501137
75,13.921875,0.132978,0.041434,0.380675,4,2,0.124193,0.040947,0.615032
76,8.343750,0.064851,0.024833,0.195919,3,2,0.064156,0.024540,0.368106
77,19.718750,0.153262,0.058687,0.463014,3,2,0.151620,0.057996,0.869943
78,36.578125,0.284299,0.108863,0.863874,3,2,0.281255,0.107583,1.650187
79,19.703125,0.153140,0.058640,0.462647,3,2,0.151500,0.057950,0.869253
80,10.078125,0.096264,0.029994,0.275573,4,2,0.089904,0.029642,0.445225
81,2.265625,0.017609,0.006743,0.053199,3,2,0.017421,0.006664,0.099954
82,14.437500,0.112214,0.042969,0.339005,3,2,0.111012,0.042463,0.636947
83,23.296875,0.181072,0.069336,0.547031,3,2,0.179133,0.068520,1.027801
84,18.953125,0.147311,0.056408,0.445036,3,2,0.145733,0.055744,0.836165
85,1.781250,0.013845,0.005301,0.041825,3,2,0.013696,0.005239,0.078584
86,1.031250,0.012564,0.003069,0.032182,5,2,0.011928,0.003033,0.045620
87,89.015625,0.691863,0.264927,2.064081,3,2,0.684455,0.261811,3.894234
88,0.500000,0.004776,0.001488,0.013549,4,2,0.004460,0.001471,0.021908
89,31.437500,0.244344,0.093564,0.742466,3,2,0.241728,0.092463,1.418272
90,8.312500,0.079399,0.024740,0.227294,4,2,0.074153,0.024449,0.367224
91,21.750000,0.207750,0.064732,0.594724,4,2,0.194025,0.063971,0.960858
92,33.921875,0.324013,0.100958,0.929665,4,2,0.302606,0.099770,1.531985
93,10.156250,0.078938,0.030227,0.238478,3,2,0.078093,0.029871,0.448069
94,36.843750,0.351922,0.109654,1.009742,4,2,0.328671,0.108364,1.663943
95,49.250000,0.600028,0.146577,1.536348,5,2,0.569634,0.144853,2.226605
96,49.453125,0.384369,0.147182,1.167946,3,2,0.380253,0.145450,2.231030
97,13.562500,0.105413,0.040365,0.318460,3,2,0.104284,0.039890,0.598344
98,56.296875,0.537733,0.167550,1.542875,4,2,0.502206,0.165579,2.542487
99,61.609375,0.478852,0.183361,1.455042,3,2,0.473724,0.181204,2.779448
100,14.500000,0.112700,0.043155,0.340473,3,2,0.111493,0.042647,0.639704
101,2.359375,0.018338,0.007022,0.055400,3,2,0.018142,0.006939,0.104090
102,0.703125,0.006716,0.002093,0.019226,4,2,0.006272,0.002068,0.031062
103,1.578125,0.012266,0.004697,0.037056,3,2,0.012134,0.004642,0.069623
104,3.000000,0.028655,0.008929,0.082031,4,2,0.026762,0.008824,0.132532
105,1.046875,0.008137,0.003116,0.024582,3,2,0.008050,0.003079,0.046186
106,0.500000,0.003886,0.001488,0.011740,3,2,0.003845,0.001471,0.022059
107,1.500000,0.014328,0.004464,0.041015,4,2,0.013381,0.004412,0.066266
108,77.906250,0.605517,0.231864,1.806478,3,2,0.599033,0.229136,3.408223
109,170.234375,1.323126,0.506650,3.986840,3,2,1.308958,0.500689,7.684631
110,0.703125,0.005465,0.002093,0.016467,3,2,0.005406,0.002068,0.031740
111,393.203125,3.755774,1.170247,10.771160,4,2,3.507639,1.156480,16.630088
112,21.781250,0.208049,0.064825,0.595579,4,2,0.194304,0.064062,0.962239
113,9.843750,0.094025,0.029297,0.269164,4,2,0.087813,0.028952,0.434871
114,3.234375,0.025139,0.009626,0.075946,3,2,0.024870,0.009513,0.142693
115,147.421875,1.145819,0.438756,3.418396,3,2,1.133549,0.433594,6.449376
116,124.703125,0.969240,0.371140,2.891597,3,2,0.958861,0.366774,5.455482
117,156.421875,1.215770,0.465541,3.663355,3,2,1.202751,0.460064,7.061114
118,100.234375,0.779060,0.298317,2.324219,3,2,0.770717,0.294807,4.385029
119,0.593750,0.004615,0.001767,0.013768,3,2,0.004565,0.001746,0.025975
120,3.921875,0.030482,0.011672,0.090940,3,2,0.030156,0.011535,0.171573
121,1.437500,0.013731,0.004278,0.038954,4,2,0.012823,0.004228,0.062986
122,8.593750,0.082085,0.025577,0.234985,4,2,0.076662,0.025276,0.379649
123,1.296875,0.012387,0.003860,0.035461,4,2,0.011569,0.003814,0.057293
124,0.640625,0.006119,0.001907,0.017517,4,2,0.005715,0.001884,0.028301
125,1.593750,0.012387,0.004743,0.037423,3,2,0.012255,0.004687,0.070312
126,1.359375,0.010566,0.004046,0.031919,3,2,0.010452,0.003998,0.059972
127,0.593750,0.005671,0.001767,0.016235,4,2,0.005297,0.001746,0.026230
128,0.765625,0.005951,0.002279,0.017978,3,2,0.005887,0.002252,0.033777
129,21.546875,0.205810,0.064128,0.589170,4,2,0.192213,0.063373,0.951884
130,1.906250,0.014816,0.005673,0.044760,3,2,0.014657,0.005607,0.084099
131,1.750000,0.013602,0.005208,0.041092,3,2,0.013456,0.005147,0.077206
132,0.343750,0.002672,0.001023,0.008072,3,2,0.002643,0.001011,0.015165
133,0.937500,0.007287,0.002790,0.022013,3,2,0.007209,0.002757,0.041360
134,31.953125,0.248352,0.095099,0.754644,3,2,0.245692,0.093980,1.441534
135,0.906250,0.007044,0.002697,0.021403,3,2,0.006968,0.002665,0.040885
136,35.718750,0.277620,0.106306,0.843578,3,2,0.274647,0.105055,1.611417
137,24.734375,0.192245,0.073614,0.580785,3,2,0.190186,0.072748,1.091220
138,153.468750,1.192818,0.456752,3.594194,3,2,1.180044,0.451379,6.927806
139,8705.796875,67.664771,25.910110,204.879370,3,2,66.940189,25.605285,368.647274
140,40.437500,0.314296,0.120350,0.955021,3,2,0.310930,0.118934,1.824299
141,0.734375,0.005708,0.002186,0.017344,3,2,0.005647,0.002160,0.033131
142,0.421875,0.004030,0.001256,0.011562,4,2,0.003763,0.001241,0.019053
143,0.562500,0.004372,0.001674,0.013285,3,2,0.004325,0.001654,0.025377
144,1.000000,0.009552,0.002976,0.027406,4,2,0.008921,0.002941,0.045162
145,25.796875,0.200503,0.076776,0.605734,3,2,0.198356,0.075873,1.138095
146,64.218750,0.499133,0.191127,1.516669,3,2,0.493788,0.188879,2.897167
147,64.218750,0.499133,0.191127,1.516669,3,2,0.493788,0.188879,2.897167
148,0.609375,0.004736,0.001814,0.014392,3,2,0.004686,0.001792,0.027491
149,14.281250,0.110999,0.042504,0.335336,3,2,0.109811,0.042004,0.630054
150,0.921875,0.008806,0.002744,0.025207,4,2,0.008224,0.002711,0.040726
151,1.937500,0.015059,0.005766,0.045494,3,2,0.014898,0.005699,0.085478
152,4.875000,0.037890,0.014509,0.114469,3,2,0.037485,0.014338,0.215073
153,394.687500,3.067662,1.174665,9.288446,3,2,3.034812,1.160846,16.713056
154,290.578125,2.258484,0.864816,6.805255,3,2,2.234299,0.854642,13.117125
155,118.578125,1.439825,0.352911,3.677043,5,2,1.348430,0.348759,5.203717
156,82.125000,0.784437,0.244420,2.225477,4,2,0.732611,0.241544,3.598391
157,57.468750,0.446669,0.171038,1.357252,3,2,0.441886,0.169026,2.592647
158,83.062500,0.645593,0.247210,1.926040,3,2,0.638680,0.244301,3.633798
159,70.734375,0.549775,0.210519,1.670550,3,2,0.543887,0.208042,3.191113
160,0.609375,0.004736,0.001814,0.014392,3,2,0.004686,0.001792,0.027491
161,517.515625,4.022329,1.540225,12.179043,3,2,3.979256,1.522105,21.914217
162,11754.187500,91.358025,34.982701,276.619195,3,2,90.379726,34.571140,497.731482
163,0.593750,0.005671,0.001767,0.016265,4,2,0.005297,0.001746,0.025112
164,1.718750,0.016417,0.005115,0.047082,4,2,0.015332,0.005055,0.072693
165,0.375000,0.002680,0.001116,0.008825,3,2,0.002417,0.001103,0.015879
