ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
5,12.453125,0.072445,0.010848,0.252645,10,8,0.074161,0.030522,0.549401
6,9.531250,0.055447,0.008302,0.193367,10,8,0.056761,0.023361,0.420495
7,23.312500,0.189865,0.028430,0.682835,10,6,0.253674,0.057704,1.031280
8,12.296875,0.080259,0.012421,0.233769,10,9,0.073231,0.030139,0.542508
9,14.796875,0.102466,0.017615,0.376251,10,7,0.124386,0.036267,0.653687
10,11.109375,0.093225,0.014428,0.311209,10,7,0.093388,0.027229,0.490783
11,1.750000,0.012850,0.001989,0.041146,10,8,0.014711,0.004289,0.077310
12,0.671875,0.004170,0.000750,0.013202,10,8,0.004001,0.001647,0.029641
13,2.859375,0.018663,0.002888,0.054358,10,9,0.017028,0.007008,0.126149
14,2.968750,0.019376,0.002999,0.056437,10,9,0.017680,0.007276,0.130974
15,18.453125,0.150288,0.022504,0.540501,10,6,0.200797,0.045676,0.816315
16,8.234375,0.053744,0.008318,0.156539,10,9,0.049038,0.020182,0.363280
17,21.062500,0.176748,0.027354,0.590029,10,7,0.229191,0.052135,0.931746
18,17.750000,0.102430,0.017609,0.371442,10,8,0.105705,0.043505,0.783086
19,206.546875,1.348089,0.208633,3.834447,10,9,1.230035,0.506242,9.323830
20,37.921875,0.278447,0.043093,0.889906,10,8,0.318779,0.092946,1.712633
21,10.187500,0.069142,0.010353,0.252539,10,7,0.085638,0.024969,0.450057
22,14.171875,0.092497,0.014315,0.269413,10,9,0.084397,0.034735,0.625228
23,0.703125,0.004272,0.001190,0.016061,10,8,0.004187,0.001723,0.031020
24,2.203125,0.019070,0.003278,0.065938,10,6,0.023973,0.005453,0.097460
25,1.343750,0.011276,0.001745,0.037643,10,7,0.011296,0.003294,0.059363
26,2.203125,0.014379,0.002225,0.041882,10,9,0.013120,0.005400,0.097196
27,7.937500,0.051806,0.008018,0.150895,10,9,0.047270,0.019455,0.350183
28,1.562500,0.010198,0.001578,0.029704,10,9,0.009305,0.003830,0.068934
29,0.578125,0.003924,0.000588,0.014331,10,7,0.004860,0.001417,0.025540
30,0.796875,0.005712,0.001049,0.020772,10,7,0.006699,0.001953,0.035204
31,0.500000,0.002926,0.000648,0.011102,10,8,0.002978,0.001225,0.022059
32,14.843750,0.086352,0.012930,0.301146,10,8,0.088398,0.036382,0.654870
33,11.750000,0.091684,0.020294,0.313784,10,7,0.098773,0.028799,0.519084
34,13.421875,0.087602,0.013557,0.255155,10,9,0.079930,0.032897,0.592140
35,0.796875,0.005201,0.000805,0.015149,10,9,0.004746,0.001953,0.035156
36,0.453125,0.002957,0.000458,0.008614,10,9,0.002698,0.001111,0.019991
37,0.781250,0.004508,0.000775,0.016349,10,8,0.004653,0.001915,0.034467
38,1.296875,0.007484,0.001287,0.027139,10,8,0.007723,0.003179,0.057215
39,1.062500,0.007802,0.001207,0.024981,10,8,0.006327,0.002604,0.046875
40,14.312500,0.093415,0.014457,0.272087,10,9,0.085234,0.035080,0.631432
41,4.437500,0.028963,0.004482,0.084359,10,9,0.026426,0.010876,0.195772
42,0.843750,0.005507,0.000852,0.016040,10,9,0.005025,0.002068,0.037224
43,0.515625,0.003500,0.000524,0.012782,10,7,0.004334,0.001264,0.022779
44,18.015625,0.103963,0.017873,0.377001,10,8,0.107287,0.044156,0.794805
45,1.750000,0.011422,0.001768,0.033268,10,9,0.010422,0.004289,0.077206
46,14.578125,0.085313,0.018884,0.323687,10,8,0.086816,0.035731,0.643151
47,19.765625,0.129006,0.019965,0.375753,10,9,0.117709,0.048445,0.872011
48,0.906250,0.007071,0.001565,0.024201,10,7,0.007618,0.002221,0.040036
49,727.015625,4.745083,0.734359,13.622241,10,9,4.329549,1.781901,30.785502
50,114.218750,0.693964,0.193264,2.573756,10,8,0.680199,0.279948,4.996814
51,63.062500,0.463046,0.071662,1.479877,10,8,0.375552,0.154565,2.845004
52,2445.843750,19.919778,2.982736,71.412393,10,6,26.614357,6.054069,103.319126
53,106.500000,0.893705,0.138312,2.954103,10,7,1.158876,0.263614,4.673677
54,32.171875,0.236227,0.036559,0.754972,10,8,0.191591,0.078853,1.451403
55,1.062500,0.007211,0.001080,0.026329,10,7,0.008932,0.002604,0.047985
56,1.312500,0.008566,0.001326,0.024966,10,9,0.007816,0.003217,0.059212
57,0.937500,0.006119,0.000947,0.017833,10,9,0.005583,0.002298,0.042294
58,500.968750,3.678436,0.569283,11.663613,10,8,4.211251,1.227865,21.187914
59,433.062500,3.634085,0.562419,12.050842,10,7,4.712353,1.071937,18.293744
60,2.562500,0.017392,0.002604,0.063172,10,7,0.021541,0.006281,0.108378
61,0.593750,0.004360,0.000675,0.013824,10,8,0.004991,0.001455,0.025112
62,1.078125,0.007466,0.001283,0.027317,10,7,0.009063,0.002642,0.045598
63,341.703125,2.509005,0.388299,7.955572,10,8,2.872430,0.837508,14.451952
64,325.656250,2.391179,0.370064,7.581967,10,8,2.737537,0.798177,13.773268
65,130.859375,0.795069,0.221420,2.948728,10,8,0.779298,0.320734,5.724804
66,99.125000,0.831817,0.128734,2.749535,10,7,0.833266,0.242953,4.343263
67,121.031250,0.789946,0.122254,2.252136,10,9,0.720770,0.296645,5.294845
68,101.593750,0.792722,0.175464,2.686583,10,7,0.854019,0.249004,4.451434
69,135.093750,1.117907,0.201032,3.835627,10,6,1.470018,0.334390,5.928493
70,0.640625,0.005376,0.000832,0.017770,10,7,0.006971,0.001586,0.028113
71,14974.328125,87.111420,13.043840,301.098167,10,8,89.175639,36.701785,634.088450
72,107.437500,0.652763,0.181789,2.420950,10,8,0.639816,0.263327,4.700149
73,99.953125,0.652374,0.100963,1.859917,10,9,0.595244,0.244983,4.372725
74,11.343750,0.093870,0.016881,0.325020,10,6,0.123437,0.028079,0.501816
75,13.921875,0.108630,0.024045,0.371784,10,7,0.117030,0.034122,0.615032
76,8.343750,0.054458,0.008428,0.158618,10,9,0.049689,0.020450,0.368106
77,19.718750,0.128700,0.019918,0.374862,10,9,0.117430,0.048330,0.869943
78,36.578125,0.238738,0.036948,0.695769,10,9,0.217831,0.089652,1.650187
79,19.703125,0.128598,0.019902,0.374565,10,9,0.117337,0.048292,0.869253
80,10.078125,0.082080,0.012290,0.295193,10,6,0.109665,0.024946,0.445828
81,2.265625,0.014787,0.002289,0.043070,10,9,0.013492,0.005553,0.099954
82,14.437500,0.094231,0.014583,0.274463,10,9,0.085979,0.035386,0.636947
83,23.296875,0.152054,0.023532,0.442883,10,9,0.138738,0.057100,1.027801
84,18.953125,0.123703,0.019145,0.360307,10,9,0.112870,0.046454,0.836165
85,1.781250,0.011626,0.001799,0.033862,10,9,0.010608,0.004366,0.078584
86,1.031250,0.008927,0.001535,0.030864,10,6,0.011222,0.002553,0.045620
87,89.015625,0.540836,0.150619,2.005839,10,8,0.530109,0.218176,3.894234
88,0.500000,0.004196,0.000649,0.013869,10,7,0.005441,0.001238,0.021942
89,31.437500,0.222983,0.040099,0.758378,10,7,0.264270,0.077053,1.419785
90,8.312500,0.057563,0.009896,0.211368,10,7,0.069877,0.020374,0.367224
91,21.750000,0.182517,0.028247,0.609288,10,7,0.236672,0.053837,0.962159
92,33.921875,0.284659,0.044054,0.946834,10,7,0.285155,0.083142,1.531985
93,10.156250,0.066288,0.010259,0.193075,10,9,0.060483,0.024893,0.448069
94,36.843750,0.250057,0.037443,0.912985,10,7,0.309716,0.090303,1.663943
95,49.250000,0.401109,0.060061,1.439344,10,6,0.535912,0.121906,2.226605
96,49.453125,0.363117,0.056197,1.160508,10,8,0.294505,0.121209,2.231030
97,13.562500,0.078265,0.013455,0.283813,10,8,0.080768,0.033241,0.598344
98,56.296875,0.382084,0.057212,1.395031,10,7,0.473244,0.137983,2.542487
99,61.609375,0.402112,0.062232,1.171900,10,9,0.366898,0.151003,2.779448
100,14.500000,0.083675,0.014385,0.303432,10,8,0.086351,0.035539,0.639704
101,2.359375,0.013807,0.003056,0.052387,10,8,0.014051,0.005783,0.104090
102,0.703125,0.005900,0.000913,0.019697,10,7,0.007651,0.001740,0.031104
103,1.578125,0.009235,0.002044,0.035040,10,8,0.009398,0.003868,0.069623
104,3.000000,0.020361,0.003049,0.074367,10,7,0.025219,0.007353,0.132532
105,1.046875,0.006833,0.001057,0.019902,10,9,0.006234,0.002566,0.046186
106,0.500000,0.003038,0.000846,0.011421,10,8,0.002978,0.001225,0.022059
107,1.500000,0.012587,0.001948,0.042020,10,7,0.016322,0.003713,0.066356
108,77.906250,0.508478,0.078693,1.449671,10,9,0.463950,0.190947,3.408223
109,170.234375,1.111085,0.171954,3.160322,10,9,1.013786,0.417241,7.684631
110,0.703125,0.004090,0.000612,0.014029,10,8,0.004187,0.001723,0.031740
111,393.203125,3.253773,0.585124,11.211101,10,6,4.278625,0.973275,16.609975
112,21.781250,0.150831,0.025930,0.553848,10,7,0.183098,0.053385,0.962239
113,9.843750,0.082605,0.012784,0.275755,10,7,0.082749,0.024127,0.434871
114,3.234375,0.018816,0.002817,0.065618,10,8,0.019261,0.007927,0.142693
115,147.421875,1.082467,0.167525,3.416203,10,8,0.877932,0.361328,6.449376
116,124.703125,0.813912,0.125963,2.320462,10,9,0.742636,0.305645,5.455482
117,156.421875,1.020934,0.158002,2.903900,10,9,0.931529,0.383387,7.061114
