algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 998.230547, 116121055.616714, 647932.075545, 121358.984600, 871393, 7585842, 133.259110, 0.743559, 8.705420, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.091248, 1939471.841213, 0.024635, 0.092788, 0.206067, 0.166108, 1939471.841213, 0.012844, 0.086343, 0.020848]", 1987321.672155, 2.280626, 0.139270, 615826.157470, 0.706715, 119263.610955, 0.136865, 42364721.293993, 48.617238, 102026849.170033
alg_bogdan, 3.533859, 119999998.841959, 668756.317618, 222146.199990, 755524, 3688882, 158.830161, 0.885156, 4.882548, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.093064, 0.099370, 0.112600, 0.169890, 0.330412, 0.061214, 0.039495, 0.041772, 0.020724, 0.189498]", 1931005.392963, 2.555849, 0.294029, 636050.593717, 0.841867, 217503.333834, 0.287884, 43820193.670611, 57.999737, 88456223.260775
hdfs_3_replication_c, 9.405606, 102000167.770298, 530229.349607, 196393.564678, 290430, 871290, 351.203966, 1.825670, 3.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[1.090283, 1.288918, 1.090283, 1.292027, 0.092027, 1.391892, 7999875.994258, 0.194258, 1.097144, 9999948.698614]", 947777.990808, 3.263361, 0.676217, 499707.212254, 1.720577, 191718.359880, 0.660119, 19492650.054172, 67.116517, 34000055.923433
hdfs_rs_3_2_c, 0.518613, 90000235.561840, 462355.907922, 110120.391268, 461240, 2306200, 195.126692, 1.002419, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.157116, 0.422339, 0.157116, 0.191758, 0.225085, 5999952.695874, 9999952.662548, 3999952.730516, 0.097185, 9999905.098625]", 1432597.876885, 3.105971, 0.238749, 432667.561122, 0.938053, 104066.145789, 0.225623, 28453856.384857, 61.689915, 54000141.337105
hdfs_rs_6_3_c, 0.654029, 71999998.099480, 397851.425714, 72077.920160, 409962, 3689658, 175.626029, 0.970459, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.211168, 8000000.211167, 6000000.211168, 4000000.211168, 4000000.211168, 4000000.211168, 8000000.211167, 0.211169, 0.013953, 8000000.197215]", 1362622.871803, 3.323778, 0.175816, 376338.555814, 0.917984, 65789.471818, 0.160477, 22072981.791794, 53.841531, 47999998.732987
hdfs_rs_4_2_c, 0.580352, 84001127.907550, 412322.150189, 81012.808021, 478313, 2869878, 175.619579, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.065409, 1999812.015408, 0.240408, 0.316753, 0.141762, 0.316753, 13997679.673656, 5999811.698655, 2002171.298642, 11999396.325004]", 1447978.463335, 3.027261, 0.169372, 387136.851251, 0.809380, 78530.001922, 0.164181, 28208806.247788, 58.975621, 56000751.938367
hdfs_rs_0_0_c, 0.657856, 71999998.099480, 397851.425714, 72077.920160, 409962, 3689658, 175.626029, 0.970459, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.211168, 8000000.211167, 6000000.211168, 4000000.211168, 4000000.211168, 4000000.211168, 8000000.211167, 0.211169, 0.013953, 8000000.197215]", 1362622.871803, 3.323778, 0.175816, 376338.555814, 0.917984, 65789.471818, 0.160477, 22072981.791794, 53.841531, 47999998.732987
glusterfs_6_4_c, 0.576155, 84001127.907550, 412322.150189, 81012.808021, 478313, 2869878, 175.619579, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.065409, 1999812.015408, 0.240408, 0.316753, 0.141762, 0.316753, 13997679.673656, 5999811.698655, 2002171.298642, 11999396.325004]", 1447978.463335, 3.027261, 0.169372, 387136.851251, 0.809380, 78530.001922, 0.164181, 28208806.247788, 58.975621, 56000751.938367
glusterfs_0_0_c, 0.576076, 84001127.907550, 412322.150189, 81012.808021, 478313, 2869878, 175.619579, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.065409, 1999812.015408, 0.240408, 0.316753, 0.141762, 0.316753, 13997679.673656, 5999811.698655, 2002171.298642, 11999396.325004]", 1447978.463335, 3.027261, 0.169372, 387136.851251, 0.809380, 78530.001922, 0.164181, 28208806.247788, 58.975621, 56000751.938367
daos_1_0_c, 0.716864, 71999998.698903, 397851.429037, 72077.920771, 546403, 4917627, 131.770870, 0.728128, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.144566, 8000000.144566, 6000000.144566, 4000000.144566, 4000000.144566, 4000000.144566, 8000000.144566, 0.144566, 0.047347, 8000000.097219]", 1234305.284601, 2.258965, 0.131913, 376338.559041, 0.688756, 65789.472460, 0.120405, 26139842.849601, 47.839860, 63999998.843470
