ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K, Total Read Time, Read Time Parralelized, Reconstruct Time
0, 180.500000, 1.178087, 0.182323, 3.350899, 10, 9, 1.108390, 0.179067, 61.978040
1, 124.099998, 0.809975, 0.125354, 2.309239, 10, 9, 0.762057, 0.123115, 54.125164
2, 10.300000, 0.067226, 0.010404, 0.195807, 10, 9, 0.063249, 0.010218, 3.014917
3, 7.000000, 0.045688, 0.007071, 0.133073, 10, 9, 0.042985, 0.006944, 2.048973
4, 3.400000, 0.022191, 0.003434, 0.064635, 10, 9, 0.020878, 0.003373, 0.995215
5, 1.900000, 0.012401, 0.001919, 0.036120, 10, 9, 0.011667, 0.001885, 0.556150
6, 4.100000, 0.026760, 0.004141, 0.077943, 10, 9, 0.025177, 0.004067, 1.200113
7, 2.900000, 0.018928, 0.002929, 0.055130, 10, 9, 0.017808, 0.002877, 0.848860
8, 3.700000, 0.024149, 0.003737, 0.070339, 10, 9, 0.022720, 0.003671, 1.083028
9, 191.800003, 1.251840, 0.193737, 3.560678, 10, 9, 1.177780, 0.190278, 65.858107
10, 158.300003, 1.033192, 0.159899, 2.938766, 10, 9, 0.972068, 0.157044, 54.355258
11, 2.200000, 0.014359, 0.002222, 0.040842, 10, 9, 0.013509, 0.002183, 0.755411
12, 165.899994, 1.082796, 0.167576, 3.079857, 10, 9, 1.018737, 0.164583, 56.964856
13, 192.600006, 1.257061, 0.194545, 3.575530, 10, 9, 1.182693, 0.191071, 66.132803
14, 856.099976, 5.587590, 0.864747, 16.040921, 10, 9, 5.257025, 0.849306, 347.090811
15, 71.400002, 0.466013, 0.072121, 1.358132, 10, 9, 0.438444, 0.070833, 21.917802
16, 65.300003, 0.426200, 0.065960, 1.242101, 10, 9, 0.400986, 0.064782, 20.045273
17, 56.099998, 0.366153, 0.056667, 1.067104, 10, 9, 0.344491, 0.055655, 17.221129
18, 107.400002, 0.700978, 0.108485, 1.998487, 10, 9, 0.659508, 0.106548, 46.841602
19, 115.500000, 0.753845, 0.116667, 2.149211, 10, 9, 0.709247, 0.114583, 50.374348
20, 123.300003, 0.804754, 0.124545, 2.294353, 10, 9, 0.757144, 0.122321, 53.776253
21, 9.400000, 0.061352, 0.009495, 0.178698, 10, 9, 0.057722, 0.009325, 2.751478
22, 92.199997, 0.601771, 0.093131, 1.715647, 10, 9, 0.566169, 0.091468, 40.212249
23, 124.000000, 0.809323, 0.125253, 2.307378, 10, 9, 0.761443, 0.123016, 54.081551
24, 203.500000, 1.328203, 0.205556, 3.777883, 10, 9, 1.249626, 0.201885, 69.875519
25, 110.900002, 0.723822, 0.112020, 2.063615, 10, 9, 0.681000, 0.110020, 48.368097
26, 124.599998, 0.813239, 0.125859, 2.318543, 10, 9, 0.765127, 0.123611, 54.343235
27, 187.199997, 1.221816, 0.189091, 3.475281, 10, 9, 1.149533, 0.185714, 64.278609
28, 75.099998, 0.490162, 0.075859, 1.428512, 10, 9, 0.461164, 0.074504, 23.053598
29, 153.399994, 1.001211, 0.154949, 2.847800, 10, 9, 0.941978, 0.152183, 52.672748
30, 2.200000, 0.014359, 0.002222, 0.040842, 10, 9, 0.013509, 0.002183, 0.755411
31, 157.899994, 1.030581, 0.159495, 2.931340, 10, 9, 0.969611, 0.156647, 54.217907
32, 113.500000, 0.740791, 0.114646, 2.111995, 10, 9, 0.696966, 0.112599, 49.502065
33, 74.199997, 0.484288, 0.074949, 1.411392, 10, 9, 0.455637, 0.073611, 22.777322
34, 72.199997, 0.471235, 0.072929, 1.373349, 10, 9, 0.443356, 0.071627, 22.163378
35, 6.600000, 0.043077, 0.006667, 0.125469, 10, 9, 0.040528, 0.006548, 1.931889
