ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K, Total Read Time, Read Time Parralelized, Reconstruct Time
0, 180.500000, 1.290195, 0.537202, 4.227258, 3, 2, 1.163400, 0.530882, 91.507897
1, 124.099998, 0.964552, 0.369345, 2.877612, 3, 2, 0.954224, 0.365000, 75.101683
2, 10.300000, 0.080056, 0.030655, 0.241853, 3, 2, 0.079198, 0.030294, 4.197515
3, 7.000000, 0.054407, 0.020833, 0.164366, 3, 2, 0.053824, 0.020588, 2.852680
4, 3.400000, 0.026426, 0.010119, 0.079835, 3, 2, 0.026143, 0.010000, 1.385588
5, 1.900000, 0.014768, 0.005655, 0.044614, 3, 2, 0.014609, 0.005588, 0.774299
6, 4.100000, 0.031867, 0.012202, 0.096272, 3, 2, 0.031526, 0.012059, 1.670856
7, 2.900000, 0.022540, 0.008631, 0.068095, 3, 2, 0.022299, 0.008529, 1.181825
8, 3.700000, 0.028758, 0.011012, 0.086879, 3, 2, 0.028450, 0.010882, 1.507845
9, 191.800003, 1.490743, 0.570833, 4.491900, 3, 2, 1.474779, 0.564118, 97.236648
10, 158.300003, 1.131512, 0.471131, 3.707340, 3, 2, 1.020312, 0.465588, 80.253188
11, 2.200000, 0.015725, 0.006548, 0.051523, 3, 2, 0.014180, 0.006471, 1.115332
12, 165.899994, 1.185836, 0.493750, 3.885330, 3, 2, 1.069297, 0.487941, 84.106147
13, 192.600006, 1.496961, 0.573214, 4.510636, 3, 2, 1.480931, 0.566471, 97.642225
14, 856.099976, 6.119312, 2.547917, 20.147176, 3, 2, 5.517933, 2.517941, 510.136276
15, 71.400002, 0.554948, 0.212500, 1.686270, 3, 2, 0.549005, 0.210000, 28.370523
16, 65.300003, 0.507537, 0.194345, 1.542205, 3, 2, 0.502102, 0.192059, 25.946711
17, 56.099998, 0.436031, 0.166964, 1.324926, 3, 2, 0.431361, 0.165000, 22.291124
18, 107.400002, 0.834754, 0.319643, 2.490375, 3, 2, 0.825815, 0.315882, 64.995334
19, 115.500000, 0.897710, 0.343750, 2.678196, 3, 2, 0.888097, 0.339706, 69.897216
20, 123.300003, 0.958335, 0.366964, 2.859061, 3, 2, 0.948072, 0.362647, 74.617550
21, 9.400000, 0.073060, 0.027976, 0.220720, 3, 2, 0.072278, 0.027647, 3.830742
22, 92.199997, 0.716614, 0.274405, 2.137919, 3, 2, 0.708940, 0.271176, 55.796737
23, 124.000000, 0.963775, 0.369048, 2.875293, 3, 2, 0.953455, 0.364706, 75.041167
24, 203.500000, 1.581680, 0.605655, 4.765911, 3, 2, 1.564742, 0.598529, 103.168183
25, 110.900002, 0.792702, 0.330060, 2.571532, 3, 2, 0.714798, 0.326176, 67.113432
26, 124.599998, 0.890628, 0.370833, 2.889206, 3, 2, 0.803101, 0.366471, 75.404269
27, 187.199997, 1.454990, 0.557143, 4.384170, 3, 2, 1.439409, 0.550588, 94.904588
28, 75.099998, 0.536807, 0.223512, 1.773653, 3, 2, 0.484052, 0.220882, 29.840703
29, 153.399994, 1.096487, 0.456548, 3.592583, 3, 2, 0.988729, 0.451176, 77.769035
30, 2.200000, 0.017099, 0.006548, 0.051523, 3, 2, 0.016916, 0.006471, 1.115332
31, 157.899994, 1.227259, 0.469940, 3.697972, 3, 2, 1.214117, 0.464412, 80.050396
32, 113.500000, 0.811286, 0.337798, 2.631821, 3, 2, 0.731556, 0.333824, 68.686875
33, 74.199997, 0.576711, 0.220833, 1.752398, 3, 2, 0.570535, 0.218235, 29.483091
34, 72.199997, 0.561166, 0.214881, 1.705163, 3, 2, 0.555157, 0.212353, 28.688398
35, 6.600000, 0.047176, 0.019643, 0.154974, 3, 2, 0.042540, 0.019412, 2.689670
36, 15.900000, 0.113652, 0.047321, 0.373346, 3, 2, 0.102482, 0.046765, 6.479660
37, 16.100000, 0.115081, 0.047917, 0.378042, 3, 2, 0.103771, 0.047353, 6.561165
38, 10.300000, 0.073623, 0.030655, 0.241853, 3, 2, 0.066388, 0.030294, 4.197515
39, 10.600000, 0.075768, 0.031548, 0.248897, 3, 2, 0.068322, 0.031176, 4.319773
40, 13.600000, 0.097211, 0.040476, 0.319340, 3, 2, 0.087658, 0.040000, 5.542351
41, 517.799988, 4.024539, 1.541071, 12.185735, 3, 2, 3.981442, 1.522941, 308.548727
42, 447.700012, 3.200112, 1.332441, 10.536025, 3, 2, 2.885619, 1.316765, 266.777273
43, 112.500000, 0.804138, 0.334821, 2.608633, 3, 2, 0.725111, 0.330882, 68.081704
44, 532.099976, 4.135684, 1.583631, 12.522266, 3, 2, 4.091397, 1.565000, 317.069861
45, 56.700001, 0.405286, 0.168750, 1.339097, 3, 2, 0.365456, 0.166765, 22.529533
46, 57.000000, 0.407430, 0.169643, 1.346182, 3, 2, 0.367390, 0.167647, 22.648736
47, 57.599998, 0.411719, 0.171429, 1.360352, 3, 2, 0.371257, 0.169412, 22.887143
48, 117.699997, 0.841307, 0.350298, 2.729209, 3, 2, 0.758627, 0.346176, 71.228590
49, 136.800003, 0.977832, 0.407143, 3.172097, 3, 2, 0.881735, 0.402353, 82.787354
50, 149.000000, 1.065036, 0.443452, 3.454989, 3, 2, 0.960369, 0.438235, 90.170435
51, 112.199997, 0.872061, 0.333929, 2.601676, 3, 2, 0.862723, 0.330000, 67.900151
52, 1.700000, 0.012151, 0.005060, 0.039419, 3, 2, 0.010957, 0.005000, 1.028790
53, 86.500000, 0.618293, 0.257440, 2.005749, 3, 2, 0.557530, 0.254412, 52.347266
54, 89.000000, 0.691742, 0.264881, 2.063718, 3, 2, 0.684334, 0.261765, 53.860193
55, 26.500000, 0.189419, 0.078869, 0.622244, 3, 2, 0.170804, 0.077941, 10.799433
56, 8.600000, 0.066842, 0.025595, 0.201936, 3, 2, 0.066127, 0.025294, 3.504722
57, 4.000000, 0.031090, 0.011905, 0.093924, 3, 2, 0.030757, 0.011765, 1.630103
