ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K, Total Read Time, Read Time Parralelized, Reconstruct Time
0, 180.500000, 1.325348, 0.205114, 4.172141, 10, 8, 1.246939, 0.201451, 66.225399
1, 124.099998, 0.911222, 0.141023, 2.875766, 10, 8, 0.857314, 0.138504, 57.594250
2, 10.300000, 0.075629, 0.011705, 0.242172, 10, 8, 0.071155, 0.011496, 3.273322
3, 7.000000, 0.051399, 0.007955, 0.164583, 10, 8, 0.048358, 0.007812, 2.224587
4, 3.400000, 0.024965, 0.003864, 0.079940, 10, 8, 0.023488, 0.003795, 1.080514
5, 1.900000, 0.013951, 0.002159, 0.044672, 10, 8, 0.013126, 0.002121, 0.603817
6, 4.100000, 0.030105, 0.004659, 0.096398, 10, 8, 0.028324, 0.004576, 1.302973
7, 2.900000, 0.021294, 0.003295, 0.068184, 10, 8, 0.020034, 0.003237, 0.921615
8, 3.700000, 0.027168, 0.004205, 0.086994, 10, 8, 0.025561, 0.004129, 1.175853
9, 191.800003, 1.408320, 0.217955, 4.433333, 10, 8, 1.325002, 0.214063, 70.371367
10, 158.300003, 1.162341, 0.179886, 3.659003, 10, 8, 1.093576, 0.176674, 58.080227
11, 2.200000, 0.016154, 0.002500, 0.050852, 10, 8, 0.015198, 0.002455, 0.807179
12, 165.899994, 1.218145, 0.188523, 3.834671, 10, 8, 1.146079, 0.185156, 60.868661
13, 192.600006, 1.414194, 0.218864, 4.451825, 10, 8, 1.330529, 0.214955, 70.664888
14, 856.099976, 6.286039, 0.972841, 19.931819, 10, 8, 5.914153, 0.955469, 369.925816
15, 71.400002, 0.524265, 0.081136, 1.675532, 10, 8, 0.493249, 0.079688, 23.719198
16, 65.300003, 0.479475, 0.074205, 1.532384, 10, 8, 0.451109, 0.072879, 21.692769
17, 56.099998, 0.411922, 0.063750, 1.316489, 10, 8, 0.387553, 0.062612, 18.636512
18, 107.400002, 0.788600, 0.122045, 2.488777, 10, 8, 0.741946, 0.119866, 49.843856
19, 115.500000, 0.848076, 0.131250, 2.676478, 10, 8, 0.797903, 0.128906, 53.603029
20, 123.300003, 0.905348, 0.140114, 2.857227, 10, 8, 0.851787, 0.137612, 57.222975
21, 9.400000, 0.069021, 0.010682, 0.221011, 10, 8, 0.064938, 0.010491, 2.987303
22, 92.199997, 0.676992, 0.104773, 2.136548, 10, 8, 0.636941, 0.102902, 42.789603
23, 124.000000, 0.910488, 0.140909, 2.873448, 10, 8, 0.856623, 0.138393, 57.547841
24, 203.500000, 1.494229, 0.231250, 4.703771, 10, 8, 1.405829, 0.227121, 74.664093
25, 110.900002, 0.814299, 0.126023, 2.569882, 10, 8, 0.766125, 0.123772, 51.468191
26, 124.599998, 0.914894, 0.141591, 2.887352, 10, 8, 0.860768, 0.139062, 57.826297
27, 187.199997, 1.374543, 0.212727, 4.327007, 10, 8, 1.293224, 0.208929, 68.683626
28, 75.099998, 0.551433, 0.085341, 1.762359, 10, 8, 0.518810, 0.083817, 24.948343
29, 153.399994, 1.126362, 0.174318, 3.545742, 10, 8, 1.059726, 0.171205, 56.282415
30, 2.200000, 0.016154, 0.002500, 0.050852, 10, 8, 0.015198, 0.002455, 0.807179
31, 157.899994, 1.159404, 0.179432, 3.649757, 10, 8, 1.090813, 0.176228, 57.933464
32, 113.500000, 0.833390, 0.128977, 2.630132, 10, 8, 0.784086, 0.126674, 52.674838
33, 74.199997, 0.544824, 0.084318, 1.741239, 10, 8, 0.512592, 0.082812, 24.649361
34, 72.199997, 0.530139, 0.082045, 1.694305, 10, 8, 0.498776, 0.080580, 23.984958
35, 6.600000, 0.048461, 0.007500, 0.155178, 10, 8, 0.045594, 0.007366, 2.097468
36, 15.900000, 0.116748, 0.018068, 0.373838, 10, 8, 0.109841, 0.017746, 5.052991
37, 16.100000, 0.118217, 0.018295, 0.378540, 10, 8, 0.111223, 0.017969, 5.116551
38, 10.300000, 0.075629, 0.011705, 0.242172, 10, 8, 0.071155, 0.011496, 3.273322
39, 10.600000, 0.077832, 0.012045, 0.249225, 10, 8, 0.073227, 0.011830, 3.368661
40, 13.600000, 0.099860, 0.015455, 0.319761, 10, 8, 0.093952, 0.015179, 4.322056
41, 517.799988, 3.802022, 0.588409, 12.055480, 10, 8, 3.577092, 0.577902, 223.744409
42, 447.700012, 3.287303, 0.508750, 10.423404, 10, 8, 3.092824, 0.499665, 193.453799
43, 112.500000, 0.826048, 0.127841, 2.606959, 10, 8, 0.777178, 0.125558, 52.210743
44, 532.099976, 3.907022, 0.604659, 12.388414, 10, 8, 3.675880, 0.593862, 229.923517
45, 56.700001, 0.416328, 0.064432, 1.330569, 10, 8, 0.391698, 0.063281, 18.835834
46, 57.000000, 0.418531, 0.064773, 1.337609, 10, 8, 0.393770, 0.063616, 18.935494
47, 57.599998, 0.422936, 0.065455, 1.351689, 10, 8, 0.397915, 0.064286, 19.134814
48, 117.699997, 0.864229, 0.133750, 2.727459, 10, 8, 0.813101, 0.131362, 54.624038
49, 136.800003, 1.004474, 0.155455, 3.170062, 10, 8, 0.945049, 0.152679, 63.488264
50, 149.000000, 1.094054, 0.169318, 3.452773, 10, 8, 1.029329, 0.166295, 69.150228
51, 112.199997, 0.823845, 0.127500, 2.600007, 10, 8, 0.775106, 0.125223, 52.071513
52, 1.700000, 0.012482, 0.001932, 0.039394, 10, 8, 0.011744, 0.001897, 0.788962
53, 86.500000, 0.635139, 0.098295, 2.004462, 10, 8, 0.597564, 0.096540, 40.144260
54, 89.000000, 0.653496, 0.101136, 2.062394, 10, 8, 0.614834, 0.099330, 41.304499
55, 26.500000, 0.194580, 0.030114, 0.623063, 10, 8, 0.183069, 0.029576, 8.421652
56, 8.600000, 0.063147, 0.009773, 0.202202, 10, 8, 0.059411, 0.009598, 2.733065
57, 4.000000, 0.029371, 0.004545, 0.094047, 10, 8, 0.027633, 0.004464, 1.271193
58, 160.000000, 1.174823, 0.181818, 3.698297, 10, 8, 1.105320, 0.178571, 58.703955
59, 7.500000, 0.055070, 0.008523, 0.176339, 10, 8, 0.051812, 0.008371, 2.383487
60, 6.500000, 0.047727, 0.007386, 0.152827, 10, 8, 0.044904, 0.007254, 2.065688
61, 6.300000, 0.046259, 0.007159, 0.148124, 10, 8, 0.043522, 0.007031, 2.002129
62, 154.600006, 1.135173, 0.175682, 3.573480, 10, 8, 1.068016, 0.172545, 56.722699
63, 74.099998, 0.544090, 0.084205, 1.738892, 10, 8, 0.511901, 0.082701, 24.616141
64, 2.200000, 0.016154, 0.002500, 0.051627, 10, 8, 0.015198, 0.002455, 0.730844
65, 152.899994, 1.122691, 0.173750, 3.534185, 10, 8, 1.056271, 0.170647, 56.098965
66, 72.300003, 0.530873, 0.082159, 1.696652, 10, 8, 0.499467, 0.080692, 24.018180
67, 190.000000, 1.395103, 0.215909, 4.391728, 10, 8, 1.312568, 0.212054, 69.710947
68, 123.199997, 0.904614, 0.140000, 2.854910, 10, 8, 0.851096, 0.137500, 57.176563
69, 214.699997, 1.576466, 0.243977, 4.962652, 10, 8, 1.483201, 0.239621, 78.773369
70, 13.100000, 0.096189, 0.014886, 0.308005, 10, 8, 0.090498, 0.014621, 4.163157
71, 2.000000, 0.014685, 0.002273, 0.047024, 10, 8, 0.013817, 0.002232, 0.635596
72, 186.000000, 1.365732, 0.211364, 4.299270, 10, 8, 1.284935, 0.207589, 68.243348
73, 119.900002, 0.880383, 0.136250, 2.778439, 10, 8, 0.828299, 0.133817, 55.645050
74, 123.300003, 0.905348, 0.140114, 2.857227, 10, 8, 0.851787, 0.137612, 57.222975
75, 51.200001, 0.375943, 0.058182, 1.201502, 10, 8, 0.353702, 0.057143, 17.008725
76, 73.099998, 0.536747, 0.083068, 1.715425, 10, 8, 0.504993, 0.081585, 24.283940
77, 7.600000, 0.055804, 0.008636, 0.178690, 10, 8, 0.052503, 0.008482, 2.415266
78, 63.900002, 0.469195, 0.072614, 1.499530, 10, 8, 0.441437, 0.071317, 21.227686
79, 1.800000, 0.013217, 0.002045, 0.042240, 10, 8, 0.012435, 0.002009, 0.597963
80, 85.300003, 0.626328, 0.096932, 1.976654, 10, 8, 0.589274, 0.095201, 39.587347
81, 118.500000, 0.870104, 0.134659, 2.745997, 10, 8, 0.818628, 0.132254, 54.995316
82, 164.399994, 1.207131, 0.186818, 3.800000, 10, 8, 1.135716, 0.183482, 60.318312
83, 2.300000, 0.016888, 0.002614, 0.053163, 10, 8, 0.015889, 0.002567, 0.843869
84, 160.300003, 1.177026, 0.182159, 3.705231, 10, 8, 1.107393, 0.178906, 58.814026
85, 71.000000, 0.521328, 0.080682, 1.666145, 10, 8, 0.490486, 0.079241, 23.586317
86, 191.399994, 1.405382, 0.217500, 4.424088, 10, 8, 1.322239, 0.213616, 70.224604
87, 124.199997, 0.911957, 0.141136, 2.878083, 10, 8, 0.858005, 0.138616, 57.640658
88, 214.600006, 1.575732, 0.243864, 4.960341, 10, 8, 1.482511, 0.239509, 78.736682
89, 122.099998, 0.896537, 0.138750, 2.829420, 10, 8, 0.843497, 0.136272, 56.666059
90, 2.100000, 0.015420, 0.002386, 0.048663, 10, 8, 0.014507, 0.002344, 0.974600
91, 193.399994, 1.420068, 0.219773, 4.470316, 10, 8, 1.336056, 0.215848, 70.958404
92, 121.599998, 0.892866, 0.138182, 2.817833, 10, 8, 0.840043, 0.135714, 56.434011
93, 199.199997, 1.462655, 0.226364, 4.604380, 10, 8, 1.376124, 0.222321, 73.086423
94, 70.199997, 0.515454, 0.079773, 1.647371, 10, 8, 0.484959, 0.078348, 23.320555
95, 51.400002, 0.377412, 0.058409, 1.206195, 10, 8, 0.355084, 0.057366, 17.075165
96, 62.700001, 0.460384, 0.071250, 1.471370, 10, 8, 0.433147, 0.069978, 20.829043
97, 135.899994, 0.997866, 0.154432, 3.149207, 10, 8, 0.938831, 0.151674, 63.070574
98, 73.099998, 0.536747, 0.083068, 1.715425, 10, 8, 0.504993, 0.081585, 24.283940
99, 161.300003, 1.184369, 0.183295, 3.728346, 10, 8, 1.114301, 0.180022, 59.180926
100, 73.699997, 0.541153, 0.083750, 1.729505, 10, 8, 0.509138, 0.082254, 24.483260
101, 188.300003, 1.382620, 0.213977, 4.352433, 10, 8, 1.300824, 0.210156, 69.087218
102, 2.200000, 0.016154, 0.002500, 0.050852, 10, 8, 0.015198, 0.002455, 0.807179
103, 155.699997, 1.143250, 0.176932, 3.598905, 10, 8, 1.075615, 0.173772, 57.126285
104, 121.099998, 0.889194, 0.137614, 2.806247, 10, 8, 0.836589, 0.135156, 56.201963
105, 187.199997, 1.374543, 0.212727, 4.327007, 10, 8, 1.293224, 0.208929, 68.683626
106, 213.899994, 1.570592, 0.243068, 4.944161, 10, 8, 1.477675, 0.238728, 78.479848
107, 52.099998, 0.382552, 0.059205, 1.222622, 10, 8, 0.359920, 0.058147, 17.307705
108, 131.199997, 0.963355, 0.149091, 3.040294, 10, 8, 0.906362, 0.146429, 60.889327
109, 2.100000, 0.015420, 0.002386, 0.048663, 10, 8, 0.014507, 0.002344, 0.974600
110, 191.500000, 1.406117, 0.217614, 4.426399, 10, 8, 1.322930, 0.213728, 70.261296
111, 121.000000, 0.888460, 0.137500, 2.803929, 10, 8, 0.835898, 0.135045, 56.155554
112, 49.400002, 0.362727, 0.056136, 1.159261, 10, 8, 0.341268, 0.055134, 16.410762
113, 137.300003, 1.008145, 0.156023, 3.181649, 10, 8, 0.948503, 0.153237, 63.720312
