ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K, Total Read Time, Read Time Parralelized, Reconstruct Time
0, 180.500000, 1.293813, 0.237500, 4.672918, 6, 4, 1.220809, 0.238757, 83.099603
1, 124.099998, 0.889541, 0.163289, 3.200550, 6, 4, 0.839348, 0.164153, 69.580832
2, 10.300000, 0.073830, 0.013553, 0.268484, 6, 4, 0.069664, 0.013624, 3.949092
3, 7.000000, 0.050176, 0.009211, 0.182465, 6, 4, 0.047344, 0.009259, 2.683849
4, 3.400000, 0.024371, 0.004474, 0.088626, 6, 4, 0.022996, 0.004497, 1.303584
5, 1.900000, 0.013619, 0.002500, 0.049526, 6, 4, 0.012851, 0.002513, 0.728473
6, 4.100000, 0.029389, 0.005395, 0.106872, 6, 4, 0.027730, 0.005423, 1.571969
7, 2.900000, 0.020787, 0.003816, 0.075592, 6, 4, 0.019614, 0.003836, 1.111880
8, 3.700000, 0.026521, 0.004868, 0.096446, 6, 4, 0.025025, 0.004894, 1.418606
9, 191.800003, 1.374810, 0.252368, 4.965460, 6, 4, 1.297236, 0.253704, 88.301962
10, 158.300003, 1.134684, 0.208289, 4.098188, 6, 4, 1.070659, 0.209392, 72.879044
11, 2.200000, 0.015769, 0.002895, 0.056955, 6, 4, 0.014880, 0.002910, 1.012848
12, 165.899994, 1.189161, 0.218289, 4.294942, 6, 4, 1.122062, 0.219444, 76.377971
13, 192.600006, 1.380545, 0.253421, 4.986171, 6, 4, 1.302647, 0.254762, 88.670272
14, 856.099976, 6.136471, 1.126447, 22.278251, 6, 4, 5.790217, 1.132407, 463.094653
15, 71.400002, 0.511791, 0.093947, 1.863039, 6, 4, 0.482913, 0.094444, 27.406467
16, 65.300003, 0.468066, 0.085921, 1.703872, 6, 4, 0.441655, 0.086376, 25.065019
17, 56.099998, 0.402121, 0.073816, 1.463816, 6, 4, 0.379431, 0.074206, 21.533652
18, 107.400002, 0.769836, 0.141316, 2.769856, 6, 4, 0.726398, 0.142063, 60.217418
19, 115.500000, 0.827897, 0.151974, 2.978755, 6, 4, 0.781182, 0.152778, 64.758954
20, 123.300003, 0.883807, 0.162237, 3.179918, 6, 4, 0.833937, 0.163095, 69.132288
