ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K, Total Read Time, Read Time Parralelized, Reconstruct Time
0, 180.500000, 2.373774, 0.867788, 5.048500, 3, 1, 2.158600, 0.893564, 95.755256
1, 124.099998, 1.632052, 0.596635, 3.444138, 3, 1, 1.484112, 0.614356, 78.570769
2, 10.300000, 0.135456, 0.049519, 0.288218, 3, 1, 0.123178, 0.050990, 4.455920
3, 7.000000, 0.092058, 0.033654, 0.195876, 3, 1, 0.083713, 0.034653, 3.028295
4, 3.400000, 0.044714, 0.016346, 0.095140, 3, 1, 0.040661, 0.016832, 1.470886
5, 1.900000, 0.024987, 0.009135, 0.053166, 3, 1, 0.022722, 0.009406, 0.821966
6, 4.100000, 0.053920, 0.019712, 0.114727, 3, 1, 0.049032, 0.020297, 1.773716
7, 2.900000, 0.038138, 0.013942, 0.081149, 3, 1, 0.034681, 0.014356, 1.254579
8, 3.700000, 0.048659, 0.017788, 0.103534, 3, 1, 0.044248, 0.018317, 1.600670
9, 191.800003, 2.522381, 0.922115, 5.364556, 3, 1, 2.293737, 0.949505, 101.749908
10, 158.300003, 2.081819, 0.761058, 4.427576, 3, 1, 1.893110, 0.783663, 83.978157
11, 2.200000, 0.028932, 0.010577, 0.061533, 3, 1, 0.026310, 0.010891, 1.167100
12, 165.899994, 2.181767, 0.797596, 4.640145, 3, 1, 1.983999, 0.821287, 88.009953
13, 192.600006, 2.532902, 0.925962, 5.386931, 3, 1, 2.303304, 0.953465, 102.174310
14, 856.099976, 11.258657, 4.115865, 24.038074, 3, 1, 10.238103, 4.238119, 532.971281
15, 71.400002, 0.938989, 0.343269, 2.003669, 3, 1, 0.853873, 0.353465, 30.171919
16, 65.300003, 0.858767, 0.313942, 1.832487, 3, 1, 0.780923, 0.323267, 27.594207
17, 56.099998, 0.737777, 0.269712, 1.574311, 3, 1, 0.670900, 0.277723, 23.706507
18, 107.400002, 1.412428, 0.516346, 2.980665, 3, 1, 1.284397, 0.531683, 67.997589
19, 115.500000, 1.518952, 0.555288, 3.205463, 3, 1, 1.381265, 0.571782, 73.125897
