ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K, Total Read Time, Read Time Parralelized, Reconstruct Time
0, 180.500000, 1.493645, 0.268601, 5.118577, 9, 6, 1.393984, 0.226190, 74.691310
1, 124.099998, 1.026933, 0.184673, 3.523488, 9, 6, 0.958413, 0.155514, 64.059980
2, 10.300000, 0.085233, 0.015327, 0.295114, 9, 6, 0.079546, 0.012907, 3.700669
3, 7.000000, 0.057925, 0.010417, 0.200563, 9, 6, 0.054060, 0.008772, 2.515018
4, 3.400000, 0.028135, 0.005060, 0.097416, 9, 6, 0.026258, 0.004261, 1.221580
5, 1.900000, 0.015723, 0.002827, 0.054439, 9, 6, 0.014674, 0.002381, 0.682648
6, 4.100000, 0.033928, 0.006101, 0.117473, 9, 6, 0.031664, 0.005138, 1.473082
7, 2.900000, 0.023998, 0.004315, 0.083090, 9, 6, 0.022396, 0.003634, 1.041936
8, 3.700000, 0.030618, 0.005506, 0.106012, 9, 6, 0.028575, 0.004637, 1.329366
9, 191.800003, 1.587153, 0.285417, 5.439020, 9, 6, 1.481253, 0.240351, 79.367276
10, 158.300003, 1.309939, 0.235565, 4.489035, 9, 6, 1.222536, 0.198371, 65.504900
11, 2.200000, 0.018205, 0.003274, 0.062387, 9, 6, 0.016990, 0.002757, 0.910365
12, 165.899994, 1.372830, 0.246875, 4.704554, 9, 6, 1.281230, 0.207895, 68.649794
13, 192.600006, 1.593773, 0.286607, 5.461707, 9, 6, 1.487432, 0.241353, 79.698320
14, 856.099976, 7.084264, 1.273958, 24.409326, 9, 6, 6.611579, 1.072807, 416.053031
15, 71.400002, 0.590838, 0.106250, 2.039807, 9, 6, 0.551415, 0.089474, 26.442411
16, 65.300003, 0.540360, 0.097173, 1.865538, 9, 6, 0.504306, 0.081830, 24.183326
17, 56.099998, 0.464230, 0.083482, 1.602706, 9, 6, 0.433255, 0.070301, 20.776179
18, 107.400002, 0.888740, 0.159821, 3.049337, 9, 6, 0.829440, 0.134586, 55.439501
19, 115.500000, 0.955768, 0.171875, 3.279314, 9, 6, 0.891996, 0.144737, 59.620692
20, 123.300003, 1.020313, 0.183482, 3.500775, 9, 6, 0.952234, 0.154511, 63.647026
21, 9.400000, 0.077785, 0.013988, 0.269327, 9, 6, 0.072595, 0.011779, 3.377309
22, 92.199997, 0.762959, 0.137202, 2.617773, 9, 6, 0.712052, 0.115539, 47.593312
23, 124.000000, 1.026105, 0.184524, 3.520649, 9, 6, 0.957640, 0.155388, 64.008362
24, 203.500000, 1.683971, 0.302827, 5.770806, 9, 6, 1.571611, 0.255013, 84.208762
25, 110.900002, 0.917702, 0.165030, 3.148710, 9, 6, 0.856470, 0.138972, 57.246189
26, 124.599998, 1.031070, 0.185417, 3.537685, 9, 6, 0.962274, 0.156140, 64.318079
27, 187.199997, 1.549088, 0.278571, 5.308574, 9, 6, 1.445728, 0.234586, 77.463783
28, 75.099998, 0.621456, 0.111756, 2.145512, 9, 6, 0.579990, 0.094110, 27.812675
29, 153.399994, 1.269392, 0.228274, 4.350082, 9, 6, 1.184694, 0.192231, 63.477266
30, 2.200000, 0.018205, 0.003274, 0.062387, 9, 6, 0.016990, 0.002757, 0.910365
31, 157.899994, 1.306629, 0.234970, 4.477692, 9, 6, 1.219447, 0.197870, 65.339376
32, 113.500000, 0.939217, 0.168899, 3.222530, 9, 6, 0.876550, 0.142231, 58.588299
33, 74.199997, 0.614008, 0.110417, 2.119800, 9, 6, 0.573040, 0.092982, 27.479367
34, 72.199997, 0.597458, 0.107440, 2.062662, 9, 6, 0.557594, 0.090476, 26.738683
35, 6.600000, 0.054615, 0.009821, 0.189102, 9, 6, 0.050971, 0.008271, 2.371302
36, 15.900000, 0.131573, 0.023661, 0.455565, 9, 6, 0.122794, 0.019925, 5.712683
37, 16.100000, 0.133228, 0.023958, 0.461295, 9, 6, 0.124339, 0.020175, 5.784540
38, 10.300000, 0.085233, 0.015327, 0.295114, 9, 6, 0.079546, 0.012907, 3.700669
39, 10.600000, 0.087715, 0.015774, 0.303710, 9, 6, 0.081863, 0.013283, 3.808455
40, 13.600000, 0.112541, 0.020238, 0.389665, 9, 6, 0.105032, 0.017043, 4.886320
41, 517.799988, 4.284817, 0.770536, 14.763636, 9, 6, 3.998920, 0.648872, 251.643804
42, 447.700012, 3.704737, 0.666220, 12.764929, 9, 6, 3.457545, 0.561028, 217.576162
43, 112.500000, 0.930942, 0.167411, 3.194137, 9, 6, 0.868827, 0.140977, 58.072102
44, 532.099976, 4.403150, 0.791815, 15.171361, 9, 6, 4.109358, 0.666792, 258.593405
45, 56.700001, 0.469195, 0.084375, 1.619847, 9, 6, 0.437889, 0.071053, 20.998385
46, 57.000000, 0.471677, 0.084821, 1.628418, 9, 6, 0.440206, 0.071429, 21.109488
47, 57.599998, 0.476642, 0.085714, 1.645559, 9, 6, 0.444839, 0.072180, 21.331692
48, 117.699997, 0.973973, 0.175149, 3.341777, 9, 6, 0.908986, 0.147494, 60.756322
49, 136.800003, 1.132026, 0.203571, 3.884071, 9, 6, 1.056494, 0.171429, 70.615678
50, 149.000000, 1.232981, 0.221726, 4.230458, 9, 6, 1.150713, 0.186717, 76.913273
51, 112.199997, 0.928460, 0.166964, 3.185620, 9, 6, 0.866510, 0.140601, 57.917242
52, 1.700000, 0.014068, 0.002530, 0.048267, 9, 6, 0.013129, 0.002130, 0.877534
53, 86.500000, 0.715791, 0.128720, 2.455937, 9, 6, 0.668031, 0.108396, 44.650994
54, 89.000000, 0.736479, 0.132440, 2.526918, 9, 6, 0.687339, 0.111529, 45.941485
55, 26.500000, 0.219289, 0.039435, 0.759274, 9, 6, 0.204657, 0.033208, 9.521138
56, 8.600000, 0.071165, 0.012798, 0.246406, 9, 6, 0.066417, 0.010777, 3.089879
57, 4.000000, 0.033100, 0.005952, 0.114607, 9, 6, 0.030892, 0.005013, 1.437153
58, 160.000000, 1.324007, 0.238095, 4.537243, 9, 6, 1.235665, 0.200501, 66.208363
59, 7.500000, 0.062063, 0.011161, 0.214889, 9, 6, 0.057922, 0.009398, 2.694662
60, 6.500000, 0.053788, 0.009673, 0.186237, 9, 6, 0.050199, 0.008145, 2.335373
61, 6.300000, 0.052133, 0.009375, 0.180507, 9, 6, 0.048654, 0.007895, 2.263516
62, 154.600006, 1.279322, 0.230060, 4.384111, 9, 6, 1.193961, 0.193734, 63.973833
63, 74.099998, 0.613181, 0.110268, 2.116943, 9, 6, 0.572267, 0.092857, 27.442333
64, 2.200000, 0.018205, 0.003274, 0.062851, 9, 6, 0.016990, 0.002757, 0.814752
65, 152.899994, 1.265254, 0.227530, 4.335903, 9, 6, 1.180832, 0.191604, 63.270364
66, 72.300003, 0.598286, 0.107589, 2.065519, 9, 6, 0.558366, 0.090602, 26.775720
67, 190.000000, 1.572258, 0.282738, 5.387976, 9, 6, 1.467352, 0.238095, 78.622431
68, 123.199997, 1.019485, 0.183333, 3.497935, 9, 6, 0.951462, 0.154386, 63.595403
69, 214.699997, 1.776652, 0.319494, 6.088413, 9, 6, 1.658108, 0.269048, 88.843346
70, 13.100000, 0.108403, 0.019494, 0.375339, 9, 6, 0.101170, 0.016416, 4.706676
71, 2.000000, 0.016550, 0.002976, 0.057304, 9, 6, 0.015446, 0.002506, 0.718576
72, 186.000000, 1.539158, 0.276786, 5.274545, 9, 6, 1.436460, 0.233083, 76.967222
73, 119.900002, 0.992178, 0.178423, 3.404241, 9, 6, 0.925976, 0.150251, 61.891957
74, 123.300003, 1.020313, 0.183482, 3.500775, 9, 6, 0.952234, 0.154511, 63.647026
75, 51.200001, 0.423682, 0.076190, 1.462719, 9, 6, 0.395413, 0.064160, 18.961505
76, 73.099998, 0.604906, 0.108780, 2.088374, 9, 6, 0.564544, 0.091604, 27.071991
77, 7.600000, 0.062890, 0.011310, 0.217754, 9, 6, 0.058694, 0.009524, 2.730590
78, 63.900002, 0.528775, 0.095089, 1.825542, 9, 6, 0.493494, 0.080075, 23.664847
79, 1.800000, 0.014895, 0.002679, 0.051424, 9, 6, 0.013901, 0.002256, 0.666615
80, 85.300003, 0.705861, 0.126935, 2.421866, 9, 6, 0.658764, 0.106892, 44.031560
81, 118.500000, 0.980593, 0.176339, 3.364491, 9, 6, 0.915164, 0.148496, 61.169281
82, 164.399994, 1.360417, 0.244643, 4.662017, 9, 6, 1.269646, 0.206015, 68.029090
83, 2.300000, 0.019033, 0.003423, 0.065223, 9, 6, 0.017763, 0.002882, 0.951745
84, 160.300003, 1.326489, 0.238542, 4.545751, 9, 6, 1.237982, 0.200877, 66.332505
85, 71.000000, 0.587528, 0.105655, 2.028380, 9, 6, 0.548326, 0.088972, 26.294274
86, 191.399994, 1.583843, 0.284821, 5.427677, 9, 6, 1.478164, 0.239850, 79.201752
87, 124.199997, 1.027760, 0.184821, 3.526328, 9, 6, 0.959185, 0.155639, 64.111599
88, 214.600006, 1.775824, 0.319345, 6.085578, 9, 6, 1.657336, 0.268922, 88.801969
89, 122.099998, 1.010383, 0.181696, 3.466704, 9, 6, 0.942967, 0.153008, 63.027587
90, 2.100000, 0.017378, 0.003125, 0.059624, 9, 6, 0.016218, 0.002632, 1.084013
91, 193.399994, 1.600393, 0.287798, 5.484392, 9, 6, 1.493610, 0.242356, 80.029356
92, 121.599998, 1.006245, 0.180952, 3.452508, 9, 6, 0.939105, 0.152381, 62.769489
93, 199.199997, 1.648389, 0.296429, 5.648868, 9, 6, 1.538403, 0.249624, 82.429411
94, 70.199997, 0.580908, 0.104464, 2.005525, 9, 6, 0.542148, 0.087970, 25.997999
95, 51.400002, 0.425337, 0.076488, 1.468433, 9, 6, 0.396957, 0.064411, 19.035574
96, 62.700001, 0.518845, 0.093304, 1.791259, 9, 6, 0.484226, 0.078571, 23.220437
97, 135.899994, 1.124578, 0.202232, 3.858518, 9, 6, 1.049543, 0.170301, 70.151096
98, 73.099998, 0.604906, 0.108780, 2.088374, 9, 6, 0.564544, 0.091604, 27.071991
99, 161.300003, 1.334765, 0.240030, 4.574108, 9, 6, 1.245705, 0.202130, 66.746307
100, 73.699997, 0.609871, 0.109673, 2.105515, 9, 6, 0.569178, 0.092356, 27.294196
101, 188.300003, 1.558191, 0.280208, 5.339768, 9, 6, 1.454223, 0.235965, 77.918968
102, 2.200000, 0.018205, 0.003274, 0.062387, 9, 6, 0.016990, 0.002757, 0.910365
103, 155.699997, 1.288424, 0.231696, 4.415305, 9, 6, 1.202456, 0.195113, 64.429012
104, 121.099998, 1.002108, 0.180208, 3.438311, 9, 6, 0.935244, 0.151754, 62.511391
105, 187.199997, 1.549088, 0.278571, 5.308574, 9, 6, 1.445728, 0.234586, 77.463783
106, 213.899994, 1.770032, 0.318304, 6.065727, 9, 6, 1.651929, 0.268045, 88.512303
107, 52.099998, 0.431130, 0.077530, 1.488431, 9, 6, 0.402363, 0.065288, 19.294812
108, 131.199997, 1.085686, 0.195238, 3.725074, 9, 6, 1.013245, 0.164411, 67.724974
109, 2.100000, 0.017378, 0.003125, 0.059624, 9, 6, 0.016218, 0.002632, 1.084013
110, 191.500000, 1.584671, 0.284970, 5.430513, 9, 6, 1.478936, 0.239975, 79.243134
111, 121.000000, 1.001280, 0.180060, 3.435472, 9, 6, 0.934472, 0.151629, 62.459772
112, 49.400002, 0.408787, 0.073512, 1.411295, 9, 6, 0.381512, 0.061905, 18.294890
113, 137.300003, 1.136163, 0.204315, 3.898267, 9, 6, 1.060355, 0.172055, 70.873776
114, 72.300003, 0.598286, 0.107589, 2.065519, 9, 6, 0.558366, 0.090602, 26.775720
115, 73.800003, 0.610698, 0.109821, 2.108372, 9, 6, 0.569950, 0.092481, 27.331232
116, 32.299999, 0.267284, 0.048065, 0.922770, 9, 6, 0.249450, 0.040476, 11.962043
117, 17.200001, 0.142331, 0.025595, 0.492812, 9, 6, 0.132834, 0.021554, 6.179758
118, 266.700012, 2.206954, 0.396875, 7.563018, 9, 6, 2.059699, 0.334211, 110.361070
119, 243.300003, 2.013318, 0.362054, 6.899445, 9, 6, 1.878983, 0.304887, 100.678093
