ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,1.284453,0.234416,4.297335,9,7,1.231196,0.230230,12.256958
1,124.099998,0.883106,0.161169,2.956962,9,7,0.846490,0.158291,8.211153
2,10.300000,0.073296,0.013377,0.248750,9,7,0.070257,0.013138,0.687395
3,7.000000,0.049813,0.009091,0.169053,9,7,0.047747,0.008929,0.467161
4,3.400000,0.024195,0.004416,0.082112,9,7,0.023192,0.004337,0.226907
5,1.900000,0.013521,0.002468,0.045886,9,7,0.012960,0.002423,0.126801
6,4.100000,0.029176,0.005325,0.099017,9,7,0.027966,0.005230,0.273623
7,2.900000,0.020637,0.003766,0.070036,9,7,0.019781,0.003699,0.193538
8,3.700000,0.026330,0.004805,0.089357,9,7,0.025238,0.004719,0.246928
9,191.800003,1.364865,0.249091,4.566365,9,7,1.308274,0.244643,13.024291
10,158.300003,1.126476,0.205584,3.768799,9,7,1.079769,0.201913,10.749454
11,2.200000,0.015655,0.002857,0.052377,9,7,0.015006,0.002806,0.149392
12,165.899994,1.180559,0.215455,3.949739,9,7,1.131609,0.211607,11.265536
13,192.600006,1.370558,0.250130,4.585412,9,7,1.313730,0.245663,13.078616
14,856.099976,6.092081,1.111818,20.518427,9,7,5.839483,1.091964,56.712466
15,71.400002,0.508089,0.092727,1.722408,9,7,0.487022,0.091071,4.889547
16,65.300003,0.464680,0.084805,1.575256,9,7,0.445413,0.083291,4.471813
17,56.099998,0.399212,0.072857,1.353321,9,7,0.382660,0.071556,3.841787
18,107.400002,0.764268,0.139481,2.559047,9,7,0.732579,0.136990,7.106188
19,115.500000,0.821908,0.150000,2.752047,9,7,0.787829,0.147321,7.642129
20,123.300003,0.877413,0.160130,2.937900,9,7,0.841033,0.157270,8.158221
21,9.400000,0.066891,0.012208,0.227014,9,7,0.064118,0.011990,0.627331
22,92.199997,0.656103,0.119740,2.196872,9,7,0.628899,0.117602,6.100470
23,124.000000,0.882395,0.161039,2.954579,9,7,0.845808,0.158163,8.204537
24,203.500000,1.448123,0.264286,4.844918,9,7,1.388080,0.259566,13.818786
25,110.900002,0.789174,0.144026,2.642442,9,7,0.756452,0.141454,7.337767
26,124.599998,0.886664,0.161818,2.968875,9,7,0.849900,0.158929,8.244236
27,187.199997,1.332131,0.243117,4.456848,9,7,1.276897,0.238776,12.711925
28,75.099998,0.534418,0.097532,1.811665,9,7,0.512259,0.095791,5.142927
29,153.399994,1.091607,0.199221,3.652140,9,7,1.046346,0.195663,10.416716
30,2.200000,0.015655,0.002857,0.052377,9,7,0.015006,0.002806,0.149392
31,157.899994,1.123630,0.205065,3.759275,9,7,1.077041,0.201403,10.722291
32,113.500000,0.807676,0.147403,2.704393,9,7,0.774187,0.144770,7.509798
33,74.199997,0.528014,0.096364,1.789954,9,7,0.506120,0.094643,5.081294
34,72.199997,0.513781,0.093766,1.741707,9,7,0.492478,0.092092,4.944331
35,6.600000,0.046966,0.008571,0.159393,9,7,0.045019,0.008418,0.440466
36,15.900000,0.113146,0.020649,0.383992,9,7,0.108454,0.020281,1.061124
