ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,1.444021,0.537202,4.227258,3,2,1.418623,0.530882,8.148036
1,124.099998,0.992814,0.369345,2.877612,3,2,0.975352,0.365000,5.429096
2,10.300000,0.082401,0.030655,0.241853,3,2,0.080952,0.030294,0.454411
3,7.000000,0.056001,0.020833,0.164366,3,2,0.055016,0.020588,0.308823
4,3.400000,0.027200,0.010119,0.079835,3,2,0.026722,0.010000,0.150000
5,1.900000,0.015200,0.005655,0.044614,3,2,0.014933,0.005588,0.083823
6,4.100000,0.032800,0.012202,0.096272,3,2,0.032224,0.012059,0.180882
7,2.900000,0.023200,0.008631,0.068095,3,2,0.022792,0.008529,0.127941
8,3.700000,0.029600,0.011012,0.086879,3,2,0.029080,0.010882,0.163235
9,191.800003,1.534422,0.570833,4.491900,3,2,1.507434,0.564118,8.658135
10,158.300003,1.266418,0.471131,3.707340,3,2,1.244144,0.465588,7.145895
11,2.200000,0.017600,0.006548,0.051523,3,2,0.017291,0.006471,0.099311
12,165.899994,1.327219,0.493750,3.885330,3,2,1.303875,0.487941,7.488970
13,192.600006,1.540822,0.573214,4.510636,3,2,1.513722,0.566471,8.694248
14,856.099976,6.848897,2.547917,20.147176,3,2,6.728438,2.517941,36.251584
15,71.400002,0.571208,0.212500,1.686270,3,2,0.561162,0.210000,3.221142
16,65.300003,0.522407,0.194345,1.542205,3,2,0.513219,0.192059,2.945947
17,56.099998,0.448806,0.166964,1.324926,3,2,0.440913,0.165000,2.530897
18,107.400002,0.859212,0.319643,2.490375,3,2,0.844100,0.315882,4.698509
19,115.500000,0.924013,0.343750,2.678196,3,2,0.907761,0.339706,5.052866
20,123.300003,0.986414,0.366964,2.859061,3,2,0.969065,0.362647,5.394098
21,9.400000,0.075201,0.027976,0.220720,3,2,0.073878,0.027647,0.414705
22,92.199997,0.737610,0.274405,2.137919,3,2,0.724637,0.271176,4.033543
23,124.000000,0.992014,0.369048,2.875293,3,2,0.974566,0.364706,5.424722
24,203.500000,1.628023,0.605655,4.765911,3,2,1.599389,0.598529,9.186290
25,110.900002,0.887213,0.330060,2.571532,3,2,0.871608,0.326176,4.851626
26,124.599998,0.996814,0.370833,2.889206,3,2,0.979282,0.366471,5.450970
27,187.199997,1.497621,0.557143,4.384170,3,2,1.471281,0.550588,8.450484
28,75.099998,0.600809,0.223512,1.773653,3,2,0.590241,0.220882,3.388064
29,153.399994,1.227217,0.456548,3.592583,3,2,1.205633,0.451176,6.924702
30,2.200000,0.017600,0.006548,0.051523,3,2,0.017291,0.006471,0.099311
31,157.899994,1.263218,0.469940,3.697972,3,2,1.241000,0.464412,7.127838
32,113.500000,0.908013,0.337798,2.631821,3,2,0.892043,0.333824,4.965370
33,74.199997,0.593608,0.220833,1.752398,3,2,0.583168,0.218235,3.347461
34,72.199997,0.577608,0.214881,1.705163,3,2,0.567449,0.212353,3.257233
35,6.600000,0.052801,0.019643,0.154974,3,2,0.051872,0.019412,0.291176
36,15.900000,0.127202,0.047321,0.373346,3,2,0.124965,0.046765,0.701469
37,16.100000,0.128802,0.047917,0.378042,3,2,0.126536,0.047353,0.710292
38,10.300000,0.082401,0.030655,0.241853,3,2,0.080952,0.030294,0.454411
