ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,1.724089,0.537202,4.923306,4,2,1.610182,0.530882,8.147207
1,124.099998,1.185371,0.369345,3.362942,4,2,1.107056,0.365000,5.437568
2,10.300000,0.098383,0.030655,0.281640,4,2,0.091883,0.030294,0.455027
3,7.000000,0.066862,0.020833,0.191406,4,2,0.062445,0.020588,0.309242
4,3.400000,0.032476,0.010119,0.092968,4,2,0.030330,0.010000,0.150203
5,1.900000,0.018148,0.005655,0.051953,4,2,0.016949,0.005588,0.083937
6,4.100000,0.039162,0.012202,0.112109,4,2,0.036575,0.012059,0.181127
7,2.900000,0.027700,0.008631,0.079297,4,2,0.025870,0.008529,0.128114
8,3.700000,0.035341,0.011012,0.101172,4,2,0.033007,0.010882,0.163456
9,191.800003,1.832024,0.570833,5.231524,4,2,1.710986,0.564118,8.657254
10,158.300003,1.512041,0.471131,4.317780,4,2,1.412143,0.465588,7.145168
11,2.200000,0.021014,0.006548,0.060007,4,2,0.019625,0.006471,0.099301
12,165.899994,1.584634,0.493750,4.525077,4,2,1.479940,0.487941,7.488208
13,192.600006,1.839665,0.573214,5.253345,4,2,1.718123,0.566471,8.693363
14,856.099976,8.177245,2.547917,23.451467,4,2,7.636993,2.517941,36.207793
15,71.400002,0.681994,0.212500,1.956792,4,2,0.636936,0.210000,3.224577
16,65.300003,0.623729,0.194345,1.789615,4,2,0.582520,0.192059,2.949088
17,56.099998,0.535853,0.166964,1.537479,4,2,0.500450,0.165000,2.533596
18,107.400002,1.025857,0.319643,2.910395,4,2,0.958081,0.315882,4.705841
19,115.500000,1.103226,0.343750,3.129894,4,2,1.030338,0.339706,5.060751
20,123.300003,1.177730,0.366964,3.341263,4,2,1.099920,0.362647,5.402516
21,9.400000,0.089786,0.027976,0.257030,4,2,0.083854,0.027647,0.415267
22,92.199997,0.880670,0.274405,2.498495,4,2,0.822487,0.271176,4.039837
23,124.000000,1.184416,0.369048,3.360232,4,2,1.106164,0.364706,5.433187
24,203.500000,1.943779,0.605655,5.550652,4,2,1.815358,0.598529,9.185355
25,110.900002,1.059288,0.330060,3.005240,4,2,0.989303,0.326176,4.859197
26,124.599998,1.190147,0.370833,3.376492,4,2,1.111517,0.366471,5.459476
27,187.199997,1.788086,0.557143,5.106054,4,2,1.669951,0.550588,8.449624
28,75.099998,0.717336,0.223512,2.058194,4,2,0.669943,0.220882,3.391677
29,153.399994,1.465237,0.456548,4.184128,4,2,1.368432,0.451176,6.923997
30,2.200000,0.021014,0.006548,0.060007,4,2,0.019625,0.006471,0.099301
31,157.899994,1.508220,0.469940,4.306869,4,2,1.408575,0.464412,7.127113
32,113.500000,1.084123,0.337798,3.075697,4,2,1.012497,0.333824,4.973119
33,74.199997,0.708739,0.220833,2.033529,4,2,0.661914,0.218235,3.351031
34,72.199997,0.689636,0.214881,1.978717,4,2,0.644073,0.212353,3.260707
35,6.600000,0.063041,0.019643,0.180468,4,2,0.058876,0.019412,0.291571
36,15.900000,0.151873,0.047321,0.434764,4,2,0.141839,0.046765,0.702420
37,16.100000,0.153783,0.047917,0.440233,4,2,0.143623,0.047353,0.711256
38,10.300000,0.098383,0.030655,0.281640,4,2,0.091883,0.030294,0.455027
39,10.600000,0.101248,0.031548,0.289843,4,2,0.094559,0.031176,0.468280
40,13.600000,0.129904,0.040476,0.371874,4,2,0.121321,0.040000,0.600812
41,517.799988,4.945891,1.541071,14.184289,4,2,4.619127,1.522941,21.899773
42,447.700012,4.276314,1.332441,12.264014,4,2,3.993788,1.316765,18.934973
43,112.500000,1.074571,0.334821,3.048598,4,2,1.003576,0.330882,4.929303
44,532.099976,5.082481,1.583631,14.576014,4,2,4.746693,1.565000,22.504575
45,56.700001,0.541584,0.168750,1.553923,4,2,0.505802,0.166765,2.560694
46,57.000000,0.544449,0.169643,1.562145,4,2,0.508479,0.167647,2.574242
47,57.599998,0.550180,0.171429,1.578589,4,2,0.513831,0.169412,2.601339
48,117.699997,1.124240,0.350298,3.189511,4,2,1.049964,0.346176,5.157146
49,136.800003,1.306678,0.407143,3.707095,4,2,1.220349,0.402353,5.994032
50,149.000000,1.423209,0.443452,4.037699,4,2,1.329181,0.438235,6.528587
51,112.199997,1.071705,0.333929,3.040468,4,2,1.000900,0.330000,4.916158
52,1.700000,0.016238,0.005060,0.046068,4,2,0.015165,0.005000,0.074487
53,86.500000,0.826226,0.257440,2.344033,4,2,0.771639,0.254412,3.790086
54,89.000000,0.850105,0.264881,2.411780,4,2,0.793940,0.261765,3.899626
55,26.500000,0.253121,0.078869,0.724607,4,2,0.236398,0.077941,1.170701
56,8.600000,0.082145,0.025595,0.235155,4,2,0.076718,0.025294,0.379925
57,4.000000,0.038207,0.011905,0.109375,4,2,0.035683,0.011765,0.176710
58,160.000000,1.528278,0.476190,4.364149,4,2,1.427309,0.470588,7.221901
59,7.500000,0.071638,0.022321,0.205077,4,2,0.066905,0.022059,0.331330
60,6.500000,0.062086,0.019345,0.177734,4,2,0.057984,0.019118,0.287153
61,6.300000,0.060176,0.018750,0.172265,4,2,0.056200,0.018529,0.278317
62,154.600006,1.476699,0.460119,4.216859,4,2,1.379137,0.454706,6.978162
63,74.099998,0.707784,0.220536,2.030788,4,2,0.661022,0.217941,3.346515
64,2.200000,0.021014,0.006548,0.060293,4,2,0.019625,0.006471,0.099357
65,152.899994,1.460461,0.455060,4.170490,4,2,1.363972,0.449706,6.901429
66,72.300003,0.690591,0.215179,1.981458,4,2,0.644965,0.212647,3.265223
67,190.000000,1.814831,0.565476,5.182427,4,2,1.694929,0.558824,8.576007
68,123.199997,1.176774,0.366667,3.338553,4,2,1.099028,0.362353,5.398134
69,214.699997,2.050759,0.638988,5.856142,4,2,1.915270,0.631471,9.690888
70,13.100000,0.125128,0.038988,0.358202,4,2,0.116861,0.038529,0.578724
71,2.000000,0.019103,0.005952,0.054687,4,2,0.017841,0.005882,0.088355
72,186.000000,1.776624,0.553571,5.073323,4,2,1.659246,0.547059,8.395460
73,119.900002,1.145254,0.356845,3.249128,4,2,1.069589,0.352647,5.253541
74,123.300003,1.177730,0.366964,3.341263,4,2,1.099920,0.362647,5.402516
75,51.200001,0.489049,0.152381,1.403190,4,2,0.456739,0.150588,2.312302
76,73.099998,0.698232,0.217560,2.003382,4,2,0.652102,0.215000,3.301353
77,7.600000,0.072593,0.022619,0.207812,4,2,0.067797,0.022353,0.335748
78,63.900002,0.610356,0.190179,1.751247,4,2,0.570031,0.187941,2.885861
79,1.800000,0.017193,0.005357,0.049331,4,2,0.016057,0.005294,0.081292
80,85.300003,0.814763,0.253869,2.311515,4,2,0.760934,0.250882,3.737507
81,118.500000,1.131881,0.352679,3.211190,4,2,1.057100,0.348529,5.192199
82,164.399994,1.570306,0.489286,4.484163,4,2,1.466559,0.483529,7.420503
83,2.300000,0.021969,0.006845,0.062735,4,2,0.020518,0.006765,0.103815
84,160.300003,1.531144,0.477083,4.372332,4,2,1.429985,0.471471,7.235442
