ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,3.290017,0.916244,5.744548,4,1,3.043404,0.893564,7.324427
1,124.099998,2.262001,0.629949,3.929469,4,1,2.092446,0.614356,4.891323
2,10.300000,0.187741,0.052284,0.328004,4,1,0.173668,0.050990,0.409170
3,7.000000,0.127591,0.035533,0.222915,4,1,0.118027,0.034653,0.278077
4,3.400000,0.061973,0.017259,0.108273,4,1,0.057327,0.016832,0.135066
5,1.900000,0.034632,0.009645,0.060506,4,1,0.032036,0.009406,0.075478
6,4.100000,0.074732,0.020812,0.130565,4,1,0.069130,0.020297,0.162873
7,2.900000,0.052859,0.014721,0.092351,4,1,0.048897,0.014356,0.115203
8,3.700000,0.067441,0.018782,0.117827,4,1,0.062386,0.018317,0.146983
9,191.800003,3.495985,0.973604,6.104179,4,1,3.233933,0.949505,7.782965
10,158.300003,2.885373,0.803553,5.038016,4,1,2.669091,0.783663,6.423584
11,2.200000,0.040100,0.011168,0.070017,4,1,0.037094,0.010891,0.089273
12,165.899994,3.023899,0.842132,5.279892,4,1,2.797234,0.821287,6.731980
13,192.600006,3.510567,0.977665,6.129640,4,1,3.247422,0.953465,7.815428
14,856.099976,15.604342,4.345685,27.342365,4,1,14.434671,4.238119,32.063069
15,71.400002,1.301425,0.362437,2.274191,4,1,1.203873,0.353465,2.895018
16,65.300003,1.190239,0.331472,2.079898,4,1,1.101021,0.323267,2.647685
17,56.099998,1.022548,0.284772,1.786865,4,1,0.945900,0.277723,2.274657
18,107.400002,1.957606,0.545178,3.400685,4,1,1.810868,0.531683,4.233104
19,115.500000,2.105246,0.586294,3.657161,4,1,1.947441,0.571782,4.552360
20,123.300003,2.247419,0.625888,3.904138,4,1,2.078957,0.610396,4.859792
21,9.400000,0.171336,0.047716,0.299344,4,1,0.158493,0.046535,0.373417
22,92.199997,1.680552,0.468020,2.919396,4,1,1.554581,0.456436,3.634005
23,124.000000,2.260178,0.629442,3.926303,4,1,2.090760,0.613861,4.887382
24,203.500000,3.709244,1.032995,6.476540,4,1,3.431206,1.007426,8.257734
25,110.900002,2.021401,0.562944,3.511508,4,1,1.869881,0.549010,4.371054
26,124.599998,2.271114,0.632487,3.945301,4,1,2.100876,0.616832,4.911031
27,187.199997,3.412140,0.950254,5.957780,4,1,3.156373,0.926733,7.596303
28,75.099998,1.368866,0.381218,2.392041,4,1,1.266258,0.371782,3.045040
29,153.399994,2.796059,0.778680,4.882070,4,1,2.586472,0.759406,6.224748
30,2.200000,0.040100,0.011168,0.070017,4,1,0.037094,0.010891,0.089273
31,157.899994,2.878081,0.801523,5.025286,4,1,2.662346,0.781683,6.407352
