ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,1.293813,0.237500,4.672918,6,4,1.220809,0.238757,9.791107
1,124.099998,0.889541,0.163289,3.200550,6,4,0.839348,0.164153,6.547002
2,10.300000,0.073830,0.013553,0.268484,6,4,0.069664,0.013624,0.547974
3,7.000000,0.050176,0.009211,0.182465,6,4,0.047344,0.009259,0.372410
4,3.400000,0.024371,0.004474,0.088626,6,4,0.022996,0.004497,0.180885
5,1.900000,0.013619,0.002500,0.049526,6,4,0.012851,0.002513,0.101083
6,4.100000,0.029389,0.005395,0.106872,6,4,0.027730,0.005423,0.218126
7,2.900000,0.020787,0.003816,0.075592,6,4,0.019614,0.003836,0.154284
8,3.700000,0.026521,0.004868,0.096446,6,4,0.025025,0.004894,0.196845
9,191.800003,1.374810,0.252368,4.965460,6,4,1.297236,0.253704,10.404069
10,158.300003,1.134684,0.208289,4.098188,6,4,1.070659,0.209392,8.586883
11,2.200000,0.015769,0.002895,0.056955,6,4,0.014880,0.002910,0.119338
12,165.899994,1.189161,0.218289,4.294942,6,4,1.122062,0.219444,8.999139
13,192.600006,1.380545,0.253421,4.986171,6,4,1.302647,0.254762,10.447464
14,856.099976,6.136471,1.126447,22.278251,6,4,5.790217,1.132407,44.409662
15,71.400002,0.511791,0.093947,1.863039,6,4,0.482913,0.094444,3.890565
16,65.300003,0.468066,0.085921,1.703872,6,4,0.441655,0.086376,3.558178
17,56.099998,0.402121,0.073816,1.463816,6,4,0.379431,0.074206,3.056872
18,107.400002,0.769836,0.141316,2.769856,6,4,0.726398,0.142063,5.665980
19,115.500000,0.827897,0.151974,2.978755,6,4,0.781182,0.152778,6.093302
20,123.300003,0.883807,0.162237,3.179918,6,4,0.833937,0.163095,6.504798
21,9.400000,0.067379,0.012368,0.245024,6,4,0.063577,0.012434,0.500093
22,92.199997,0.660884,0.121316,2.377846,6,4,0.623593,0.121958,4.864090
23,124.000000,0.888824,0.163158,3.197971,6,4,0.838672,0.164021,6.541727
24,203.500000,1.458675,0.267763,5.268359,6,4,1.376369,0.269180,11.038728
25,110.900002,0.794924,0.145921,2.860121,6,4,0.750070,0.146693,5.850625
26,124.599998,0.893125,0.163947,3.213445,6,4,0.842730,0.164815,6.573380
27,187.199997,1.341838,0.246316,4.846372,6,4,1.266124,0.247619,10.154544
28,75.099998,0.538312,0.098816,1.959583,6,4,0.507938,0.099339,4.092177
29,153.399994,1.099561,0.201842,3.971333,6,4,1.037518,0.202910,8.321085
30,2.200000,0.015769,0.002895,0.056955,6,4,0.014880,0.002910,0.119338
31,157.899994,1.131817,0.207763,4.087832,6,4,1.067954,0.208862,8.565184
32,113.500000,0.813561,0.149342,2.927175,6,4,0.767655,0.150132,5.987790
33,74.199997,0.531861,0.097632,1.936099,6,4,0.501850,0.098148,4.043136
34,72.199997,0.517525,0.095000,1.883913,6,4,0.488323,0.095503,3.934157
35,6.600000,0.047308,0.008684,0.172038,6,4,0.044639,0.008730,0.351129
36,15.900000,0.113970,0.020921,0.414455,6,4,0.107539,0.021032,0.845902
37,16.100000,0.115404,0.021184,0.419669,6,4,0.108892,0.021296,0.856542
38,10.300000,0.073830,0.013553,0.268484,6,4,0.069664,0.013624,0.547974
39,10.600000,0.075980,0.013947,0.276304,6,4,0.071693,0.014021,0.563934
40,13.600000,0.097484,0.017895,0.354503,6,4,0.091983,0.017989,0.723539
41,517.799988,3.711558,0.681316,13.474686,6,4,3.502131,0.684921,26.860557
42,447.700012,3.209085,0.589079,11.650477,6,4,3.028011,0.592196,23.224164
43,112.500000,0.806393,0.148026,2.901385,6,4,0.760892,0.148810,5.935034
44,532.099976,3.814059,0.700132,13.846814,6,4,3.598849,0.703836,27.602361
45,56.700001,0.406422,0.074605,1.479472,6,4,0.383489,0.075000,3.089566
