ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,2.373774,0.867788,5.048500,3,1,2.158600,0.893564,7.325256
1,124.099998,1.632052,0.596635,3.444138,3,1,1.484112,0.614356,4.882851
2,10.300000,0.135456,0.049519,0.288218,3,1,0.123178,0.050990,0.408553
3,7.000000,0.092058,0.033654,0.195876,3,1,0.083713,0.034653,0.277658
4,3.400000,0.044714,0.016346,0.095140,3,1,0.040661,0.016832,0.134862
5,1.900000,0.024987,0.009135,0.053166,3,1,0.022722,0.009406,0.075364
6,4.100000,0.053920,0.019712,0.114727,3,1,0.049032,0.020297,0.162628
7,2.900000,0.038138,0.013942,0.081149,3,1,0.034681,0.014356,0.115030
8,3.700000,0.048659,0.017788,0.103534,3,1,0.044248,0.018317,0.146762
9,191.800003,2.522381,0.922115,5.364556,3,1,2.293737,0.949505,7.783846
10,158.300003,2.081819,0.761058,4.427576,3,1,1.893110,0.783663,6.424311
11,2.200000,0.028932,0.010577,0.061533,3,1,0.026310,0.010891,0.089283
12,165.899994,2.181767,0.797596,4.640145,3,1,1.983999,0.821287,6.732742
13,192.600006,2.532902,0.925962,5.386931,3,1,2.303304,0.953465,7.816313
14,856.099976,11.258657,4.115865,24.038074,3,1,10.238103,4.238119,32.106859
15,71.400002,0.938989,0.343269,2.003669,3,1,0.853873,0.353465,2.891583
16,65.300003,0.858767,0.313942,1.832487,3,1,0.780923,0.323267,2.644543
17,56.099998,0.737777,0.269712,1.574311,3,1,0.670900,0.277723,2.271958
18,107.400002,1.412428,0.516346,2.980665,3,1,1.284397,0.531683,4.225772
19,115.500000,1.518952,0.555288,3.205463,3,1,1.381265,0.571782,4.544475
20,123.300003,1.621531,0.592788,3.421936,3,1,1.474545,0.610396,4.851375
21,9.400000,0.123620,0.045192,0.263034,3,1,0.112415,0.046535,0.372855
22,92.199997,1.212531,0.443269,2.558820,3,1,1.102620,0.456436,3.627711
23,124.000000,1.630736,0.596154,3.441363,3,1,1.482916,0.613861,4.878917
24,203.500000,2.676249,0.978365,5.691799,3,1,2.433657,1.007426,8.258669
25,110.900002,1.458457,0.533173,3.077800,3,1,1.326254,0.549010,4.363483
26,124.599998,1.638627,0.599038,3.458015,3,1,1.490092,0.616832,4.902524
27,187.199997,2.461886,0.900000,5.235896,3,1,2.238725,0.926733,7.597163
28,75.099998,0.987648,0.361058,2.107500,3,1,0.898121,0.371782,3.041427
29,153.399994,2.017379,0.737500,4.290525,3,1,1.834511,0.759406,6.225453
30,2.200000,0.028932,0.010577,0.061533,3,1,0.026310,0.010891,0.089283
31,157.899994,2.076559,0.759135,4.416388,3,1,1.888327,0.781683,6.408077
32,113.500000,1.492650,0.545673,3.149957,3,1,1.357347,0.561881,4.465783
33,74.199997,0.975812,0.356731,2.082244,3,1,0.887358,0.367327,3.004978
34,72.199997,0.949509,0.347115,2.026119,3,1,0.863440,0.357426,2.923982
35,6.600000,0.086797,0.031731,0.184683,3,1,0.078929,0.032673,0.261792
36,15.900000,0.209102,0.076442,0.444918,3,1,0.190148,0.078713,0.630680
37,16.100000,0.211733,0.077404,0.450515,3,1,0.192540,0.079703,0.638613
38,10.300000,0.135456,0.049519,0.288218,3,1,0.123178,0.050990,0.408553
39,10.600000,0.139402,0.050962,0.296612,3,1,0.126765,0.052475,0.420453
40,13.600000,0.178855,0.065385,0.380559,3,1,0.162642,0.067327,0.539449
41,517.799988,6.809640,2.489423,14.539090,3,1,6.192372,2.563366,19.419381
42,447.700012,5.887748,2.152404,12.570782,3,1,5.354046,2.216337,16.790377
43,112.500000,1.479499,0.540865,3.122204,3,1,1.345388,0.556931,4.426437
44,532.099976,6.997700,2.558173,14.940613,3,1,6.363386,2.634158,19.955682
45,56.700001,0.745667,0.272596,1.591149,3,1,0.678076,0.280693,2.296257
46,57.000000,0.749613,0.274038,1.599568,3,1,0.681663,0.282178,2.308407
47,57.599998,0.757503,0.276923,1.616405,3,1,0.688839,0.285149,2.332706
48,117.699997,1.547884,0.565865,3.266520,3,1,1.407575,0.582673,4.631036
49,136.800003,1.799071,0.657692,3.796601,3,1,1.635992,0.677228,5.382547
50,149.000000,1.959514,0.716346,4.135186,3,1,1.781892,0.737624,5.862569
51,112.199997,1.475553,0.539423,3.113878,3,1,1.341800,0.555446,4.414633
52,1.700000,0.022357,0.008173,0.047180,3,1,0.020330,0.008416,0.066888
53,86.500000,1.137570,0.415865,2.400628,3,1,1.034454,0.428218,3.403438
54,89.000000,1.170448,0.427885,2.470011,3,1,1.064351,0.440594,3.501803
55,26.500000,0.348504,0.127404,0.741531,3,1,0.316914,0.131188,1.051133
56,8.600000,0.113099,0.041346,0.240648,3,1,0.102847,0.042574,0.341122
57,4.000000,0.052604,0.019231,0.111929,3,1,0.047836,0.019802,0.158662
58,160.000000,2.104176,0.769231,4.475124,3,1,1.913441,0.792079,6.493302
59,7.500000,0.098633,0.036058,0.209867,3,1,0.089693,0.037129,0.297490
60,6.500000,0.085482,0.031250,0.181885,3,1,0.077734,0.032178,0.257825
61,6.300000,0.082852,0.030288,0.176288,3,1,0.075342,0.031188,0.249892
62,154.600006,2.033160,0.743269,4.324089,3,1,1.848862,0.765347,6.274153
63,74.099998,0.974497,0.356250,2.079438,3,1,0.886162,0.366832,3.000929
64,2.200000,0.028932,0.010577,0.061738,3,1,0.026310,0.010891,0.089096
65,152.899994,2.010803,0.735096,4.276541,3,1,1.828532,0.756931,6.205162
66,72.300003,0.950825,0.347596,2.028925,3,1,0.864636,0.357921,2.928032
67,190.000000,2.498709,0.913462,5.314210,3,1,2.272211,0.940594,7.710796
68,123.199997,1.620216,0.592308,3.419161,3,1,1.473349,0.609901,4.847440
69,214.699997,2.823541,1.032212,6.005058,3,1,2.567598,1.062871,8.713200
70,13.100000,0.172279,0.062981,0.366568,3,1,0.156663,0.064851,0.519617
71,2.000000,0.026302,0.009615,0.055965,3,1,0.023918,0.009901,0.079331
72,186.000000,2.446105,0.894231,5.202332,3,1,2.224375,0.920792,7.548464
73,119.900002,1.576817,0.576442,3.327576,3,1,1.433885,0.593564,4.717598
74,123.300003,1.621531,0.592788,3.421936,3,1,1.474545,0.610396,4.851375
75,51.200001,0.673336,0.246154,1.436805,3,1,0.612301,0.253465,2.073516
76,73.099998,0.961345,0.351442,2.051375,3,1,0.874203,0.361881,2.960430
77,7.600000,0.099948,0.036538,0.212665,3,1,0.090888,0.037624,0.301457
78,63.900002,0.840355,0.307212,1.793200,3,1,0.764180,0.316337,2.587845
79,1.800000,0.023672,0.008654,0.050513,3,1,0.021526,0.008911,0.072897
80,85.300003,1.121789,0.410096,2.367325,3,1,1.020103,0.422277,3.356223
81,118.500000,1.558405,0.569712,3.288722,3,1,1.417142,0.586634,4.662513
82,164.399994,2.162041,0.790385,4.598190,3,1,1.966060,0.813861,6.671868
83,2.300000,0.030248,0.011058,0.064330,3,1,0.027506,0.011386,0.093341
84,160.300003,2.108121,0.770673,4.483515,3,1,1.917028,0.793564,6.505477
85,71.000000,0.933728,0.341346,1.992444,3,1,0.849089,0.351485,2.875384
86,191.399994,2.517120,0.920192,5.353367,3,1,2.288953,0.947525,7.767612
87,124.199997,1.633367,0.597115,3.446914,3,1,1.485308,0.614851,4.886786
88,214.600006,2.822226,1.031731,6.002261,3,1,2.566402,1.062376,8.709142
89,122.099998,1.605749,0.587019,3.388633,3,1,1.460194,0.604455,4.804159
90,2.100000,0.027617,0.010096,0.058281,3,1,0.025114,0.010396,0.082627
91,193.399994,2.543423,0.929808,5.409307,3,1,2.312871,0.957426,7.848779
92,121.599998,1.599174,0.584615,3.374756,3,1,1.454215,0.601980,4.784486
93,199.199997,2.619699,0.957692,5.571530,3,1,2.382234,0.986139,8.084161
94,70.199997,0.923207,0.337500,1.969994,3,1,0.839522,0.347525,2.842985
95,51.400002,0.675967,0.247115,1.442417,3,1,0.614693,0.254455,2.081616
96,62.700001,0.824574,0.301442,1.759524,3,1,0.749830,0.310396,2.539247
97,135.899994,1.787234,0.653365,3.771623,3,1,1.625229,0.672772,5.347135
98,73.099998,0.961345,0.351442,2.051375,3,1,0.874203,0.361881,2.960430
99,161.300003,2.121272,0.775481,4.511485,3,1,1.928987,0.798515,6.546060
100,73.699997,0.969236,0.354327,2.068213,3,1,0.881379,0.364851,2.984729
101,188.300003,2.476352,0.905288,5.266662,3,1,2.251880,0.932178,7.641805
102,2.200000,0.028932,0.010577,0.061533,3,1,0.026310,0.010891,0.089283
103,155.699997,2.047626,0.748558,4.354855,3,1,1.862017,0.770792,6.318795
104,121.099998,1.592598,0.582212,3.360880,3,1,1.448235,0.599505,4.764813
105,187.199997,2.461886,0.900000,5.235896,3,1,2.238725,0.926733,7.597163
106,213.899994,2.813020,1.028365,5.982682,3,1,2.558031,1.058911,8.680733
107,52.099998,0.685172,0.250481,1.462061,3,1,0.623064,0.257921,2.109965
108,131.199997,1.725424,0.630769,3.641184,3,1,1.569021,0.649505,5.162209
109,2.100000,0.027617,0.010096,0.058281,3,1,0.025114,0.010396,0.082627
110,191.500000,2.518436,0.920673,5.356165,3,1,2.290149,0.948020,7.771671
111,121.000000,1.591283,0.581731,3.358104,3,1,1.447039,0.599010,4.760878
112,49.400002,0.649664,0.237500,1.386292,3,1,0.590775,0.244554,2.000619
113,137.300003,1.805646,0.660096,3.810477,3,1,1.641971,0.679703,5.402220
