ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,180.500000,1.225044,0.183435,4.422529,10,7,1.517322,0.442402,8.147207
1,124.099998,0.842260,0.126118,3.038158,10,7,1.043211,0.304167,5.437568
2,10.300000,0.069906,0.010467,0.255328,10,7,0.086584,0.025245,0.455027
3,7.000000,0.047509,0.007114,0.173524,10,7,0.058844,0.017157,0.309242
4,3.400000,0.023076,0.003455,0.084283,10,7,0.028581,0.008333,0.150203
5,1.900000,0.012895,0.001931,0.047099,10,7,0.015972,0.004657,0.083937
6,4.100000,0.027826,0.004167,0.101635,10,7,0.034465,0.010049,0.181127
7,2.900000,0.019682,0.002947,0.071888,10,7,0.024378,0.007108,0.128114
8,3.700000,0.025112,0.003760,0.091720,10,7,0.031103,0.009069,0.163456
9,191.800003,1.301737,0.194919,4.699397,10,7,1.612312,0.470098,8.657254
10,158.300003,1.074374,0.160874,3.878595,10,7,1.330704,0.387990,7.145168
11,2.200000,0.014931,0.002236,0.053903,10,7,0.018494,0.005392,0.099301
12,165.899994,1.125955,0.168598,4.064807,10,7,1.394591,0.406618,7.488208
13,192.600006,1.307166,0.195732,4.718998,10,7,1.619037,0.472059,8.693363
14,856.099976,5.810306,0.870020,21.105035,10,7,7.196561,2.098284,36.207793
15,71.400002,0.484588,0.072561,1.769285,10,7,0.600204,0.175000,3.224577
16,65.300003,0.443188,0.066362,1.618128,10,7,0.548926,0.160049,2.949088
17,56.099998,0.380748,0.057012,1.390152,10,7,0.471589,0.137500,2.533596
18,107.400002,0.728918,0.109146,2.629316,10,7,0.902828,0.263235,4.705841
19,115.500000,0.783893,0.117378,2.827617,10,7,0.970918,0.283088,5.060751
20,123.300003,0.836831,0.125305,3.018573,10,7,1.036486,0.302206,5.402516
21,9.400000,0.063797,0.009553,0.233018,10,7,0.079018,0.023039,0.415267
22,92.199997,0.625757,0.093699,2.257197,10,7,0.775053,0.225980,4.039837
