Time, Size_stored
0, 0.000000
0, 180.500000
4, 304.599998
7, 314.899999
9, 321.899999
13, 325.299999
15, 327.199999
23, 331.299999
23, 334.199999
23, 337.899999
23, 529.700002
23, 688.000005
24, 690.200005
30, 856.099999
34, 1048.700005
38, 1904.799981
39, 1976.199982
39, 2041.499985
42, 2097.599984
53, 2204.999985
56, 2320.499985
61, 2443.799988
87, 2453.199988
323, 2545.399985
323, 2669.399985
323, 2872.899985
323, 2983.799986
323, 3108.399985
323, 3295.599982
323, 3370.699980
323, 3524.099974
324, 3526.299974
324, 3684.199968
324, 3797.699968
325, 3871.899965
623, 3944.099962
623, 3950.699962
623, 3966.599961
623, 3982.699962
623, 3992.999962
624, 4003.599962
686, 4017.199963
687, 4534.999951
688, 4982.699963
688, 5095.199963
689, 5627.299938
689, 5683.999939
690, 5740.999939
701, 5798.599938
702, 5916.299935
702, 6053.099938
702, 6202.099938
702, 6314.299935
703, 6315.999935
704, 6402.499935
885, 6491.499935
890, 6517.999935
900, 6526.599935
902, 6530.599935
905, 6690.599935
910, 6698.099935
913, 6704.599935
923, 6710.899935
923, 6865.499941
923, 6939.599940
923, 6941.799940
923, 7094.699934
923, 7166.999937
923, 7356.999937
923, 7480.199934
923, 7694.899931
923, 7707.999931
923, 7709.999931
923, 7895.999931
923, 8015.899933
924, 8139.199936
924, 8190.399936
924, 8263.499935
924, 8271.099935
1024, 8334.999936
1032, 8336.799936
1038, 8422.099939
1223, 8540.599939
1223, 8704.999933
1223, 8707.299933
1223, 8867.599936
1223, 8938.599936
1223, 9129.999930
1223, 9254.199927
1223, 9468.799933
1223, 9590.899932
1223, 9592.999931
1223, 9786.399925
1223, 9907.999924
1224, 10107.199921
1224, 10177.399918
1224, 10228.799919
1224, 10291.499920
1224, 10427.399914
1523, 10500.499912
1523, 10661.799915
1523, 10735.499912
1523, 10923.799915
1523, 10925.999915
1523, 11081.699912
1523, 11202.799911
1523, 11389.999908
1523, 11603.899902
1523, 11655.999900
1523, 11787.199897
1523, 11789.299897
1523, 11980.799897
1524, 12101.799897
1524, 12151.199899
1524, 12288.499902
1524, 12360.799905
1783, 12434.599908
1784, 12466.899907
1787, 12484.099908
1790, 12750.799920
1792, 12994.099923
1823, 13005.999923
1823, 13126.499923
1823, 13128.899923
1823, 13281.099920
1823, 13438.199926
1823, 13627.699926
1823, 13749.099927
1823, 13945.499921
1823, 13947.599921
1823, 14016.399924
1823, 14263.399924
1823, 14265.599924
1823, 14398.899927
1823, 14590.599924
1823, 14592.699924
1823, 14805.899921
1823, 14929.999920
1823, 15068.199916
1824, 15120.499916
1824, 15169.099914
1824, 15315.599914
1824, 15386.099914
2123, 15460.399917
2123, 15512.099918
2123, 15514.599918
2123, 15669.199924
2123, 15736.999927
2123, 15895.299930
2123, 16087.599933
2123, 16220.299930
2123, 16222.499930
2123, 16347.099929
2123, 16574.099929
2123, 16708.599929
2123, 16921.399932
2123, 17045.799933
2123, 17048.099933
2123, 17236.699939
2123, 17421.499942
2123, 17555.299945
2124, 17557.499946
2124, 17624.599944
2124, 17698.799941
2124, 17749.099940
2234, 17895.899943
2246, 17963.299945
2423, 18043.999942
2423, 18117.799945
2423, 18120.199945
2423, 18269.499948
2423, 18423.699945
2423, 18607.699945
2423, 18742.299951
2423, 18744.599951
2423, 18747.099951
2423, 18886.499945
2423, 19027.199942
2423, 19143.299940
2423, 19356.499937
2423, 19488.699934
2423, 19491.099934
2423, 19676.699940
2423, 19862.499943
2424, 20099.199940
2424, 20172.799939
2424, 20231.099938
2424, 20309.199937
2424, 20458.799943
2424, 20587.599946
2424, 20674.199944
2723, 20724.399945
2723, 20869.099942
2723, 20939.099942
2723, 21098.799939
2723, 21288.599942
2723, 21420.999936
2723, 21423.099936
2723, 21425.499936
2723, 21671.599942
2723, 21794.899945
2723, 21933.999951
2723, 22124.699948
2723, 22127.099948
2723, 22265.099948
2723, 22267.299948
2723, 22383.599951
2723, 22597.899954
2724, 22781.799948
2724, 22838.099947
2724, 22999.599947
2724, 23073.299944
2724, 23122.799944
2724, 23256.599947
2724, 23343.399950
3023, 23489.399950
3023, 23622.899950
3023, 23625.299950
3023, 23769.199944
3023, 23838.199944
3023, 23991.299950
3023, 24172.599954
3023, 24350.599954
3023, 24352.799954
3023, 24486.699947
3023, 24736.699947
3023, 24882.799954
3023, 25095.399960
3023, 25213.699963
3023, 25396.999966
3023, 25537.699963
3023, 25540.199963
3024, 25542.499963
3024, 25705.699960
3024, 25778.799958
3024, 25843.899957
3024, 25993.299950
3024, 26120.399949
3024, 26208.199952
3323, 26258.499951
3323, 26260.899951
3323, 26420.499957
3323, 26584.899951
3323, 26767.499957
3323, 26959.299960
3323, 27094.399967
3323, 27096.599967
3323, 27162.699965
3323, 27297.399962
3323, 27425.999968
3323, 27638.799971
3323, 27768.899977
3323, 27771.299977
3323, 27954.999974
3323, 28093.399968
3323, 28095.799968
3324, 28341.599971
3324, 28416.099971
3324, 28479.299972
3324, 28657.499969
3324, 28805.399963
3324, 28939.399963
3324, 29026.999961
3623, 29076.299961
3623, 29207.699955
3623, 29209.999955
3623, 29345.799958
3623, 29411.199959
3623, 29572.499962
3623, 29752.399956
3623, 29754.699956
3623, 29943.599950
3623, 30196.999944
3623, 30346.199941
3623, 30481.599935
3623, 30617.599935
3623, 30824.099935
3623, 30943.099935
3623, 30945.599935
3623, 31129.199941
3624, 31131.899941
3624, 31205.799942
3624, 31271.199944
3624, 31453.799950
3624, 31504.499951
3624, 31639.799954
3624, 31729.099957
3898, 31881.999951
3900, 32035.899945
3923, 32160.899945
3923, 32296.999951
3923, 32299.299951
3923, 32447.399957
3923, 32516.799958
3923, 32675.599961
3923, 32858.999955
3923, 33058.699952
3923, 33250.099946
3923, 33252.199946
3923, 33254.599946
3923, 33500.199952
3923, 33638.099946
3923, 33765.599946
3923, 33890.499948
3923, 33892.799948
3923, 34077.699942
3924, 34210.199942
3924, 34283.599943
3924, 34347.899946
3924, 34516.699949
3924, 34671.499952
3924, 34757.099951
3924, 34884.899954
4223, 34935.099954
4223, 35085.399958
4223, 35165.999956
4223, 35335.099962
4223, 35525.299959
4223, 35675.199953
4223, 35863.699953
4223, 35866.299953
4223, 35868.599953
4223, 35871.399953
4223, 36127.999959
4223, 36275.199956
4223, 36409.699956
4223, 36624.199956
4223, 36813.799962
4223, 36816.599962
4223, 36939.199960
4224, 37077.399957
4224, 37151.699960
4224, 37217.799959
4224, 37381.799959
4224, 37432.599958
4224, 37565.599958
4224, 37654.599958
4523, 37826.899961
4523, 37978.199964
4523, 37980.999964
4523, 38137.699961
4523, 38221.599963
4523, 38395.599963
4523, 38580.799960
4523, 38775.799960
4523, 38778.299960
4523, 38918.199953
4523, 38921.299953
