ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,4.733003,0.732490,13.587562,10,9,4.452996,0.719410,55.023182
1,11.411539,0.083791,0.012968,0.268306,10,8,0.078834,0.012736,0.813065
2,609.759766,5.116857,0.791896,16.967802,10,7,4.814141,0.777755,40.362434
3,725.498230,6.088088,0.942205,20.188459,10,7,5.727913,0.925380,48.023625
4,532.568359,3.910461,0.605191,12.399319,10,8,3.679116,0.594384,37.831204
5,86.672462,0.636405,0.098491,2.008458,10,8,0.598755,0.096733,6.122156
6,710.975403,5.220441,0.807927,16.553012,10,8,4.911596,0.793499,50.504419
7,385.841248,3.777461,0.584608,12.490429,10,6,3.553984,0.574169,23.672360
8,634.303101,4.139967,0.640710,11.885068,10,9,3.895044,0.629269,48.128888
9,145.225861,1.218677,0.188605,4.028283,10,7,1.146579,0.185237,9.618873
10,674.995728,5.664291,0.876618,18.783125,10,7,5.329188,0.860964,44.680662
11,385.642242,2.831635,0.438230,8.978568,10,8,2.664113,0.430404,27.394249
12,175.939453,1.291861,0.199931,4.066727,10,8,1.215434,0.196361,12.748454
13,67.660675,0.441607,0.068344,1.287005,10,9,0.415482,0.067124,5.261328
14,679.355957,4.434018,0.686218,12.729232,10,9,4.171699,0.673964,51.547355
15,258.051331,2.526373,0.390987,8.312863,10,6,2.376911,0.384005,16.345656
16,69.204796,0.451686,0.069904,1.316376,10,9,0.424964,0.068656,5.381400
17,643.100220,5.396637,0.835195,17.895568,10,7,5.077369,0.820281,42.569371
18,609.830811,4.477772,0.692990,14.198152,10,8,4.212864,0.680615,43.319573
19,597.602295,3.900429,0.603639,11.197397,10,9,3.669677,0.592859,45.344148
20,491.495453,3.608877,0.558518,11.443054,10,8,3.395374,0.548544,34.913574
21,650.152222,5.455815,0.844354,18.091804,10,7,5.133045,0.829276,43.036171
22,690.469971,4.506557,0.697444,12.937478,10,9,4.239946,0.684990,52.390650
23,614.826660,4.514455,0.698667,14.314466,10,8,4.247377,0.686190,43.674455
24,581.625671,5.694229,0.881251,18.828351,10,6,5.357355,0.865514,35.684242
25,501.309601,4.206787,0.651051,13.949956,10,7,3.957911,0.639426,33.183684
26,582.440308,3.801469,0.588324,10.913304,10,9,3.576572,0.577818,44.193705
27,104.511337,0.682124,0.105567,1.944735,10,9,0.641769,0.103682,7.842237
28,283.751495,1.851988,0.286618,5.267715,10,9,1.742424,0.281499,21.853876
29,54.831741,0.460126,0.071210,1.530474,10,7,0.432904,0.069938,3.757573
30,405.939453,3.406480,0.527194,11.296088,10,7,3.204950,0.517780,26.870753
31,219.356293,1.610656,0.249269,5.070279,10,8,1.515368,0.244817,15.894409
32,734.342712,5.392019,0.834480,17.097053,10,8,5.073023,0.819579,52.164325
33,725.169556,6.085330,0.941779,20.179313,10,7,5.725318,0.924961,48.001868
34,646.132874,4.217178,0.652659,12.106724,10,9,3.967687,0.641005,49.026493
35,337.266113,2.201267,0.340673,6.319424,10,9,2.071039,0.334589,25.590673
36,44.399189,0.289784,0.044848,0.844537,10,9,0.272641,0.044047,3.452503
37,447.539062,3.286121,0.508567,10.419657,10,8,3.091712,0.499486,31.791114
38,432.870514,3.178415,0.491898,10.078142,10,8,2.990378,0.483114,30.749128
39,785.977173,5.771152,0.893156,18.299212,10,8,5.429727,0.877207,55.832199
40,660.534058,4.311171,0.667206,12.376562,10,9,4.056120,0.655292,50.119209
41,390.499878,2.548713,0.394444,7.316876,10,9,2.397930,0.387401,29.629880
42,770.823669,5.031009,0.778610,14.443081,10,9,4.733372,0.764706,58.487632
43,623.530823,5.232419,0.809780,17.351009,10,7,4.922865,0.795320,41.273995
44,41.233646,0.302764,0.046856,0.967623,10,8,0.284852,0.046020,3.016028
45,629.116577,4.106116,0.635471,11.787887,10,9,3.863196,0.624124,47.735351
46,74.365311,0.546038,0.084506,1.745118,10,8,0.513734,0.082997,5.439438
47,428.754822,2.798396,0.433086,8.033667,10,9,2.632841,0.425352,32.532543
48,306.142365,2.569023,0.397587,8.519032,10,7,2.417038,0.390488,20.264785
49,695.887817,4.541918,0.702917,13.038993,10,9,4.273216,0.690365,52.801739
50,177.183868,1.300998,0.201345,4.095491,10,8,1.224031,0.197750,12.838624
51,275.597992,2.023619,0.313180,6.370270,10,8,1.903900,0.307587,19.969644
52,26.243969,0.256934,0.039764,0.853313,10,6,0.241733,0.039054,1.636181
53,500.637665,4.201149,0.650179,13.931258,10,7,3.952606,0.638568,33.139206
54,225.077118,1.652662,0.255769,5.202513,10,8,1.554889,0.251202,16.308936
55,157.564041,1.322214,0.204629,4.358879,10,7,1.243991,0.200975,10.698754
56,754.612244,4.925201,0.762235,14.139325,10,9,4.633823,0.748623,57.257561
57,713.568176,4.657314,0.720776,13.370274,10,9,4.381785,0.707905,54.143268
58,621.270691,4.561771,0.705989,14.464497,10,8,4.291894,0.693382,44.132209
59,115.675117,0.970699,0.150227,3.208603,10,7,0.913272,0.147545,7.661613
60,50.812351,0.426397,0.065990,1.418284,10,7,0.401171,0.064812,3.482128
61,199.777695,1.466897,0.227020,4.617733,10,8,1.380114,0.222966,14.475757
62,559.669922,4.696524,0.726844,15.573950,10,7,4.418674,0.713865,37.046787
63,639.852844,4.698213,0.727106,14.897129,10,8,4.420264,0.714121,45.452200
64,107.671104,0.790591,0.122354,2.495059,10,8,0.743819,0.120169,7.605407
