ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,4.617724,1.438819,16.568901,4,3,4.312641,1.421892,34.180851
1,11.411539,0.081568,0.033963,0.267953,3,2,0.073552,0.033563,0.503449
2,609.759766,4.914587,1.209841,16.285564,5,3,4.622653,1.195607,28.710012
3,725.498230,6.929771,2.159221,19.873844,4,2,6.471936,2.133818,30.684138
4,532.568359,3.391303,1.056683,12.168368,4,3,3.167247,1.044252,25.102762
5,86.672462,0.551915,0.171969,1.953040,4,3,0.515451,0.169946,4.179145
6,710.975403,4.527368,1.410665,16.244695,4,3,4.228255,1.394069,33.512030
7,385.841248,4.685044,1.148337,12.058726,5,2,4.387655,1.134827,16.298989
8,634.303101,4.039132,1.258538,14.492851,4,3,3.772276,1.243732,29.898059
9,145.225861,1.387160,0.432220,3.935425,4,2,1.295513,0.427135,6.363220
10,674.995728,5.482459,1.339277,18.027897,5,3,5.204749,1.323521,31.781591
11,385.642242,2.997358,1.147745,9.075578,3,2,2.965262,1.134242,16.330034
12,175.939453,1.120352,0.349086,3.998420,4,3,1.046333,0.344979,8.743349
13,67.660675,0.430851,0.134247,1.553536,4,3,0.402386,0.132668,3.368001
14,679.355957,4.326021,1.347928,15.522239,4,3,4.040211,1.332071,32.021638
15,258.051331,2.523606,0.768010,7.038591,4,2,2.345927,0.758975,11.647632
16,69.204796,0.440684,0.137311,1.588990,4,3,0.411569,0.135696,3.444864
17,643.100220,5.223397,1.275992,17.176026,5,3,4.958809,1.260981,30.279818
18,609.830811,3.883297,1.209982,13.933696,4,3,3.626736,1.195747,28.744550
19,597.602295,3.805428,1.185719,13.654294,4,3,3.554012,1.171769,28.168156
20,491.495453,3.513158,1.462784,11.566693,3,2,3.167900,1.445575,20.812392
21,650.152222,5.201292,1.934977,15.300469,3,2,5.109811,1.912212,27.530719
22,690.469971,4.396793,1.369980,15.776177,4,3,4.106307,1.353863,32.545500
23,614.826660,4.778667,1.829841,14.469129,3,2,4.727495,1.808314,26.034856
24,581.625671,5.692365,1.154019,17.779055,6,3,5.359735,1.140442,27.355592
25,501.309601,4.040492,0.994662,13.389059,5,3,3.800481,0.982960,23.603730
26,582.440308,3.708879,1.155636,13.307866,4,3,3.463842,1.142040,27.453491
