ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,4.733003,0.732490,13.587562,10,9,4.318527,1.777365,30.707129
1,11.411539,0.083791,0.012968,0.268306,10,8,0.095928,0.027969,0.504132
2,609.759766,5.116857,0.791896,16.967802,10,7,6.635078,1.509306,25.757919
3,725.498230,5.660963,1.253019,19.376726,10,7,6.098694,1.778182,30.684138
4,532.568359,3.910461,0.605191,12.399319,10,8,4.476884,1.305315,22.524385
5,86.672462,0.504207,0.075499,1.726208,10,8,0.516155,0.212433,3.791726
6,710.975403,4.136017,0.619317,14.296026,10,8,4.234025,1.742587,30.106278
7,385.841248,3.142421,0.470538,11.265579,10,6,4.198517,0.955053,16.298989
8,634.303101,4.139967,0.640710,11.885068,10,9,3.777424,1.554664,26.859587
9,145.225861,1.005664,0.172888,3.650370,10,7,1.220800,0.355946,6.363220
10,674.995728,5.664291,0.876618,18.783125,10,7,7.344941,1.670782,28.513665
11,385.642242,2.831635,0.438230,8.978568,10,8,3.241792,0.945202,16.310308
12,175.939453,1.091930,0.196361,3.388266,10,8,1.047761,0.431224,7.942166
13,67.660675,0.441607,0.068344,1.287005,10,9,0.402935,0.165835,3.052446
14,679.355957,4.434018,0.686218,12.729232,10,9,4.045724,1.665088,28.767352
15,258.051331,2.101657,0.314697,7.496744,10,6,2.807976,0.638741,11.646446
16,69.204796,0.451686,0.069904,1.316376,10,9,0.412131,0.169620,3.122108
17,643.100220,5.396637,0.835195,17.895568,10,7,6.997871,1.591832,27.166311
18,609.830811,3.519143,0.604991,12.680111,10,8,3.631686,1.494683,25.823307
19,597.602295,3.900429,0.603639,11.197397,10,9,3.558862,1.464712,25.305490
20,491.495453,3.608877,0.558518,11.443054,10,8,4.131617,1.204646,20.787252
21,650.152222,4.412549,0.660724,16.027901,10,7,5.465319,1.593510,27.497463
22,690.469971,4.506557,0.697444,12.937478,10,9,4.111911,1.692328,29.237975
23,614.826660,4.514455,0.698667,14.314466,10,8,5.168365,1.506928,26.003408
24,581.625671,5.034570,0.865514,17.380520,10,6,6.328938,1.439668,24.569458
25,501.309601,4.206787,0.651051,13.949956,10,7,5.454982,1.240865,21.176688
26,582.440308,3.801469,0.588324,10.913304,10,9,3.468569,1.427550,24.663455
27,104.511337,0.682124,0.105567,1.944735,10,9,0.622390,0.256155,4.572136
28,283.751495,1.851988,0.286618,5.267715,10,9,1.689807,0.695469,12.808961
29,54.831741,0.372140,0.055723,1.358725,10,7,0.460927,0.134392,2.476319
30,405.939453,2.909748,0.534131,10.563744,10,7,3.412414,0.994950,17.168756
31,219.356293,1.283705,0.284140,4.832971,10,8,1.306318,0.537638,9.902066
32,734.342712,4.271954,0.639671,14.765888,10,8,4.373183,1.799860,31.095768
33,725.169556,5.658399,1.252452,19.367948,10,7,6.095931,1.777376,30.670237
34,646.132874,4.217178,0.652659,12.106724,10,9,3.847873,1.583659,27.360519
35,337.266113,2.201267,0.340673,6.319424,10,9,2.008499,0.826633,14.281545
36,44.399189,0.289784,0.044848,0.844537,10,9,0.264408,0.108822,2.003027
37,447.539062,2.582608,0.443987,9.305605,10,8,2.665200,1.096909,18.951057
38,432.870514,2.497961,0.429435,9.000605,10,8,2.577846,1.060957,18.329917
39,785.977173,5.771152,0.893156,18.299212,10,8,6.607093,1.926415,33.242028
40,660.534058,4.311171,0.667206,12.376562,10,9,3.933635,1.618956,27.970338
41,390.499878,2.548713,0.394444,7.316876,10,9,2.325518,0.957108,16.535731
42,770.823669,5.031009,0.778610,14.443081,10,9,4.590436,1.889274,32.640555
43,623.530823,4.231871,0.633670,15.371616,10,7,5.241534,1.528262,26.371541
44,41.233646,0.237947,0.040906,0.865539,10,8,0.245556,0.101063,1.860216
45,629.116577,4.106116,0.635471,11.787887,10,9,3.746537,1.541952,26.639964
46,74.365311,0.435197,0.096328,1.658655,10,8,0.442863,0.182268,3.354919
47,428.754822,2.798396,0.433086,8.033667,10,9,2.553336,1.050870,18.155638
