ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,4.733003,0.732490,13.587562,10,9,4.452996,0.719410,55.023182
1,11.411539,0.074481,0.011527,0.216938,10,9,0.070074,0.011321,0.863870
2,609.759766,3.979778,0.615919,11.425194,10,9,3.744332,0.604920,46.266618
3,725.498230,4.735179,0.732826,13.593809,10,9,4.455043,0.719740,55.048482
4,532.568359,3.475965,0.537948,9.978843,10,9,3.270325,0.528342,40.409582
5,86.672462,0.565694,0.087548,1.612791,10,9,0.532227,0.085985,6.503658
6,710.975403,4.640392,0.718157,13.321692,10,9,4.365863,0.705333,53.946537
7,385.841248,2.518307,0.389739,7.229587,10,9,2.369323,0.382779,29.276398
8,634.303101,4.139967,0.640710,11.885068,10,9,3.895044,0.629269,48.128888
9,145.225861,0.947860,0.146693,2.702347,10,9,0.891784,0.144073,10.897341
10,674.995728,4.405560,0.681814,12.647534,10,9,4.144924,0.669639,51.216514
11,385.642242,2.517008,0.389538,7.225858,10,9,2.368101,0.382582,29.261298
12,175.939453,1.148321,0.177717,3.266235,10,9,1.080386,0.174543,13.550445
13,67.660675,0.441607,0.068344,1.287005,10,9,0.415482,0.067124,5.261328
14,679.355957,4.434018,0.686218,12.729232,10,9,4.171699,0.673964,51.547355
15,258.051331,1.684249,0.260658,4.790604,10,9,1.584607,0.256003,19.874510
16,69.204796,0.451686,0.069904,1.316376,10,9,0.424964,0.068656,5.381400
17,643.100220,4.197384,0.649596,12.049901,10,9,3.949064,0.637996,48.796385
18,609.830811,3.980242,0.615991,11.426525,10,9,3.744768,0.604991,46.272009
19,597.602295,3.900429,0.603639,11.197397,10,9,3.669677,0.592859,45.344148
20,491.495453,3.207891,0.496460,9.209251,10,9,3.018110,0.487595,37.293101
21,650.152222,4.243411,0.656719,12.182036,10,9,3.992368,0.644992,49.331469
22,690.469971,4.506557,0.697444,12.937478,10,9,4.239946,0.684990,52.390650
23,614.826660,4.012849,0.621037,11.520133,10,9,3.775446,0.609947,46.651078
24,581.625671,3.796152,0.587501,10.898040,10,9,3.571570,0.577010,44.131893
25,501.309601,3.271946,0.506373,9.393141,10,9,3.078375,0.497331,38.037767
26,582.440308,3.801469,0.588324,10.913304,10,9,3.576572,0.577818,44.193705
27,104.511337,0.682124,0.105567,1.944735,10,9,0.641769,0.103682,7.842237
28,283.751495,1.851988,0.286618,5.267715,10,9,1.742424,0.281499,21.853876
29,54.831741,0.357876,0.055386,1.042980,10,9,0.336703,0.054397,4.263744
30,405.939453,2.649484,0.410040,7.606171,10,9,2.492739,0.402718,30.801386
31,219.356293,1.431694,0.221572,4.072248,10,9,1.346994,0.217615,16.894308
32,734.342712,4.792906,0.741760,13.759530,10,9,4.509354,0.728515,55.719573
33,725.169556,4.733034,0.732495,13.587651,10,9,4.453025,0.719414,55.023544
34,646.132874,4.217178,0.652659,12.106724,10,9,3.967687,0.641005,49.026493
35,337.266113,2.201267,0.340673,6.319424,10,9,2.071039,0.334589,25.590673
36,44.399189,0.289784,0.044848,0.844537,10,9,0.272641,0.044047,3.452503
37,447.539062,2.920996,0.452060,8.385631,10,9,2.748188,0.443987,33.957831
38,432.870514,2.825258,0.437243,8.110784,10,9,2.658114,0.429435,32.844828
39,785.977173,5.129913,0.793916,14.727016,10,9,4.826424,0.779739,59.637431
40,660.534058,4.311171,0.667206,12.376562,10,9,4.056120,0.655292,50.119209
41,390.499878,2.548713,0.394444,7.316876,10,9,2.397930,0.387401,29.629880
42,770.823669,5.031009,0.778610,14.443081,10,9,4.733372,0.764706,58.487632
