ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,4.617724,1.438819,16.568901,4,3,4.312641,1.421892,34.180851
1,11.411539,0.072667,0.022642,0.260665,4,3,0.067866,0.022376,0.554938
2,609.759766,3.882845,1.209841,13.932073,4,3,3.626314,1.195607,28.741201
3,725.498230,4.619847,1.439481,16.576519,4,3,4.314624,1.422546,34.196567
4,532.568359,3.391303,1.056683,12.168368,4,3,3.167247,1.044252,25.102762
5,86.672462,0.551915,0.171969,1.953040,4,3,0.515451,0.169946,4.179145
6,710.975403,4.527368,1.410665,16.244695,4,3,4.228255,1.394069,33.512030
7,385.841248,2.456970,0.765558,8.815879,4,3,2.294644,0.756551,18.186738
8,634.303101,4.039132,1.258538,14.492851,4,3,3.772276,1.243732,29.898059
9,145.225861,0.924773,0.288147,3.272457,4,3,0.863675,0.284757,7.002453
10,674.995728,4.298256,1.339277,15.422615,4,3,4.014280,1.323521,31.816117
11,385.642242,2.455703,0.765163,8.811332,4,3,2.293460,0.756161,18.177358
12,175.939453,1.120352,0.349086,3.998420,4,3,1.046333,0.344979,8.743349
13,67.660675,0.430851,0.134247,1.553536,4,3,0.402386,0.132668,3.368001
14,679.355957,4.326021,1.347928,15.522239,4,3,4.040211,1.332071,32.021638
15,258.051331,1.643226,0.512007,5.864504,4,3,1.534662,0.505983,12.823916
16,69.204796,0.440684,0.137311,1.588990,4,3,0.411569,0.135696,3.444864
17,643.100220,4.095151,1.275992,14.693851,4,3,3.824593,1.260981,30.312713
18,609.830811,3.883297,1.209982,13.933696,4,3,3.626736,1.195747,28.744550
19,597.602295,3.805428,1.185719,13.654294,4,3,3.554012,1.171769,28.168156
20,491.495453,3.129758,0.975189,11.229915,4,3,2.922982,0.963717,23.166779
21,650.152222,4.140057,1.289985,14.854979,4,3,3.866533,1.274808,30.645111
22,690.469971,4.396793,1.369980,15.776177,4,3,4.106307,1.353863,32.545500
23,614.826660,3.915110,1.219894,14.047844,4,3,3.656447,1.205542,28.980031
24,581.625671,3.703692,1.154019,13.289252,4,3,3.458997,1.140442,27.415093
25,501.309601,3.192253,0.994662,11.454154,4,3,2.981348,0.982960,23.629372
26,582.440308,3.708879,1.155636,13.307866,4,3,3.463842,1.142040,27.453491
27,104.511337,0.665510,0.207364,2.355013,4,3,0.621541,0.204924,5.039294
28,283.751495,1.806880,0.562999,6.448569,4,3,1.687504,0.556375,14.101091
29,54.831741,0.349159,0.108793,1.258974,4,3,0.326091,0.107513,2.729404
30,405.939453,2.584952,0.805435,9.275092,4,3,2.414170,0.795960,19.134073
31,219.356293,1.396823,0.435231,4.985116,4,3,1.304538,0.430110,10.900958
32,734.342712,4.676167,1.457029,16.778602,4,3,4.367223,1.439888,34.613454
33,725.169556,4.617754,1.438828,16.569009,4,3,4.312670,1.421901,34.181075
34,646.132874,4.114462,1.282010,14.763143,4,3,3.842629,1.266927,30.455658
35,337.266113,2.147652,0.669179,7.706012,4,3,2.005762,0.661306,15.897135
36,44.399189,0.282726,0.088094,1.019436,4,3,0.264047,0.087057,2.210095
37,447.539062,2.849851,0.887974,10.225580,4,3,2.661568,0.877528,21.094882
38,432.870514,2.756445,0.858870,9.890426,4,3,2.574332,0.848766,20.403476
39,785.977173,5.004967,1.559479,17.958370,4,3,4.674300,1.541132,37.047260
40,660.534058,4.206167,1.310583,15.092188,4,3,3.928275,1.295165,31.134462
41,390.499878,2.486636,0.774801,8.922322,4,3,2.322349,0.765686,18.406324
42,770.823669,4.908472,1.529412,17.612136,4,3,4.584180,1.511419,36.332995
43,623.530823,3.970536,1.237164,14.246721,4,3,3.708212,1.222609,29.390304
44,41.233646,0.262569,0.081813,0.946753,4,3,0.245221,0.080850,2.052521
45,629.116577,4.006106,1.248247,14.374347,4,3,3.741431,1.233562,29.653590
46,74.365311,0.473545,0.147550,1.707479,4,3,0.442259,0.145814,3.701743
47,428.754822,2.730237,0.850704,9.796389,4,3,2.549856,0.840696,20.209482
48,306.142365,1.949462,0.607425,6.994882,4,3,1.820665,0.600279,14.430108
49,695.887817,4.431293,1.380730,15.899967,4,3,4.138528,1.364486,32.800872
50,177.183868,1.128276,0.351555,4.026701,4,3,1.053734,0.347419,8.805190
51,275.597992,1.754960,0.546821,6.263271,4,3,1.639014,0.540388,13.695901
52,26.243969,0.167117,0.052071,0.599471,4,3,0.156076,0.051459,1.276232
53,500.637665,3.187974,0.993329,11.438801,4,3,2.977352,0.981642,23.597700
54,225.077118,1.433252,0.446582,5.115128,4,3,1.338560,0.441328,11.185256
55,157.564041,1.003341,0.312627,3.580818,4,3,0.937052,0.308949,7.830179
56,754.612244,4.805240,1.497247,17.241730,4,3,4.487769,1.479632,35.568865
57,713.568176,4.543879,1.415810,16.303936,4,3,4.243675,1.399153,33.634241
58,621.270691,3.956144,1.232680,14.195080,4,3,3.694771,1.218178,29.283772
59,115.675117,0.736599,0.229514,2.606573,4,3,0.687934,0.226814,5.577585
60,50.812351,0.323564,0.100818,1.166686,4,3,0.302187,0.099632,2.529328
61,199.777695,1.272150,0.396384,4.540171,4,3,1.188102,0.391721,9.927995
62,559.669922,3.563881,1.110456,12.787597,4,3,3.328424,1.097392,26.380202
63,639.852844,4.074472,1.269549,14.619654,4,3,3.805281,1.254613,30.159647
64,107.671104,0.685631,0.213633,2.426214,4,3,0.640333,0.211120,5.191650
65,204.431885,1.301787,0.405619,4.645942,4,3,1.215781,0.400847,10.159286
66,682.380249,4.345279,1.353929,15.591340,4,3,4.058196,1.338000,32.164189
67,429.624969,2.735777,0.852430,9.816270,4,3,2.555031,0.842402,20.250496
68,504.077850,3.209881,1.000154,11.517404,4,3,2.997811,0.988388,23.759854
69,76.944733,0.489971,0.152668,1.733839,4,3,0.457599,0.150872,3.710096
70,726.870972,4.628589,1.442204,16.607884,4,3,4.322788,1.425237,34.261272
71,572.138672,3.643280,1.135196,13.072489,4,3,3.402577,1.121841,26.967920
72,28.637928,0.182361,0.056821,0.654155,4,3,0.170313,0.056153,1.392649
