ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,5.183401,2.158229,17.065791,3,2,4.674000,2.132838,30.707129
1,11.411539,0.088695,0.033963,0.267953,3,2,0.087745,0.033563,0.503449
2,609.759766,4.739285,1.814761,14.349886,3,2,4.688535,1.793411,25.820299
3,725.498230,5.638849,2.159221,17.073638,3,2,5.578466,2.133818,30.721248
4,532.568359,3.806742,1.585025,12.533289,3,2,3.432633,1.566378,22.551626
5,86.672462,0.619526,0.257954,2.009748,3,2,0.558641,0.254919,3.791726
6,710.975403,5.081977,2.115998,16.731862,3,2,4.582543,2.091104,30.106278
7,385.841248,2.998905,1.148337,9.080261,3,2,2.966792,1.134827,16.338461
8,634.303101,4.930045,1.887807,14.927481,3,2,4.877252,1.865597,26.859587
9,145.225861,1.038059,0.432220,3.367475,3,2,0.936043,0.427135,6.353305
10,674.995728,4.824798,2.008916,15.885128,3,2,4.350638,1.985282,28.582718
11,385.642242,2.997358,1.147745,9.075578,3,2,2.965262,1.134242,16.330034
12,175.939453,1.367468,0.523629,4.120451,3,2,1.352825,0.517469,7.942166
13,67.660675,0.483631,0.201371,1.597957,3,2,0.436102,0.199002,3.052446
14,679.355957,5.280213,2.021893,15.987740,3,2,5.223671,1.998106,28.767352
15,258.051331,1.844524,0.768010,6.043487,3,2,1.663252,0.758975,11.648817
16,69.204796,0.494669,0.205967,1.634425,3,2,0.446055,0.203544,3.122108
17,643.100220,4.596812,1.913989,15.134510,3,2,4.145058,1.891471,27.232101
18,609.830811,4.739837,1.814973,14.351558,3,2,4.689081,1.793620,25.823307
19,597.602295,4.271598,1.778578,14.063776,3,2,3.851804,1.757654,25.305490
20,491.495453,3.820090,1.462784,11.566693,3,2,3.779183,1.445575,20.812392
21,650.152222,4.647219,1.934977,15.300469,3,2,4.190511,1.912212,27.530719
22,690.469971,5.366596,2.054970,16.249294,3,2,5.309128,2.030794,29.237975
23,614.826660,4.394716,1.829841,14.469129,3,2,3.962823,1.808314,26.034856
24,581.625671,4.520616,1.731029,13.687788,3,2,4.472208,1.710664,24.628959
25,501.309601,3.583308,1.491993,11.797656,3,2,3.231156,1.474440,21.227973
26,582.440308,4.526948,1.733453,13.706959,3,2,4.478472,1.713060,24.663455
27,104.511337,0.747036,0.311046,2.423393,3,2,0.673621,0.307386,4.572136
28,283.751495,2.028226,0.844498,6.645378,3,2,1.828901,0.834563,12.808961
29,54.831741,0.426173,0.163190,1.294973,3,2,0.421610,0.161270,2.473681
30,405.939453,3.155116,1.208153,9.553246,3,2,3.121330,1.193940,17.189520
31,219.356293,1.567936,0.652846,5.137261,3,2,1.413846,0.645166,9.902066
32,734.342712,5.249004,2.185544,17.281781,3,2,4.733155,2.159832,31.095768
33,725.169556,5.636294,2.158243,17.065903,3,2,5.575938,2.132852,30.707330
34,646.132874,4.618490,1.923015,15.205879,3,2,4.164605,1.900391,27.360519
35,337.266113,2.621361,1.003768,7.937110,3,2,2.593290,0.991959,14.281545
36,44.399189,0.345087,0.132140,1.048586,3,2,0.341392,0.130586,2.003027
37,447.539062,3.478444,1.331961,10.532238,3,2,3.441196,1.316291,18.951057
