ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,4.500578,0.809336,14.084452,9,8,4.200284,0.681546,51.549460
1,11.411539,0.070823,0.012736,0.224226,9,8,0.066098,0.010725,0.812382
2,609.759766,3.784341,0.680535,11.843007,9,8,3.531838,0.573082,43.345716
3,725.498230,4.502647,0.809708,14.090928,9,8,4.202216,0.681859,51.573163
4,532.568359,3.305270,0.594384,10.343764,9,8,3.084731,0.500534,37.858445
5,86.672462,0.537914,0.096733,1.669500,9,8,0.502022,0.081459,6.116239
6,710.975403,4.412514,0.793499,13.808859,9,8,4.118097,0.668210,50.540786
7,385.841248,2.394640,0.430626,7.493969,9,8,2.234862,0.362633,27.428122
8,634.303101,3.936664,0.707928,12.319698,9,8,3.673997,0.596150,45.090416
9,145.225861,0.901313,0.162082,2.797365,9,8,0.841174,0.136490,10.248193
10,674.995728,4.189214,0.753343,13.110047,9,8,3.909696,0.634394,47.983115
11,385.642242,2.393405,0.430404,7.490104,9,8,2.233709,0.362446,27.413975
12,175.939453,1.091930,0.196361,3.388266,9,8,1.019073,0.165357,12.749262
13,67.660675,0.419921,0.075514,1.331427,9,8,0.391903,0.063591,4.945774
14,679.355957,4.216275,0.758210,13.194733,9,8,3.934951,0.638492,48.293068
15,258.051331,1.601539,0.288004,4.969587,9,8,1.494680,0.242529,18.699411
16,69.204796,0.429505,0.077237,1.361812,9,8,0.400847,0.065042,5.058644
17,643.100220,3.991262,0.717746,12.490559,9,8,3.724952,0.604417,45.715773
18,609.830811,3.784782,0.680615,11.844387,9,8,3.532249,0.573149,43.350766
19,597.602295,3.708889,0.666967,11.606880,9,8,3.461420,0.561656,42.481483
20,491.495453,3.050360,0.548544,9.546029,9,8,2.846830,0.461932,34.938714
21,650.152222,4.035028,0.725616,12.627526,9,8,3.765798,0.611045,46.217076
22,690.469971,4.285252,0.770614,13.410594,9,8,3.999326,0.648938,49.083125
23,614.826660,3.815788,0.686190,11.941419,9,8,3.561186,0.577845,43.705904
24,581.625671,3.609733,0.649136,11.296575,9,8,3.368880,0.546641,41.345760
25,501.309601,3.111269,0.559497,9.736643,9,8,2.903675,0.471156,35.636368
26,582.440308,3.614789,0.650045,11.312397,9,8,3.373599,0.547406,41.403670
27,104.511337,0.648627,0.116642,2.013115,9,8,0.605348,0.098225,7.375080
28,283.751495,1.761042,0.316687,5.464524,9,8,1.643540,0.266684,20.561746
29,54.831741,0.340301,0.061196,1.078979,9,8,0.317595,0.051534,4.008021
30,405.939453,2.519375,0.453057,7.884325,9,8,2.351274,0.381522,28.856834
31,219.356293,1.361387,0.244817,4.224393,9,8,1.270551,0.206162,15.895417
32,734.342712,4.557538,0.819579,14.262709,9,8,4.253445,0.690172,52.201887
33,725.169556,4.500607,0.809341,14.084544,9,8,4.200312,0.681550,51.549799
34,646.132874,4.010083,0.721130,12.549461,9,8,3.742517,0.607268,45.931354
35,337.266113,2.093169,0.376413,6.550522,9,8,1.953506,0.316979,23.975083
36,44.399189,0.275554,0.049553,0.873687,9,8,0.257168,0.041729,3.245435
37,447.539062,2.777554,0.499486,8.692289,9,8,2.592226,0.420619,31.814006
38,432.870514,2.686517,0.483114,8.407391,9,8,2.507264,0.406833,30.771270
39,785.977173,4.877996,0.877207,15.265575,9,8,4.552521,0.738700,55.872402
40,660.534058,4.099461,0.737203,12.829167,9,8,3.825932,0.620803,46.955085
41,390.499878,2.423553,0.435826,7.584451,9,8,2.261845,0.367011,27.759288
42,770.823669,4.783950,0.860294,14.971257,9,8,4.464749,0.724458,54.795192
43,623.530823,3.869808,0.695905,12.110474,9,8,3.611602,0.586025,44.324652
44,41.233646,0.255908,0.046020,0.811396,9,8,0.238833,0.038753,3.014044
45,629.116577,3.904475,0.702139,12.218963,9,8,3.643956,0.591275,44.721724
46,74.365311,0.461532,0.082997,1.463360,9,8,0.430737,0.069892,5.435860
47,428.754822,2.660974,0.478521,8.327454,9,8,2.483425,0.402965,30.478699
48,306.142365,1.900006,0.341677,5.946024,9,8,1.773231,0.287728,21.762603
49,695.887817,4.318876,0.776661,13.515822,9,8,4.030707,0.654030,49.468261
50,177.183868,1.099653,0.197750,3.412231,9,8,1.026281,0.166526,12.839438
51,275.597992,1.710439,0.307587,5.307503,9,8,1.596313,0.259021,19.970911
52,26.243969,0.162877,0.029290,0.515669,9,8,0.152010,0.024665,1.868295
53,500.637665,3.107099,0.558747,9.723592,9,8,2.899783,0.470524,35.588602
54,225.077118,1.396892,0.251202,4.334565,9,8,1.303687,0.211539,16.309970
55,157.564041,0.977887,0.175853,3.034389,9,8,0.912639,0.148087,11.417708
56,754.612244,4.683337,0.842201,14.656392,9,8,4.370849,0.709222,53.642778
57,713.568176,4.428606,0.796393,13.859217,9,8,4.133115,0.670647,50.725097
58,621.270691,3.855781,0.693382,12.066577,9,8,3.598511,0.583901,44.163988
59,115.675117,0.717912,0.129102,2.228154,9,8,0.670011,0.108717,8.162877
60,50.812351,0.315356,0.056710,0.999885,9,8,0.294314,0.047756,3.714216
61,199.777695,1.239877,0.222966,3.847346,9,8,1.157148,0.187761,14.476675
62,559.669922,3.473470,0.624632,10.870141,9,8,3.241708,0.526006,39.785002
63,639.852844,3.971108,0.714121,12.427487,9,8,3.706142,0.601365,45.484929
64,107.671104,0.668237,0.120169,2.073979,9,8,0.623650,0.101195,7.598056
65,204.431885,1.268762,0.228161,3.936977,9,8,1.184106,0.192135,14.813936
66,682.380249,4.235045,0.761585,13.253472,9,8,3.952469,0.641335,48.508055
67,429.624969,2.666374,0.479492,8.344354,9,8,2.488465,0.403783,30.540555
68,504.077850,3.128450,0.562587,9.790409,9,8,2.919709,0.473757,35.833153
69,76.944733,0.477541,0.085876,1.482122,9,8,0.445678,0.072316,5.429780
70,726.870972,4.511167,0.811240,14.117590,9,8,4.210167,0.683149,51.670747
