ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,9.536715,3.486369,20.361600,3,1,8.672249,3.589925,27.196314
1,11.411539,0.150074,0.054863,0.319321,3,1,0.136471,0.056493,0.452643
2,609.759766,8.019012,2.931537,17.121190,3,1,7.292119,3.018613,22.868206
3,725.498230,9.541100,3.487972,20.370962,3,1,8.676236,3.591575,27.208819
4,532.568359,7.003860,2.560425,14.953765,3,1,6.368987,2.636477,19.973248
5,86.672462,1.139838,0.416695,2.405415,3,1,1.036516,0.429072,3.410224
6,710.975403,9.350109,3.418151,19.963182,3,1,8.502558,3.519680,26.664160
7,385.841248,5.074237,1.855006,10.833876,3,1,4.614277,1.910105,14.470448
8,634.303101,8.341784,3.049534,17.810332,3,1,7.585633,3.140114,23.788670
9,145.225861,1.909880,0.698201,4.030443,3,1,1.736757,0.718940,5.714072
10,674.995728,8.876936,3.245172,18.952924,3,1,8.072276,3.341563,25.314792
11,385.642242,5.071620,1.854049,10.828288,3,1,4.611897,1.909120,14.462985
12,175.939453,2.313797,0.845863,4.920943,3,1,2.104061,0.870987,7.140175
13,67.660675,0.889812,0.325292,1.898734,3,1,0.809154,0.334954,2.740146
14,679.355957,8.934278,3.266134,19.075353,3,1,8.124420,3.363148,25.478316
15,258.051331,3.393659,1.240631,7.217574,3,1,3.086037,1.277482,10.472533
16,69.204796,0.910119,0.332715,1.942066,3,1,0.827620,0.342598,2.802681
17,643.100220,8.457475,3.091828,18.057343,3,1,7.690838,3.183664,24.118594
18,609.830811,8.019946,2.931879,17.123185,3,1,7.292969,3.018964,22.870871
19,597.602295,7.859128,2.873088,16.779826,3,1,7.146728,2.958427,22.412257
20,491.495453,6.463706,2.362959,13.800496,3,1,5.877796,2.433146,18.432865
21,650.152222,8.550217,3.125732,18.255353,3,1,7.775173,3.218575,24.383070
22,690.469971,9.080440,3.319567,19.387419,3,1,8.257333,3.418168,25.895132
23,614.826660,8.085647,2.955897,17.263462,3,1,7.352714,3.043696,23.058233
24,581.625671,7.649017,2.796277,16.331225,3,1,6.955664,2.879335,21.813075
25,501.309601,6.592773,2.410142,14.076063,3,1,5.995163,2.481731,18.800931
26,582.440308,7.659731,2.800194,16.354099,3,1,6.965406,2.883368,21.843627
27,104.511337,1.374439,0.502458,2.900496,3,1,1.249851,0.517383,4.112114
28,283.751495,3.731644,1.364190,7.936395,3,1,3.393385,1.404710,11.515526
29,54.831741,0.721098,0.263614,1.538721,3,1,0.655733,0.271444,2.220596
30,405.939453,5.338550,1.951632,11.398205,3,1,4.854631,2.009601,15.224204
31,219.356293,2.884777,1.054598,6.135292,3,1,2.623283,1.085922,8.902167
32,734.342712,9.657415,3.530494,20.619303,3,1,8.782007,3.635360,27.540519
33,725.169556,9.536777,3.486392,20.361734,3,1,8.672305,3.589948,27.196493
34,646.132874,8.497358,3.106408,18.142496,3,1,7.727105,3.198678,24.232330
35,337.266113,4.435420,1.621472,9.469955,3,1,4.033367,1.669634,12.648704
36,44.399189,0.583898,0.213458,1.245956,3,1,0.530970,0.219798,1.798094
37,447.539062,5.885631,2.151630,12.566263,3,1,5.352121,2.215540,16.784341
38,432.870514,5.692723,2.081108,12.154391,3,1,5.176700,2.142923,16.234217
39,785.977173,10.336465,3.778736,22.069126,3,1,9.399504,3.890976,29.476999
40,660.534058,8.686750,3.175645,18.546861,3,1,7.899329,3.269971,24.772427
41,390.499878,5.135503,1.877403,10.964683,3,1,4.669990,1.933168,14.645164
42,770.823669,10.137179,3.705883,21.643637,3,1,9.218283,3.815959,28.908688
43,623.530823,8.200116,2.997744,17.507862,3,1,7.456807,3.086786,23.384671
44,41.233646,0.542268,0.198239,1.157123,3,1,0.493113,0.204127,1.669895
45,629.116577,8.273575,3.024599,17.664702,3,1,7.523608,3.114439,23.594157
46,74.365311,0.977986,0.357526,2.086883,3,1,0.889335,0.368145,3.011673
47,428.754822,5.638598,2.061321,12.038828,3,1,5.127481,2.122549,16.079863
48,306.142365,4.026109,1.471838,8.596044,3,1,3.661158,1.515556,11.481451
49,695.887817,9.151690,3.345615,19.539544,3,1,8.322125,3.444989,26.098321
50,177.183868,2.330163,0.851846,4.955749,3,1,2.118943,0.877148,7.190677
51,275.597992,3.624417,1.324990,7.708346,3,1,3.295877,1.364346,11.184631
52,26.243969,0.345137,0.126173,0.734366,3,1,0.313852,0.129921,1.040977
53,500.637665,6.583936,2.406912,14.057196,3,1,5.987128,2.478404,18.775731
54,225.077118,2.960012,1.082102,6.295301,3,1,2.691698,1.114243,9.134336
55,157.564041,2.072140,0.757519,4.406992,3,1,1.884309,0.780020,6.394443
56,754.612244,9.923981,3.627943,21.188443,3,1,9.024411,3.735704,28.300700
57,713.568176,9.384207,3.430616,20.035983,3,1,8.533565,3.532516,26.761399
58,621.270691,8.170393,2.986878,17.444401,3,1,7.429779,3.075597,23.299908
59,115.675117,1.521255,0.556130,3.210323,3,1,1.383359,0.572649,4.551365
60,50.812351,0.668238,0.244290,1.425926,3,1,0.607665,0.251546,2.057817
61,199.777695,2.627296,0.960470,5.587688,3,1,2.389142,0.988998,8.107606
62,559.669922,7.360275,2.690721,15.714739,3,1,6.693095,2.770643,20.989655
