ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,725.164795,4.733003,0.732490,13.587562,10,9,4.318527,1.777365,30.707129
1,11.411539,0.074481,0.011527,0.216938,10,9,0.067958,0.027969,0.503449
2,609.759766,3.979778,0.615919,11.425194,10,9,3.631263,1.494509,25.820299
3,725.498230,4.735179,0.732826,13.593809,10,9,4.320512,1.778182,30.721248
4,532.568359,3.475965,0.537948,9.978843,10,9,3.171570,1.305315,22.551626
5,86.672462,0.565694,0.087548,1.612791,10,9,0.516155,0.212433,3.791726
6,710.975403,4.640392,0.718157,13.321692,10,9,4.234025,1.742587,30.106278
7,385.841248,2.518307,0.389739,7.229587,10,9,2.297775,0.945689,16.338461
8,634.303101,4.139967,0.640710,11.885068,10,9,3.777424,1.554664,26.859587
9,145.225861,0.947860,0.146693,2.702347,10,9,0.864854,0.355946,6.353305
10,674.995728,4.405560,0.681814,12.647534,10,9,4.019758,1.654401,28.582718
11,385.642242,2.517008,0.389538,7.225858,10,9,2.296590,0.945202,16.330034
12,175.939453,1.148321,0.177717,3.266235,10,9,1.047761,0.431224,7.942166
13,67.660675,0.441607,0.068344,1.287005,10,9,0.402935,0.165835,3.052446
14,679.355957,4.434018,0.686218,12.729232,10,9,4.045724,1.665088,28.767352
15,258.051331,1.684249,0.260658,4.790604,10,9,1.536756,0.632479,11.648817
16,69.204796,0.451686,0.069904,1.316376,10,9,0.412131,0.169620,3.122108
17,643.100220,4.197384,0.649596,12.049901,10,9,3.829813,1.576226,27.232101
18,609.830811,3.980242,0.615991,11.426525,10,9,3.631686,1.494683,25.823307
19,597.602295,3.900429,0.603639,11.197397,10,9,3.558862,1.464712,25.305490
20,491.495453,3.207891,0.496460,9.209251,10,9,2.926971,1.204646,20.812392
21,650.152222,4.243411,0.656719,12.182036,10,9,3.871809,1.593510,27.530719
22,690.469971,4.506557,0.697444,12.937478,10,9,4.111911,1.692328,29.237975
23,614.826660,4.012849,0.621037,11.520133,10,9,3.661437,1.506928,26.034856
24,581.625671,3.796152,0.587501,10.898040,10,9,3.463717,1.425553,24.628959
25,501.309601,3.271946,0.506373,9.393141,10,9,2.985416,1.228700,21.227973
26,582.440308,3.801469,0.588324,10.913304,10,9,3.468569,1.427550,24.663455
27,104.511337,0.682124,0.105567,1.944735,10,9,0.622390,0.256155,4.572136
28,283.751495,1.851988,0.286618,5.267715,10,9,1.689807,0.695469,12.808961
29,54.831741,0.357876,0.055386,1.042980,10,9,0.326536,0.134392,2.473681
30,405.939453,2.649484,0.410040,7.606171,10,9,2.417465,0.994950,17.189520
31,219.356293,1.431694,0.221572,4.072248,10,9,1.306318,0.537638,9.902066
32,734.342712,4.792906,0.741760,13.759530,10,9,4.373183,1.799860,31.095768
33,725.169556,4.733034,0.732495,13.587651,10,9,4.318555,1.777376,30.707330
34,646.132874,4.217178,0.652659,12.106724,10,9,3.847873,1.583659,27.360519
35,337.266113,2.201267,0.340673,6.319424,10,9,2.008499,0.826633,14.281545
36,44.399189,0.289784,0.044848,0.844537,10,9,0.264408,0.108822,2.003027
37,447.539062,2.920996,0.452060,8.385631,10,9,2.665200,1.096909,18.951057
38,432.870514,2.825258,0.437243,8.110784,10,9,2.577846,1.060957,18.329917
39,785.977173,5.129913,0.793916,14.727016,10,9,4.680679,1.926415,33.282231
40,660.534058,4.311171,0.667206,12.376562,10,9,3.933635,1.618956,27.970338
41,390.499878,2.548713,0.394444,7.316876,10,9,2.325518,0.957108,16.535731
42,770.823669,5.031009,0.778610,14.443081,10,9,4.590436,1.889274,32.640555
43,623.530823,4.069659,0.629829,11.683225,10,9,3.713272,1.528262,26.403435
44,41.233646,0.269124,0.041650,0.784324,10,9,0.245556,0.101063,1.860216
45,629.116577,4.106116,0.635471,11.787887,10,9,3.746537,1.541952,26.639964
46,74.365311,0.485367,0.075116,1.414537,10,9,0.442863,0.182268,3.354919
47,428.754822,2.798396,0.433086,8.033667,10,9,2.553336,1.050870,18.155638
48,306.142365,1.998129,0.309235,5.736252,10,9,1.823150,0.750349,12.963609
49,695.887817,4.541918,0.702917,13.038993,10,9,4.144175,1.705607,29.467394
50,177.183868,1.156443,0.178974,3.289337,10,9,1.055172,0.434274,7.998341
51,275.597992,1.798772,0.278382,5.116349,10,9,1.641251,0.675485,12.440900
52,26.243969,0.171289,0.026509,0.498909,10,9,0.156289,0.064323,1.157819
53,500.637665,3.267560,0.505695,9.380551,10,9,2.981415,1.227053,21.199519
54,225.077118,1.469033,0.227351,4.178453,10,9,1.340387,0.551660,10.160313
55,157.564041,1.028388,0.159156,2.925104,10,9,0.938331,0.386186,7.112673
56,754.612244,4.925201,0.762235,14.139325,10,9,4.493893,1.849540,31.954082
57,713.568176,4.657314,0.720776,13.370274,10,9,4.249466,1.748942,30.216069
58,621.270691,4.054907,0.627546,11.640877,10,9,3.699813,1.522722,26.307729
59,115.675117,0.754988,0.116844,2.152470,10,9,0.688872,0.283517,5.060527
60,50.812351,0.331642,0.051326,0.966525,10,9,0.302599,0.124540,2.292350
61,199.777695,1.303908,0.201796,3.708781,10,9,1.189723,0.489651,9.018260
62,559.669922,3.652852,0.565323,10.486650,10,9,3.332966,1.371740,23.699242
63,639.852844,4.176189,0.646316,11.989054,10,9,3.810474,1.568267,27.094591
64,107.671104,0.702747,0.108759,2.003532,10,9,0.641207,0.263900,4.710369
65,204.431885,1.334285,0.206497,3.795183,10,9,1.217440,0.501059,9.228357
66,682.380249,4.453757,0.689273,12.785899,10,9,4.063735,1.672501,28.895416
67,429.624969,2.804075,0.433965,8.049971,10,9,2.558518,1.053002,18.192484
68,504.077850,3.290014,0.509170,9.445010,10,9,3.001902,1.235485,21.345194
69,76.944733,0.502203,0.077722,1.431779,10,9,0.458224,0.188590,3.366159
70,726.870972,4.744139,0.734213,13.619531,10,9,4.328687,1.781546,30.779377
