algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time
alg4_1, 5729.480304, 128501272.651954, 739882.670074, 55740.991283, 1039250, 22677999, 123.648085, 0.711939, 21.821505, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[7950346.052602, 7950346.052602, 9950346.052602, 11950346.052589, 9950346.052602, 7950346.052602, 15950346.052568, 7950346.052602, 6928102.369608, 6928111.483669, 6896894.044025, 6896927.788426, 7950346.052602, 6928110.587107, 6928097.349664, 9950346.052602, 6928111.294777, 9950346.052602, 6928095.729193, 6928105.856868, 6928089.757802, 6928111.882238, 5228256.378825, 7950346.052602, 3228256.378823, 9950346.052602, 6928095.810865, 3228256.378823, 6928109.252188, 1425230.377556, 3031265.943677]", 1386903.160760, 1.334523, 0.053636, 716925.531140, 0.689849, 56416.638856, 0.054286, 13734205.111382, 13.215497
alg1_c, 5.880357, 130134265.103574, 810968.426223, 42065.409144, 1039250, 32022686, 125.219404, 0.780340, 30.813265, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[9772804.989961, 9772804.989961, 11772804.989961, 13772804.989936, 11772804.989961, 9772804.989961, 17772804.989883, 9772804.989961, 7772804.989958, 7772804.989958, 7772804.989958, 7772804.989958, 9772804.989961, 5772804.989942, 3772804.989928, 11772804.989961, 7772804.989958, 11772804.989961, 7772804.989958, 3772804.989928, 3772804.989928, 3772804.989928, 1772804.989924, 9772804.989961, 0.042088, 11772804.989961, 3772804.989928, 0.042088, 7772804.989958, 0.042088, 0.042088]", 1113843.249577, 1.071776, 0.040477, 787241.369557, 0.757509, 43340.770859, 0.041704, -8742614.362389, -8.412427
random_c, 45.603935, 359999995.657701, 2104160.841520, 409064.085350, 718881, 8325011, 500.778287, 2.926995, 11.580513, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[0.088363, 0.182524, 0.229544, 0.137904, 0.099304, 0.172609, 0.184960, 0.226055, 0.127770, 0.006113, 0.178331, 0.186570, 0.219776, 0.165124, 0.092927, 0.153933, 0.115443, 0.000171, 0.141088, 0.118058, 0.124564, 0.195998, 0.183010, 0.087081, 0.100335, 0.165592, 0.198005, 0.179322, 0.047287, 0.104938, 0.129596]", 3996190.325291, 5.558904, 0.569029, 2040446.612533, 2.838365, 397392.280698, 0.552793, 43572507.476077, 60.611572
alg_bogdan, 8.658837, 182519812.625214, 1017641.404044, 409578.666276, 1039250, 3117750, 175.626474, 0.979208, 3.000000, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[5980776.145178, 5980761.945459, 5980780.793248, 5980756.341278, 5980691.594193, 5980780.794227, 5980777.239609, 5980761.945011, 5980777.195846, 5980771.446619, 5980777.196262, 5980761.995206, 5980771.493667, 5980756.897072, 5980756.898178, 5980656.743241, 5980780.794671, 5980756.342823, 5980771.445863, 5980756.898386, 5980776.149275, 5980656.698819, 5980756.349914, 5980656.743873, 4000000.000000, 5980691.592567, 5980691.548636, 4000000.000000, 5980776.145663, 4000000.000000, 4000000.000000]", 2838159.995368, 2.730969, 0.394110, 985343.479248, 0.948129, 393233.103389, 0.378382, 66631199.511831, 64.114698
hdfs_3_replication_c, 14.769835, 353999945.042515, 2049614.700299, 705538.386457, 1007868, 3023608, 351.236417, 2.033614, 3.000004, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[1.190283, 1.190283, 0.088918, 0.000000, 0.789123, 0.590489, 0.684824, 0.090544, 1.079668, 0.491690, 0.391690, 0.491911, 0.290225, 0.193029, 0.094629, 0.789133, 0.091912, 0.388917, 0.000000, 1.294429, 0.694729, 0.194723, 0.000000, 0.590270, 0.000000, 1.376634, 0.291597, 1.097381, 5999754.495949, 0.297247, 285.697258]", 3289342.511743, 3.263664, 0.700031, 1986874.374271, 1.971364, 706439.689211, 0.700925, 67650517.709965, 67.122399
hdfs_rs_3_2_c, 1.212001, 202799791.805816, 988131.050298, 207277.422320, 1039250, 5196250, 195.140526, 0.950812, 5.000000, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[0.157116, 0.157116, 0.422339, 0.287632, 0.422339, 0.223658, 0.018165, 0.157069, 0.225102, 0.291775, 0.025108, 0.225108, 3440041.059435, 0.026474, 7440039.799627, 11440041.463561, 11440040.499627, 15440042.732961, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", 3228108.730936, 3.106191, 0.199449, 963162.249978, 0.926786, 205128.226401, 0.197381, 64116154.635627, 61.694640
hdfs_rs_6_3_c, 1.816624, 182519812.625214, 882823.735405, 106103.379385, 1039250, 9353250, 175.626474, 0.849482, 9.000000, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[0.190385, 0.190385, 0.005706, 0.087639, 0.005706, 0.190385, 1720020.819422, 0.190385, 0.041760, 3720020.777660, 5720020.629034, 5720020.629034, 7720020.629033, 3720020.629034, 3720020.813713, 11720020.813711, 9720020.731780, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", 3454245.345702, 3.323787, 0.102096, 859282.833799, 0.826830, 108443.123172, 0.104347, 55956040.144537, 53.842714
hdfs_rs_4_2_c, 1.322120, 182519812.625214, 880712.586678, 153895.015537, 1039250, 6235500, 175.626474, 0.847450, 6.000000, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[0.315409, 0.315409, 0.339035, 0.062641, 0.339035, 0.315409, 5580030.913722, 0.015394, 0.016736, 0.341768, 0.341768, 0.316770, 9580030.896986, 7580030.548328, 5580030.898328, 13580030.548328, 11580030.849720, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", 3146202.670537, 3.027378, 0.148083, 856767.892502, 0.824410, 157237.064597, 0.151299, 61293619.828209, 58.978706
hdfs_rs_0_0_c, 2.432897, 170351825.116936, 832789.833839, 66288.760779, 1039250, 14549500, 163.918042, 0.801337, 14.000000, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[1832012.491660, 1832012.491660, 3832012.491662, 5832012.491660, 3832012.491662, 1832012.491660, 9832012.491649, 1832012.491660, 0.001769, 0.001769, 0.001769, 0.001769, 1832012.491660, 0.023149, 7832012.489888, 13832012.468509, 11832012.489888, 15832012.489888, 11832012.489888, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", 3598475.900068, 3.462570, 0.063785, 809422.342950, 0.778852, 65352.835540, 0.062885, 44973390.846143, 43.274853
glusterfs_6_4_c, 1.304132, 182519812.625214, 880712.586678, 153895.015537, 1039250, 6235500, 175.626474, 0.847450, 6.000000, "[14000000.000000, 14000000.000000, 16000000.000000, 18000000.000000, 16000000.000000, 14000000.000000, 22000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 10000000.000000, 8000000.000000, 16000000.000000, 12000000.000000, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", "[0.315409, 0.315409, 0.339035, 0.062641, 0.339035, 0.315409, 5580030.913722, 0.015394, 0.016736, 0.341768, 0.341768, 0.316770, 9580030.896986, 7580030.548328, 5580030.898328, 13580030.548328, 11580030.849720, 16000000.000000, 12000000.000000, 8000000.000000, 8000000.000000, 8000000.000000, 6000000.000000, 14000000.000000, 4000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000, 4000000.000000, 4000000.000000]", 3146202.670537, 3.027378, 0.148083, 856767.892502, 0.824410, 157237.064597, 0.151299, 61293619.828209, 58.978706
