ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
0, 180.5, 1.1780867941130317, 0.18232323232699524, 3.350899061672531, 10, 9
1, 124.1, 0.8099754633952836, 0.12535353534939614, 2.309238908963069, 10, 9
2, 10.3, 0.06722600545203038, 0.010404040410437368, 0.19580731923328773, 10, 9
3, 7.0, 0.04568757651437387, 0.0070707070725885305, 0.1330729354012635, 10, 9
4, 3.4, 0.022191108577065313, 0.0034343434328382664, 0.06676457436354871, 10, 9
5, 1.9, 0.012400913644618209, 0.0019191919233311307, 0.03730961508551252, 10, 9
6, 4.1, 0.026759866269215504, 0.004141414148563689, 0.08051022202663227, 10, 9
7, 2.9, 0.018927710241000678, 0.002929292924024842, 0.05694625460420332, 10, 9
8, 3.7, 0.02414914756688089, 0.0037373737347396936, 0.07265556621915596, 10, 9
9, 191.8, 1.2518395961656021, 0.19373737373812633, 3.560678338109648, 10, 9
10, 158.3, 1.0331919086272785, 0.15989898990162393, 2.9387663238934163, 10, 9
11, 2.2, 0.014358952630276093, 0.0022222222252325577, 0.04320060694111976, 10, 9
12, 165.9, 1.0827955631129682, 0.16757575757801532, 3.0798568107006807, 10, 9
13, 192.6, 1.2570610334930037, 0.19454545454884117, 3.575529968299886, 10, 9
14, 856.1, 5.587590606230836, 0.86474747474898, 16.040921586138776, 10, 9
15, 71.4, 0.46601328033304196, 0.07212121212346988, 1.3581323437941026, 10, 9
16, 65.3, 0.426199820783957, 0.06595959595658563, 1.2421014292682755, 10, 9
17, 56.1, 0.36615329164498583, 0.05666666665876453, 1.067103984409652, 10, 9
18, 107.4, 0.7009779594872996, 0.10848484848710624, 1.9984871782645737, 10, 9
19, 115.5, 0.7538450123132115, 0.11666666667231104, 2.1492110715973762, 10, 9
20, 123.3, 0.8047540260735612, 0.1245454545386813, 2.294352598510446, 10, 9
21, 9.4, 0.061351888413631116, 0.009494949487799947, 0.17869794182455384, 10, 9
22, 92.2, 0.6017706505159203, 0.09313131313432346, 1.7156472796647457, 10, 9
23, 124.0, 0.8093227837657113, 0.12525252525440672, 2.307378120156491, 10, 9
24, 203.5, 1.3282031169205075, 0.2055555555630814, 3.7778834296418835, 10, 9
25, 110.9, 0.7238217477037736, 0.11202020201493393, 2.063614786494797, 10, 9
26, 124.6, 0.813238861737027, 0.12585858585820955, 2.3185428529959577, 10, 9
27, 187.2, 1.2218163316319113, 0.18909090909768234, 3.4752814645157772, 10, 9
28, 75.1, 0.4901624278999227, 0.07585858585820957, 1.3974523937399392, 10, 9
29, 153.4, 1.0012106050306617, 0.1549494949423454, 2.8478000889782065, 10, 9
30, 2.2, 0.014358952630276093, 0.0022222222252325577, 0.04320060694111976, 10, 9
31, 157.9, 1.030581189924944, 0.15949494948779994, 2.9313405087982973, 10, 9
32, 113.5, 0.7407914190348633, 0.11464646465399049, 2.11199529546582, 10, 9
33, 74.2, 0.4842883109387914, 0.07494949495250529, 1.4113924357075966, 10, 9
34, 72.2, 0.4712347176589221, 0.07292929293418472, 1.3733495129122437, 10, 9
35, 6.6, 0.04307685780788157, 0.006666666658764536, 0.12546876766404844, 10, 9
36, 15.9, 0.10377606666352947, 0.01606060606850819, 0.30226566755429857, 10, 9
37, 16.1, 0.10508142593251064, 0.01626262625848705, 0.3060677514229061, 10, 9
38, 10.3, 0.06722600545203038, 0.010404040410437368, 0.19580731923328773, 10, 9
39, 10.6, 0.06918404444184595, 0.010707070712338795, 0.201510445036199, 10, 9
40, 13.6, 0.08876443431809775, 0.013737373731353066, 0.25854170306531193, 10, 9
41, 517.8, 3.379575301828112, 0.5230303030291742, 9.70212498224817, 10, 9
42, 447.7, 2.922046857164214, 0.45222222222523256, 8.388646880170928, 10, 9
43, 112.5, 0.7342646223570553, 0.11363636363636363, 2.093387407400042, 10, 9
44, 532.1, 3.4729084938425174, 0.5374747474762527, 9.970067020189749, 10, 9
45, 56.7, 0.3700693696977272, 0.05727272727950053, 1.0785168612482579, 10, 9
46, 57.0, 0.3720274086875428, 0.05757575758140195, 1.0842232996675607, 10, 9
47, 57.6, 0.3759434866645373, 0.058181818185204806, 1.0956361765061668, 10, 9
48, 117.7, 0.768203964862062, 0.11888888888061047, 2.1901484253420884, 10, 9
49, 136.8, 0.8928657807564077, 0.13818181817504493, 2.5455590873984515, 10, 9
50, 149.0, 0.9724926998530564, 0.15050505050881344, 2.7725753218009443, 10, 9
51, 112.2, 0.7323065833713973, 0.1133333333344622, 2.0878050409803093, 10, 9
52, 1.7, 0.011095554288532657, 0.0017171717164191332, 0.033382287181774356, 10, 9
53, 86.5, 0.5645679096691699, 0.08737373738126321, 1.60958231768981, 10, 9
54, 89.0, 0.5808849012078361, 0.08989898989146405, 1.6561020378542555, 10, 9
55, 26.5, 0.1729601110239498, 0.02676767676391385, 0.5037761125904975, 10, 9
56, 8.6, 0.05613045116349771, 0.008686868694018234, 0.16348960635012372, 10, 9
57, 4.0, 0.026107186552538773, 0.004040404036641121, 0.0785465580747632, 10, 9
58, 160.0, 1.0442874629199688, 0.16161616161804307, 2.9703260380476726, 10, 9
59, 7.5, 0.04895097485043852, 0.007575757581401955, 0.14257814507278233, 10, 9
60, 6.5, 0.04242417816847275, 0.006565656563775106, 0.1235677257297447, 10, 9
61, 6.3, 0.04111881882222368, 0.006363636356863108, 0.11976564186113714, 10, 9
62, 154.6, 1.0090427610588766, 0.15616161616688426, 2.8700775342635634, 10, 9
63, 74.1, 0.48363563122211467, 0.07484848484058272, 1.4094902895678287, 10, 9
64, 2.2, 0.014358952630276093, 0.0022222222252325577, 0.04320060694111976, 10, 9
65, 152.9, 0.9979472067703439, 0.15444444445046512, 2.8385178201093075, 10, 9
66, 72.3, 0.47188739729417317, 0.07303030302917415, 1.375251659052011, 10, 9
67, 190.0, 1.240091362237661, 0.19191919192671775, 3.5272621701816114, 10, 9
68, 123.2, 0.8041013464341522, 0.12444444444369186, 2.2924918097038685, 10, 9
69, 214.7, 1.4013032392620801, 0.2168686868622899, 3.985806252305221, 10, 9
70, 13.1, 0.08550103605777992, 0.013232323239472779, 0.24903649339379313, 10, 9
71, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
72, 186.0, 1.2139841756036964, 0.1878787878731435, 3.4530040192304194, 10, 9
73, 119.9, 0.7825629174923382, 0.12111111110584302, 2.2310857790868, 10, 9
74, 123.3, 0.8047540260735612, 0.1245454545386813, 2.294352598510446, 10, 9
75, 51.2, 0.334171988125637, 0.05171717171641913, 0.9738988235610371, 10, 9
76, 73.1, 0.4771088346257322, 0.07383838383988901, 1.3904688281701523, 10, 9
77, 7.6, 0.04960365448568964, 0.007676767676391385, 0.14447918700708606, 10, 9
78, 63.9, 0.41706230548108225, 0.06454545454206792, 1.2154713833115283, 10, 9
79, 1.8, 0.011748233927941477, 0.001818181811408563, 0.03534595113364344, 10, 9
80, 85.3, 0.5567357536409552, 0.08616161615672437, 1.5872528520108762, 10, 9
81, 118.5, 0.7734254021894633, 0.11969696969132532, 2.205034735794711, 10, 9
