ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
0, 180.500000, 1.178087, 0.182323, 3.350899, 10, 9
1, 124.099998, 0.809975, 0.125354, 2.309239, 10, 9
2, 10.300000, 0.067226, 0.010404, 0.195807, 10, 9
3, 7.000000, 0.045688, 0.007071, 0.133073, 10, 9
4, 3.400000, 0.022191, 0.003434, 0.064635, 10, 9
5, 1.900000, 0.012401, 0.001919, 0.036120, 10, 9
6, 4.100000, 0.026760, 0.004141, 0.077943, 10, 9
7, 2.900000, 0.018928, 0.002929, 0.055130, 10, 9
8, 3.700000, 0.024149, 0.003737, 0.070339, 10, 9
9, 191.800003, 1.251840, 0.193737, 3.560678, 10, 9
10, 158.300003, 1.033192, 0.159899, 2.938766, 10, 9
11, 2.200000, 0.014359, 0.002222, 0.040842, 10, 9
12, 165.899994, 1.082796, 0.167576, 3.079857, 10, 9
13, 192.600006, 1.257061, 0.194545, 3.575530, 10, 9
14, 856.099976, 5.587590, 0.864747, 16.040921, 10, 9
15, 71.400002, 0.466013, 0.072121, 1.358132, 10, 9
16, 65.300003, 0.426200, 0.065960, 1.242101, 10, 9
17, 56.099998, 0.366153, 0.056667, 1.067104, 10, 9
18, 107.400002, 0.700978, 0.108485, 1.998487, 10, 9
19, 115.500000, 0.753845, 0.116667, 2.149211, 10, 9
20, 123.300003, 0.804754, 0.124545, 2.294353, 10, 9
21, 9.400000, 0.061352, 0.009495, 0.178698, 10, 9
22, 92.199997, 0.601771, 0.093131, 1.715647, 10, 9
23, 124.000000, 0.809323, 0.125253, 2.307378, 10, 9
24, 203.500000, 1.328203, 0.205556, 3.777883, 10, 9
25, 110.900002, 0.723822, 0.112020, 2.063615, 10, 9
26, 124.599998, 0.813239, 0.125859, 2.318543, 10, 9
27, 187.199997, 1.221816, 0.189091, 3.475281, 10, 9
28, 75.099998, 0.490162, 0.075859, 1.428512, 10, 9
29, 153.399994, 1.001211, 0.154949, 2.847800, 10, 9
30, 2.200000, 0.014359, 0.002222, 0.040842, 10, 9
31, 157.899994, 1.030581, 0.159495, 2.931340, 10, 9
32, 113.500000, 0.740791, 0.114646, 2.111995, 10, 9
33, 74.199997, 0.484288, 0.074949, 1.411392, 10, 9
34, 72.199997, 0.471235, 0.072929, 1.373349, 10, 9
35, 6.600000, 0.043077, 0.006667, 0.125469, 10, 9
36, 15.900000, 0.103776, 0.016061, 0.302266, 10, 9
37, 16.100000, 0.105081, 0.016263, 0.306068, 10, 9
38, 10.300000, 0.067226, 0.010404, 0.195807, 10, 9
39, 10.600000, 0.069184, 0.010707, 0.201510, 10, 9
40, 13.600000, 0.088764, 0.013737, 0.258542, 10, 9
41, 517.799988, 3.379575, 0.523030, 9.702125, 10, 9
42, 447.700012, 2.922047, 0.452222, 8.388647, 10, 9
43, 112.500000, 0.734265, 0.113636, 2.093387, 10, 9
44, 532.099976, 3.472908, 0.537475, 9.970067, 10, 9
45, 56.700001, 0.370069, 0.057273, 1.078517, 10, 9
46, 57.000000, 0.372027, 0.057576, 1.084223, 10, 9
47, 57.599998, 0.375943, 0.058182, 1.095636, 10, 9
48, 117.699997, 0.768204, 0.118889, 2.190148, 10, 9
49, 136.800003, 0.892866, 0.138182, 2.545559, 10, 9
50, 149.000000, 0.972493, 0.150505, 2.772575, 10, 9
51, 112.199997, 0.732307, 0.113333, 2.087805, 10, 9
52, 1.700000, 0.011096, 0.001717, 0.031633, 10, 9
53, 86.500000, 0.564568, 0.087374, 1.609582, 10, 9
54, 89.000000, 0.580885, 0.089899, 1.656102, 10, 9
55, 26.500000, 0.172960, 0.026768, 0.503776, 10, 9
56, 8.600000, 0.056130, 0.008687, 0.163490, 10, 9
57, 4.000000, 0.026107, 0.004040, 0.076042, 10, 9
58, 160.000000, 1.044287, 0.161616, 2.970326, 10, 9
59, 7.500000, 0.048951, 0.007576, 0.142578, 10, 9
60, 6.500000, 0.042424, 0.006566, 0.123568, 10, 9
61, 6.300000, 0.041119, 0.006364, 0.119766, 10, 9
62, 154.600006, 1.009043, 0.156162, 2.870078, 10, 9
63, 74.099998, 0.483636, 0.074848, 1.409490, 10, 9
64, 2.200000, 0.014359, 0.002222, 0.041847, 10, 9
65, 152.899994, 0.997947, 0.154444, 2.838518, 10, 9
66, 72.300003, 0.471887, 0.073030, 1.375252, 10, 9
67, 190.000000, 1.240091, 0.191919, 3.527262, 10, 9
68, 123.199997, 0.804101, 0.124444, 2.292492, 10, 9
69, 214.699997, 1.401303, 0.216869, 3.985806, 10, 9
70, 13.100000, 0.085501, 0.013232, 0.249037, 10, 9
71, 2.000000, 0.013054, 0.002020, 0.038021, 10, 9
72, 186.000000, 1.213984, 0.187879, 3.453004, 10, 9
73, 119.900002, 0.782563, 0.121111, 2.231086, 10, 9
74, 123.300003, 0.804754, 0.124545, 2.294353, 10, 9
75, 51.200001, 0.334172, 0.051717, 0.973899, 10, 9
76, 73.099998, 0.477109, 0.073838, 1.390469, 10, 9
77, 7.600000, 0.049604, 0.007677, 0.144479, 10, 9
78, 63.900002, 0.417062, 0.064545, 1.215471, 10, 9
79, 1.800000, 0.011748, 0.001818, 0.034239, 10, 9
80, 85.300003, 0.556736, 0.086162, 1.587253, 10, 9
81, 118.500000, 0.773425, 0.119697, 2.205035, 10, 9
82, 164.399994, 1.073005, 0.166061, 3.052010, 10, 9
83, 2.300000, 0.015012, 0.002323, 0.042698, 10, 9
84, 160.300003, 1.046246, 0.161919, 2.975895, 10, 9
85, 71.000000, 0.463403, 0.071717, 1.350524, 10, 9
86, 191.399994, 1.249229, 0.193333, 3.553252, 10, 9
87, 124.199997, 0.810628, 0.125455, 2.311100, 10, 9
88, 214.600006, 1.400651, 0.216768, 3.983950, 10, 9
89, 122.099998, 0.796922, 0.123333, 2.272023, 10, 9
90, 2.100000, 0.013706, 0.002121, 0.039077, 10, 9
91, 193.399994, 1.262282, 0.195354, 3.590381, 10, 9
