ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
0, 180.5, 2.373773579623224, 0.8677884615384616, 5.048499777412232, 3, 1
1, 124.1, 1.6320515303620928, 0.5966346153828244, 3.4441384238783037, 3, 1
2, 10.3, 0.13545633170020943, 0.049519230772812776, 0.2882176270738338, 3, 1
3, 7.0, 0.09205770114882308, 0.03365384615384615, 0.19587605723464432, 3, 1
4, 3.4, 0.04471374056289895, 0.016346153847944852, 0.09796943609733112, 3, 1
5, 1.9, 0.024987090316722575, 0.00913461538640639, 0.05474762605439092, 3, 1
6, 4.1, 0.05391951066798292, 0.019711538459747456, 0.11813961411736987, 3, 1
7, 2.9, 0.038138190480840155, 0.013942307694098698, 0.08356216608301771, 3, 1
8, 3.7, 0.048659070597436724, 0.017788461534879528, 0.10661379810591917, 3, 1
9, 191.8, 2.5223810114875507, 0.9221153846189666, 5.3645554421477355, 3, 1
10, 158.3, 2.0818191559896118, 0.7610576923112743, 4.427576259082307, 3, 1
11, 2.2, 0.02893242035126035, 0.010576923073341068, 0.06339198806297897, 3, 1
12, 165.9, 2.1817675172320063, 0.7975961538479448, 4.6401446707628216, 3, 1
13, 192.6, 2.5329018916041477, 0.9259615384597475, 5.386931064429894, 3, 1
14, 856.1, 11.258656850496163, 4.115865384613594, 24.03807514251594, 3, 1
15, 71.4, 0.9389885517228945, 0.3432692307710218, 2.003668913114453, 3, 1
16, 65.3, 0.8587668407266765, 0.3139423076958897, 1.8324871152153188, 3, 1
17, 56.1, 0.7377767192020972, 0.26971153845974744, 1.5743112888756419, 3, 1
18, 107.4, 1.4124281576311275, 0.5163461538479448, 2.980664518328202, 3, 1
19, 115.5, 1.5189520689555809, 0.5552884615384616, 3.205463238984239, 3, 1
20, 123.3, 1.6215306502454963, 0.5927884615420436, 3.421936081097461, 3, 1
21, 9.4, 0.12362034154760444, 0.045192307694098696, 0.2630335625722367, 3, 1
22, 92.2, 1.2125314351218428, 0.4432692307656488, 2.558820005492181, 3, 1
23, 124.0, 1.6307364203505803, 0.5961538461538461, 3.4413631310306982, 3, 1
24, 203.5, 2.6762488833979283, 0.9783653846153846, 5.691798918024317, 3, 1
25, 110.9, 1.458457008205539, 0.5331730769248679, 3.077799767994391, 3, 1
26, 124.6, 1.6386270804441518, 0.5990384615366705, 3.458014888116331, 3, 1
27, 187.2, 2.4618859507130133, 0.899999999996418, 5.235895614025318, 3, 1
28, 75.1, 0.9876476223203312, 0.3610576923059013, 2.084244928551657, 3, 1
29, 153.4, 2.0173787651805366, 0.7375000000017911, 4.29052557260408, 3, 1
30, 2.2, 0.02893242035126035, 0.010576923073341068, 0.06339198806297897, 3, 1
31, 157.9, 2.0765587159190653, 0.7591346153864064, 4.416388447941228, 3, 1
32, 113.5, 1.4926498686273457, 0.5456730769230769, 3.1499573820321314, 3, 1
33, 74.2, 0.9758116321677264, 0.3567307692271872, 2.0822441646091376, 3, 1
34, 72.2, 0.9495094318394911, 0.3471153846118026, 2.0261189849700774, 3, 1
35, 6.6, 0.08679726107827687, 0.031730769228978224, 0.18468313967837896, 3, 1
36, 15.9, 0.20910249261436875, 0.0764423076940987, 0.4449184728615493, 3, 1
37, 16.1, 0.2117327126373939, 0.07740384615205514, 0.450514931639682, 3, 1
38, 10.3, 0.13545633170020943, 0.049519230772812776, 0.2882176270738338, 3, 1
