ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
0, 180.5, 1.1780867941130317, 0.18232323232699524, 3.350899061672531, 10, 9
1, 124.1, 1.2265838539596134, 0.6299492385767892, 2.9588077893425053, 2, 1
2, 10.3, 0.10083900814432983, 0.015606060607189482, 0.3349006478489096, 10, 6
3, 7.0, 0.07895235688108176, 0.042682926829268296, 0.16883671401770783, 2, 1
4, 3.4, 0.05537164671431352, 0.0103030302985148, 0.13369444684117668, 8, 3
5, 1.9, 0.013210515334891969, 0.002467532472854311, 0.0397980809558576, 8, 7
6, 4.1, 0.04741022650348352, 0.009318181821568445, 0.14238484795677067, 8, 4
7, 2.9, 0.03240373901617194, 0.01768292683153981, 0.07213899360209969, 2, 1
8, 3.7, 0.03991077334790043, 0.006727272729304704, 0.1260706633516727, 9, 5
9, 191.8, 2.9007810944177965, 1.0094736842144476, 5.3645554421477355, 3, 1
10, 158.3, 2.0833708187417734, 0.359772727265954, 5.929507322591578, 9, 4
11, 2.2, 0.018461510498725162, 0.002857142856175249, 0.06341369844625161, 10, 7
12, 165.9, 4.066510777826739, 1.01158536585593, 5.919639119761682, 5, 1
13, 192.6, 7.766963199131279, 1.7509090909057043, 7.615056117568959, 6, 1
14, 856.1, 9.316294200019286, 5.220121951217241, 20.7337846207379, 2, 1
15, 71.4, 1.3980398409976045, 0.21636363637040962, 3.262527283767176, 10, 3
16, 65.3, 1.5496428433005345, 0.29681818182156844, 2.779257328917269, 8, 2
17, 56.1, 0.3723874825172355, 0.1140243902450382, 1.288094486812094, 4, 3
18, 107.4, 1.5368208859997763, 0.3254545454613187, 3.6801656936714875, 7, 3
19, 115.5, 1.3951109558221981, 0.515625, 3.129893934306737, 4, 2
20, 123.3, 1.7397529607719973, 1.100892857141194, 2.939734088847147, 2, 1
21, 9.4, 0.07888099943348405, 0.012207792208276011, 0.26332430357127523, 10, 7
22, 92.2, 0.9026559757702803, 0.1396969697014852, 2.9783491132805464, 10, 6
23, 124.0, 2.2292504025663638, 0.37575757576322016, 5.218859983875127, 9, 3
24, 203.5, 1.707689721688984, 0.26428571428087627, 5.62965935010916, 10, 7
25, 110.9, 1.8957185946159743, 0.5040909090841358, 3.438948186735407, 5, 2
26, 124.6, 5.963221409276652, 1.1327272727238862, 5.894445067937462, 8, 1
27, 187.2, 5.305167547159704, 1.7018181818114086, 6.679665118863091, 5, 1
28, 75.1, 2.5206746323768128, 0.6827272727238861, 2.67164751765139, 5, 1
29, 153.4, 1.176030748915575, 0.19922077921642498, 3.6521397973087826, 9, 7
30, 2.2, 0.02359772493605381, 0.005000000006773255, 0.06773577074737731, 7, 4
31, 157.9, 1.9053072477142914, 0.7177272727204995, 4.306869636642739, 4, 2
32, 113.5, 1.6653244668201053, 0.5066964285714286, 3.5195727609961107, 5, 2
33, 74.2, 0.7671760619746637, 0.3905263157855523, 1.8011130602652012, 2, 1
34, 72.2, 1.6023744111729794, 0.3223214285722601, 3.072930767960595, 8, 2
35, 6.6, 0.05887100235646697, 0.019999999993226745, 0.1507588682571055, 4, 3
36, 15.9, 0.14955862664683434, 0.07098214285880593, 0.3733461775544817, 3, 2
37, 16.1, 0.15875938114416616, 0.08172588832298208, 0.38832444224072804, 2, 1
38, 10.3, 0.1877405956633823, 0.052284263963172886, 0.3280040892358975, 4, 1
39, 10.6, 0.17101993981918545, 0.032121212120083245, 0.4059090439503189, 8, 3
40, 13.6, 0.09791565174193549, 0.01766233765943484, 0.275912681250442, 8, 7
41, 517.8, 10.04119708887566, 2.35363636363975, 20.17994935803098, 7, 2
