algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 1126.867465, 139999995.736347, 673076.902579, 89367.123214, 926765, 6918792, 151.063102, 0.726265, 7.465530, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.119044, 0.035539, 0.042267, 2.875254, 0.081220, 0.226722, 0.047981, 0.234137, 0.217589, 0.383901]", 2506442.122011, 2.704507, 0.096429, 693069.285823, 0.747837, 92021.592221, 0.099293, 6943723.749358, 7.492432, 108506690.574472
alg1_c, 1.838989, 139999999.494000, 673076.920644, 67307.692064, 946689, 9466890, 147.883835, 0.710980, 10.000000, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.050601, 0.050601, 0.050601, 0.050601, 0.050601, 0.050601, 0.050601, 0.050601, 0.050601, 0.050601]", 2547046.847073, 2.690479, 0.071098, 693069.304426, 0.732098, 69306.930443, 0.073210, 7959621.090269, 8.407852, 110839160.476114
alg_bogdan, 4.071172, 139999999.147005, 673076.918976, 118073.060986, 877743, 5434453, 159.499989, 0.766827, 6.191394, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.066823, 0.015894, 0.075326, 0.161089, 0.148879, 0.053601, 0.109818, 0.003177, 0.158610, 0.059787]", 2343789.788354, 2.670246, 0.134519, 693069.302708, 0.789604, 121580.181609, 0.138515, 6126904.767176, 6.980295, 102765126.570365
hdfs_3_replication_c, 4.347909, 126000262.886984, 605770.494649, 201923.637295, 358703, 1076111, 351.266265, 1.688780, 3.000006, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.000000, 0.000000, 0.000000, 0.061741, 1.090190, 1.090190, 0.000000, 0.190300, 0.190300, 13999734.490295]", 1170783.139197, 3.263935, 0.562927, 623763.677658, 1.738942, 207921.369096, 0.579648, 1678327.765541, 4.678879, 42000087.628995
hdfs_rs_3_2_c, 1.007737, 139999997.261316, 673076.909910, 134615.381982, 717333, 3586665, 195.167373, 0.938305, 5.000000, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.157251, 0.157251, 0.157251, 0.157251, 0.157251, 0.390484, 0.390484, 0.390484, 0.390484, 0.390484]", 2228478.698120, 3.106617, 0.187661, 693069.293373, 0.966175, 138613.858675, 0.193235, 4116787.403548, 5.739019, 83999998.356796
hdfs_rs_6_3_c, 1.143234, 125999999.785910, 605769.229740, 67307.692193, 717452, 6457068, 175.621505, 0.844334, 9.000000, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 14000000.000000]", 2384591.066383, 3.323694, 0.093815, 623762.375177, 0.869413, 69306.930575, 0.096601, 5259505.448446, 7.330812, 83999999.857274
hdfs_rs_4_2_c, 1.016704, 83999999.155038, 403846.149784, 67307.691631, 478327, 2869962, 175.612080, 0.844289, 6.000000, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.140827, 0.140827, 0.140827, 0.140827, 0.140827, 0.140827, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", 1447954.706888, 3.027123, 0.140715, 415841.579975, 0.869367, 69306.929996, 0.144894, 2997871.199660, 6.267410, 55999999.436692
hdfs_rs_0_0_c, 1.051934, 125999999.785910, 605769.229740, 67307.692193, 717452, 6457068, 175.621505, 0.844334, 9.000000, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 0.023787, 14000000.000000]", 2384591.066383, 3.323694, 0.093815, 623762.375177, 0.869413, 69306.930575, 0.096601, 5259505.448446, 7.330812, 83999999.857274
glusterfs_6_4_c, 0.793260, 83999999.155038, 403846.149784, 67307.691631, 478327, 2869962, 175.612080, 0.844289, 6.000000, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.140827, 0.140827, 0.140827, 0.140827, 0.140827, 0.140827, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", 1447954.706888, 3.027123, 0.140715, 415841.579975, 0.869367, 69306.929996, 0.144894, 2997871.199660, 6.267410, 55999999.436692
glusterfs_0_0_c, 0.785296, 83999999.155038, 403846.149784, 67307.691631, 478327, 2869962, 175.612080, 0.844289, 6.000000, "[14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", "[0.140827, 0.140827, 0.140827, 0.140827, 0.140827, 0.140827, 14000000.000000, 14000000.000000, 14000000.000000, 14000000.000000]", 1447954.706888, 3.027123, 0.140715, 415841.579975, 0.869367, 69306.929996, 0.144894, 2997871.199660, 6.267410, 55999999.436692
