algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg1,0,0,0,1717699279333893240,0,5794621848,2615.667989,592.896326,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035, 22.222222328186035]"
alg1,1,0,0,1717699285594418743,0,7196987275,3027.295633,592.504963,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[44.44444465637207, 44.44444465637207, 44.44444465637207, 44.44444465637207, 44.44444465637207, 44.44444465637207, 44.44444465637207, 44.44444465637207, 44.44444465637207, 44.44444465637207]"
alg1,2,0,0,1717699293381106936,0,8401119738,3349.789338,498.579384,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[66.6666669845581, 66.6666669845581, 66.6666669845581, 66.6666669845581, 66.6666669845581, 66.6666669845581, 66.6666669845581, 66.6666669845581, 66.6666669845581, 66.6666669845581]"
alg1,3,0,0,1717699302443136968,0,8007333903,3485.990173,605.511588,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[88.88888931274414, 88.88888931274414, 88.88888931274414, 88.88888931274414, 88.88888931274414, 88.88888931274414, 88.88888931274414, 88.88888931274414, 88.88888931274414, 88.88888931274414]"
alg1,4,0,0,1717699311106463633,0,7524854664,3355.188508,570.094002,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[111.11111164093018, 111.11111164093018, 111.11111164093018, 111.11111164093018, 111.11111164093018, 111.11111164093018, 111.11111164093018, 111.11111164093018, 111.11111164093018, 111.11111164093018]"
alg1,5,0,0,1717699319158375041,0,5920947066,2775.282383,532.640445,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[133.3333339691162, 133.3333339691162, 133.3333339691162, 133.3333339691162, 133.3333339691162, 133.3333339691162, 133.3333339691162, 133.3333339691162, 133.3333339691162, 133.3333339691162]"
alg1,6,0,0,1717699325690060868,0,7383471943,3752.564976,542.049724,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[155.55555629730225, 155.55555629730225, 155.55555629730225, 155.55555629730225, 155.55555629730225, 155.55555629730225, 155.55555629730225, 155.55555629730225, 155.55555629730225, 155.55555629730225]"
alg1,7,0,0,1717699333566419650,0,7529164766,3782.459647,530.038628,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[177.77777862548828, 177.77777862548828, 177.77777862548828, 177.77777862548828, 177.77777862548828, 177.77777862548828, 177.77777862548828, 177.77777862548828, 177.77777862548828, 177.77777862548828]"
alg1,8,0,0,1717699341654339999,0,7662101490,3167.330455,553.201321,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[200.00000095367432, 200.00000095367432, 200.00000095367432, 200.00000095367432, 200.00000095367432, 200.00000095367432, 200.00000095367432, 200.00000095367432, 200.00000095367432, 200.00000095367432]"
alg1,9,0,0,1717699349860777638,0,8314723366,4244.883536,559.735934,209715200,10,9,233016890,23301689,111.11111164093018,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035]"
alg2,0,0,0,1717699360370040772,0,7831505686,2174.096156,2485.074646,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[100.00000095367432, 100.00000095367432, 100.00000095367432]"
alg2,1,0,0,1717699368691413129,0,7687661675,1859.38707,3277.304348,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[200.00000190734863, 200.00000190734863, 200.00000190734863]"
alg2,2,0,0,1717699376990846445,0,7562820380,2219.841642,2515.294239,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[300.00000286102295, 300.00000286102295, 300.00000286102295]"
